case_id,case_number,file_name,file_path,size_mb,n_elements_from_line_count,header
case_00,0,FE_Results_Case_0.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_0.txt,33.922402,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_01,1,FE_Results_Case_1.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_1.txt,33.925265,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_02,2,FE_Results_Case_2.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_2.txt,33.917999,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_03,3,FE_Results_Case_3.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_3.txt,33.924766,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_04,4,FE_Results_Case_4.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_4.txt,33.919726,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_05,5,FE_Results_Case_5.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_5.txt,33.920383,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_06,6,FE_Results_Case_6.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_6.txt,33.924502,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_07,7,FE_Results_Case_7.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_7.txt,33.925562,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_08,8,FE_Results_Case_8.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_8.txt,33.924386,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_09,9,FE_Results_Case_9.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_9.txt,33.924996,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_10,10,FE_Results_Case_10.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_10.txt,33.923729,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_11,11,FE_Results_Case_11.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_11.txt,33.932437,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_12,12,FE_Results_Case_12.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_12.txt,33.923465,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_13,13,FE_Results_Case_13.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_13.txt,33.916759,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_14,14,FE_Results_Case_14.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_14.txt,33.917485,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_15,15,FE_Results_Case_15.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_15.txt,33.902274,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_16,16,FE_Results_Case_16.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_16.txt,33.921381,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_17,17,FE_Results_Case_17.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_17.txt,33.914609,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_18,18,FE_Results_Case_18.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_18.txt,33.92225,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_19,19,FE_Results_Case_19.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_19.txt,33.925272,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_20,20,FE_Results_Case_20.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_20.txt,33.923994,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_21,21,FE_Results_Case_21.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_21.txt,33.909726,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_22,22,FE_Results_Case_22.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_22.txt,33.918672,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_23,23,FE_Results_Case_23.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_23.txt,33.898964,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_24,24,FE_Results_Case_24.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_24.txt,33.915948,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_26,26,FE_Results_Case_26.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_26.txt,33.896259,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_27,27,FE_Results_Case_27.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_27.txt,33.911581,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_28,28,FE_Results_Case_28.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_28.txt,33.920801,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_29,29,FE_Results_Case_29.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_29.txt,33.898971,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
