case_id,case_number,source_file,n_elements_read,element_id_unique,element_id_min,element_id_max,element_id_monotonic,coordinate_source,rho_xy_crosscheck_max_abs,theta_xy_crosscheck_max_abs_rad,model_missing_count,model_infinite_count
case_01,1,FE_Results_Case_1.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_06,6,FE_Results_Case_6.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_10,10,FE_Results_Case_10.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_11,11,FE_Results_Case_11.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_12,12,FE_Results_Case_12.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_13,13,FE_Results_Case_13.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_14,14,FE_Results_Case_14.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_15,15,FE_Results_Case_15.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_16,16,FE_Results_Case_16.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_17,17,FE_Results_Case_17.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_18,18,FE_Results_Case_18.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_19,19,FE_Results_Case_19.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_20,20,FE_Results_Case_20.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_21,21,FE_Results_Case_21.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_24,24,FE_Results_Case_24.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_27,27,FE_Results_Case_27.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_28,28,FE_Results_Case_28.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_29,29,FE_Results_Case_29.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_32,32,FE_Results_Case_32.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_34,34,FE_Results_Case_34.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_35,35,FE_Results_Case_35.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_36,36,FE_Results_Case_36.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_39,39,FE_Results_Case_39.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_40,40,FE_Results_Case_40.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_42,42,FE_Results_Case_42.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_43,43,FE_Results_Case_43.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_44,44,FE_Results_Case_44.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_45,45,FE_Results_Case_45.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_47,47,FE_Results_Case_47.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_48,48,FE_Results_Case_48.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_49,49,FE_Results_Case_49.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_51,51,FE_Results_Case_51.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_52,52,FE_Results_Case_52.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_54,54,FE_Results_Case_54.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_56,56,FE_Results_Case_56.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_57,57,FE_Results_Case_57.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_58,58,FE_Results_Case_58.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_59,59,FE_Results_Case_59.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_60,60,FE_Results_Case_60.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_61,61,FE_Results_Case_61.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_62,62,FE_Results_Case_62.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_63,63,FE_Results_Case_63.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_64,64,FE_Results_Case_64.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_66,66,FE_Results_Case_66.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_67,67,FE_Results_Case_67.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_68,68,FE_Results_Case_68.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_69,69,FE_Results_Case_69.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_71,71,FE_Results_Case_71.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_72,72,FE_Results_Case_72.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_73,73,FE_Results_Case_73.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_74,74,FE_Results_Case_74.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_75,75,FE_Results_Case_75.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_77,77,FE_Results_Case_77.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
