case_id,case_number,n_elements,stress_mean,stress_std,stress_p95,stress_p99,stress_max,negative_stress_fraction,fluence_rate_mean,fluence_rate_std,fluence_rate_min,fluence_rate_p95,fluence_rate_max,temperature_mean,temperature_std,temperature_min,temperature_p95,temperature_max,weight_loss_rate_mean,weight_loss_rate_std,weight_loss_rate_min,weight_loss_rate_p95,weight_loss_rate_max,rho_mean,rho_std,rho_min,rho_p95,rho_max,theta_mean,theta_std,theta_min,theta_p95,theta_max,z_mean,z_std,z_min,z_p95,z_max,theta_sin_mean,theta_sin_std,theta_sin_min,theta_sin_p95,theta_sin_max,theta_cos_mean,theta_cos_std,theta_cos_min,theta_cos_p95,theta_cos_max
case_01,1,400360,5.896753311157227,3.242328405380249,10.326234483718872,16.558459148406914,37.16805648803711,0.05535268258567289,3.399423837661743,0.40250685811042786,2.7673590183258057,4.336071968078613,5.1644511222839355,398.7736511230469,15.544198989868164,350.38177490234375,431.3729248046875,448.6435546875,0.3569064140319824,0.05417110025882721,0.2690010070800781,0.49315598607063293,0.6124340295791626,187.38546752929688,17.365386962890625,130.10137939453125,212.36359634399415,223.1104736328125,0.3441586196422577,0.1411813646554947,0.007521217688918114,0.5586253136396407,0.7734891176223755,443.37786865234375,256.8924560546875,1.7783960103988647,842.4595458984375,885.380126953125,0.3339897096157074,0.13129059970378876,0.007521146908402443,0.5300209760665893,0.6986358761787415,0.9320444464683533,0.050071101635694504,0.7154774069786072,0.992299023270607,0.9999716877937317
case_06,6,400360,5.917630195617676,3.1990630626678467,10.134570455551147,15.962084121704066,32.9944953918457,0.05531771405734839,3.4794044494628906,0.3796917200088501,2.778795003890991,4.354030132293701,5.141026020050049,426.3059997558594,10.8130464553833,354.5773620605469,442.93011474609375,450.0254211425781,0.3404279053211212,0.04245026409626007,0.2737959921360016,0.4521639943122864,0.5946130156517029,187.4179229736328,17.357627868652344,130.0974578857422,212.3789321899414,223.12879943847656,0.3440924286842346,0.14110317826271057,0.0075250002555549145,0.5582802146673203,0.7734822034835815,443.26458740234375,256.85992431640625,1.761633038520813,842.3040802001954,885.0130004882812,0.333931565284729,0.13121911883354187,0.007524929009377956,0.5297283142805099,0.6986309289932251,0.9320767521858215,0.05004129186272621,0.715482234954834,0.992294254899025,0.9999716877937317
case_10,10,400360,5.735562324523926,3.167390823364258,10.146135330200195,16.147420253753637,36.003170013427734,0.05443600759316615,3.434783697128296,0.3976384401321411,2.759705066680908,4.363170146942139,5.175214767456055,386.9534912109375,18.640626907348633,345.65032958984375,426.16058349609375,447.8836669921875,0.35424208641052246,0.05687224119901657,0.26363998651504517,0.48528799414634705,0.6311690211296082,187.40487670898438,17.371198654174805,130.11402893066406,212.3961624145508,223.04800415039062,0.34418198466300964,0.1412152796983719,0.007521359715610743,0.5587407976388932,0.7734898924827576,443.46484375,256.9591064453125,1.7848119735717773,842.6355010986329,885.5349731445312,0.3340100646018982,0.1313217580318451,0.0075212884694337845,0.5301188886165619,0.6986364126205444,0.9320319294929504,0.05008360370993614,0.7154768705368042,0.992300808429718,0.9999716877937317
case_11,11,400360,6.201050758361816,3.3875954151153564,10.622378873825072,17.002918834686216,35.55618667602539,0.056224398041762415,3.423363447189331,0.3977753221988678,2.7569079399108887,4.352518081665039,5.1711859703063965,439.56268310546875,10.967487335205078,361.0643005371094,447.81744384765625,452.9774169921875,0.35631901025772095,0.0523955263197422,0.2734279930591583,0.49305400252342224,0.6041010022163391,187.44859313964844,17.357280731201172,130.07818603515625,212.40635833740234,223.22122192382812,0.34406593441963196,0.14108572900295258,0.007524634711444378,0.5582090824842452,0.7734813094139099,443.3976745605469,256.8621826171875,1.7681740522384644,842.4624725341797,885.22119140625,0.3339075744152069,0.1312035173177719,0.007524563930928707,0.5296679705381392,0.6986302733421326,0.9320880174636841,0.05003371462225914,0.7154828906059265,0.9922938346862793,0.9999716877937317
case_12,12,400360,5.673344612121582,3.1410410404205322,10.082114791870117,16.142577419280983,36.23194885253906,0.05490308722150065,3.4136345386505127,0.3964231610298157,2.7721569538116455,4.322353839874268,5.169034957885742,383.26806640625,19.721595764160156,345.8624572753906,426.6660461425781,446.35638427734375,0.3571361303329468,0.05148707330226898,0.27773699164390564,0.49428701400756836,0.5934960246086121,187.39588928222656,17.374013900756836,130.10426330566406,212.3946090698242,223.08470153808594,0.34420982003211975,0.1412295550107956,0.007521218620240688,0.5587931960821152,0.7734919190406799,443.4156188964844,256.9574279785156,1.7797420024871826,842.5930938720703,885.4852294921875,0.3340352773666382,0.13133424520492554,0.0075211478397250175,0.5301633536815643,0.698637843132019,0.9320206642150879,0.050090543925762177,0.7154754400253296,0.9923014044761658,0.9999716877937317
case_13,13,400360,5.239577293395996,2.860407829284668,9.118360137939451,14.603178558349592,30.08977508544922,0.0539389549405535,3.357408046722412,0.37328222393989563,2.742722988128662,4.221428871154785,5.116156101226807,385.40252685546875,19.127836227416992,344.8303527832031,425.37994384765625,447.6676330566406,0.35663357377052307,0.05378754436969757,0.2708219885826111,0.4923129975795746,0.6152369976043701,187.2869415283203,17.373435974121094,130.0412139892578,212.29938964843748,222.8022918701172,0.34425947070121765,0.14126209914684296,0.007520652376115322,0.558923852443695,0.7734938263893127,443.1333923339844,256.8885803222656,1.7754329442977905,842.1671844482422,884.8809204101562,0.33408015966415405,0.1313633769750595,0.007520581595599651,0.5302741020917893,0.6986392140388489,0.9319998025894165,0.05010462552309036,0.7154741287231445,0.9923020631074906,0.9999717473983765
case_14,14,400360,5.300424098968506,2.9012532234191895,9.186977624893188,14.805124273300162,30.95267105102539,0.054558397442301926,3.4991164207458496,0.35515323281288147,2.797447919845581,4.3103108406066895,5.132734775543213,385.0202941894531,19.48707389831543,346.3436584472656,427.4309997558594,446.4969177246094,0.357739120721817,0.051540445536375046,0.27668601274490356,0.49591198563575745,0.5916039943695068,187.34451293945312,17.370338439941406,130.08880615234375,212.33499145507812,222.90049743652344,0.3442087173461914,0.14122414588928223,0.007521487306803465,0.5588046401739121,0.773490309715271,443.24932861328125,256.9236145019531,1.7714530229568481,842.3535186767579,885.1083374023438,0.33403459191322327,0.13132934272289276,0.007521416526287794,0.5301730126142502,0.6986367106437683,0.9320217370986938,0.05008837208151817,0.7154765725135803,0.9923005104064941,0.9999716877937317
case_15,15,400360,3.3780579566955566,1.8326913118362427,5.832143068313598,9.363036231994613,18.940412521362305,0.05256768907982815,3.1766889095306396,0.2720814049243927,2.7383580207824707,3.7886319160461426,5.072033882141113,389.1473388671875,18.477283477783203,347.4422912597656,427.666748046875,447.9676818847656,0.352100133895874,0.061611074954271317,0.27000799775123596,0.49524301290512085,0.6584669947624207,186.9614715576172,17.37899398803711,129.79266357421875,211.94850463867186,222.29220581054688,0.3444361090660095,0.14137105643749237,0.007519750390201807,0.5590943217277526,0.7735093235969543,442.273193359375,256.6332702636719,1.6282989978790283,840.8756713867188,883.25537109375,0.3342401683330536,0.13145975768566132,0.007519679609686136,0.5304186433553696,0.6986503005027771,0.9319261312484741,0.05015471950173378,0.7154632806777954,0.9923028379678727,0.9999717473983765
case_16,16,400360,5.625429630279541,3.0860579013824463,9.801409292221068,15.720469598770103,34.04954528808594,0.054658307523229095,3.462811231613159,0.38113829493522644,2.7726290225982666,4.341714859008789,5.138513088226318,389.4546813964844,18.39821434020996,347.4306945800781,427.85137939453125,447.8814697265625,0.3562471866607666,0.053549159318208694,0.27089300751686096,0.4918529987335205,0.6131970286369324,187.38133239746094,17.368717193603516,130.1083221435547,212.36859970092775,222.96890258789062,0.3441798985004425,0.14120596647262573,0.00752099696546793,0.5587307214736938,0.7734894752502441,443.3676452636719,256.9371032714844,1.7772459983825684,842.4965209960938,885.3451538085938,0.3340085446834564,0.13131313025951385,0.007520926184952259,0.5301103591918945,0.6986361145973206,0.932033896446228,0.05008033663034439,0.7154771685600281,0.9923001557588578,0.9999716877937317
case_17,17,400360,5.22471284866333,2.8170926570892334,8.882305335998534,13.956213130950902,27.7415714263916,0.05529773204116295,3.3391776084899902,0.34354904294013977,2.7600150108337402,4.13048791885376,5.11299991607666,440.57305908203125,11.065532684326172,360.54339599609375,448.5782775878906,453.28765869140625,0.3592750132083893,0.0520152747631073,0.27882900834083557,0.49721699953079224,0.6147329807281494,187.22463989257812,17.355382919311523,130.02049255371094,212.18232650756835,222.79823303222656,0.3441717326641083,0.1411529928445816,0.007524486165493727,0.5585218250751495,0.7734874486923218,442.84735107421875,256.71038818359375,1.7524720430374146,841.6339752197266,884.135009765625,0.3340032994747162,0.13126328587532043,0.007524415384978056,0.5299332618713378,0.698634684085846,0.9320436120033264,0.050063978880643845,0.7154785990715027,0.9922952085733414,0.9999716877937317
