iteration,case_id,case_number,similarity_group,split
1,case_00,0,group_000,final_test
1,case_01,1,group_001,train
1,case_02,2,group_002,final_test
1,case_03,3,group_003,final_test
1,case_04,4,group_004,final_test
1,case_05,5,group_004,final_test
1,case_06,6,group_005,internal_test
1,case_07,7,group_003,final_test
1,case_08,8,group_003,final_test
1,case_09,9,group_003,final_test
1,case_10,10,group_006,train
1,case_11,11,group_007,train
1,case_12,12,group_008,train
1,case_13,13,group_009,train
1,case_14,14,group_009,train
1,case_15,15,group_010,train
1,case_16,16,group_011,train
1,case_17,17,group_012,train
1,case_18,18,group_013,validation
1,case_19,19,group_006,train
1,case_20,20,group_008,train
1,case_21,21,group_014,train
1,case_22,22,group_015,final_test
1,case_23,23,group_016,final_test
1,case_24,24,group_017,train
1,case_26,26,group_018,final_test
1,case_27,27,group_019,train
1,case_28,28,group_020,internal_test
1,case_29,29,group_021,validation
1,case_31,31,group_022,final_test
1,case_32,32,group_023,train
1,case_33,33,group_024,final_test
1,case_34,34,group_025,train
1,case_35,35,group_026,train
1,case_36,36,group_027,train
1,case_37,37,group_028,final_test
1,case_38,38,group_029,final_test
1,case_39,39,group_030,train
1,case_40,40,group_031,train
1,case_41,41,group_032,final_test
1,case_42,42,group_033,train
1,case_43,43,group_033,train
1,case_44,44,group_034,train
1,case_45,45,group_035,validation
1,case_46,46,group_004,final_test
1,case_47,47,group_036,train
1,case_48,48,group_037,train
1,case_49,49,group_006,train
1,case_50,50,group_038,final_test
1,case_51,51,group_039,validation
1,case_52,52,group_040,train
1,case_53,53,group_032,final_test
1,case_54,54,group_041,validation
1,case_55,55,group_042,final_test
1,case_56,56,group_043,train
1,case_57,57,group_044,internal_test
1,case_58,58,group_045,train
1,case_59,59,group_046,train
1,case_60,60,group_013,validation
1,case_61,61,group_047,train
1,case_62,62,group_048,validation
1,case_63,63,group_049,train
1,case_64,64,group_050,train
1,case_65,65,group_051,final_test
1,case_66,66,group_052,internal_test
1,case_67,67,group_040,train
1,case_68,68,group_053,train
1,case_69,69,group_054,train
1,case_70,70,group_055,final_test
1,case_71,71,group_056,internal_test
1,case_72,72,group_057,train
1,case_73,73,group_058,train
1,case_74,74,group_059,train
1,case_75,75,group_060,train
1,case_76,76,group_061,final_test
1,case_77,77,group_062,train
1,case_78,78,group_063,train
1,case_79,79,group_064,train
1,case_80,80,group_065,final_test
1,case_81,81,group_066,validation
1,case_82,82,group_020,internal_test
1,case_83,83,group_067,validation
1,case_84,84,group_008,train
1,case_85,85,group_068,train
1,case_86,86,group_069,validation
1,case_87,87,group_070,validation
1,case_88,88,group_042,final_test
1,case_89,89,group_071,train
1,case_90,90,group_072,final_test
1,case_91,91,group_007,train
1,case_92,92,group_073,train
1,case_93,93,group_074,internal_test
1,case_94,94,group_075,train
1,case_95,95,group_076,train
1,case_96,96,group_077,train
1,case_97,97,group_068,train
1,case_98,98,group_078,internal_test
1,case_99,99,group_079,train
1,case_100,100,group_008,train
1,case_101,101,group_067,validation
1,case_102,102,group_080,internal_test
1,case_103,103,group_081,final_test
1,case_104,104,group_082,train
1,case_105,105,group_083,train
1,case_106,106,group_084,train
1,case_107,107,group_047,train
1,case_108,108,group_085,final_test
1,case_109,109,group_034,train
1,case_110,110,group_086,train
1,case_111,111,group_087,train
1,case_112,112,group_088,final_test
1,case_113,113,group_089,final_test
1,case_114,114,group_090,train
1,case_115,115,group_006,train
1,case_116,116,group_011,train
1,case_117,117,group_091,internal_test
1,case_118,118,group_092,train
1,case_119,119,group_093,train
1,case_120,120,group_067,validation
1,case_121,121,group_093,train
1,case_122,122,group_094,train
1,case_123,123,group_095,final_test
1,case_124,124,group_096,train
1,case_125,125,group_097,train
1,case_126,126,group_098,final_test
1,case_127,127,group_093,train
1,case_128,128,group_094,train
1,case_129,129,group_099,train
1,case_130,130,group_097,train
1,case_131,131,group_095,final_test
1,case_132,132,group_100,final_test
1,case_133,133,group_101,train
1,case_134,134,group_102,final_test
1,case_135,135,group_103,final_test
1,case_136,136,group_104,train
1,case_137,137,group_094,train
1,case_138,138,group_105,final_test
1,case_139,139,group_106,train
1,case_140,140,group_107,final_test
1,case_141,141,group_108,train
1,case_142,142,group_109,train
1,case_143,143,group_110,train
1,case_144,144,group_111,train
1,case_145,145,group_112,validation
1,case_146,146,group_093,train
1,case_147,147,group_113,internal_test
1,case_148,148,group_114,train
1,case_149,149,group_115,final_test
1,case_150,150,group_116,train
1,case_151,151,group_117,train
1,case_152,152,group_118,final_test
1,case_153,153,group_119,train
1,case_154,154,group_120,train
1,case_155,155,group_121,train
1,case_156,156,group_096,train
1,case_157,157,group_122,train
1,case_158,158,group_123,train
1,case_159,159,group_124,internal_test
1,case_160,160,group_125,final_test
1,case_161,161,group_126,final_test
1,case_162,162,group_127,final_test
1,case_163,163,group_128,train
1,case_164,164,group_129,train
1,case_165,165,group_130,train
1,case_166,166,group_131,train
1,case_167,167,group_132,final_test
1,case_168,168,group_133,final_test
1,case_169,169,group_119,train
1,case_170,170,group_134,train
1,case_171,171,group_135,train
1,case_172,172,group_136,final_test
1,case_173,173,group_137,train
1,case_174,174,group_138,final_test
1,case_175,175,group_093,train
1,case_176,176,group_139,validation
1,case_177,177,group_140,final_test
1,case_178,178,group_141,final_test
1,case_179,179,group_142,train
1,case_180,180,group_143,train
1,case_181,181,group_144,train
1,case_182,182,group_145,train
1,case_183,183,group_146,train
1,case_184,184,group_147,train
1,case_185,185,group_148,train
1,case_186,186,group_149,train
1,case_187,187,group_147,train
1,case_188,188,group_093,train
1,case_189,189,group_101,train
1,case_190,190,group_096,train
1,case_191,191,group_106,train
1,case_192,192,group_106,train
1,case_193,193,group_150,train
1,case_194,194,group_151,train
1,case_195,195,group_152,train
1,case_196,196,group_113,internal_test
1,case_197,197,group_153,internal_test
1,case_198,198,group_107,final_test
1,case_199,199,group_154,internal_test
1,case_200,200,group_155,train
2,case_00,0,group_000,final_test
2,case_01,1,group_001,train
2,case_02,2,group_002,final_test
2,case_03,3,group_003,final_test
2,case_04,4,group_004,final_test
2,case_05,5,group_004,final_test
2,case_06,6,group_005,train
2,case_07,7,group_003,final_test
2,case_08,8,group_003,final_test
2,case_09,9,group_003,final_test
2,case_10,10,group_006,train
2,case_11,11,group_007,train
2,case_12,12,group_008,internal_test
2,case_13,13,group_009,train
2,case_14,14,group_009,train
2,case_15,15,group_010,train
2,case_16,16,group_011,train
2,case_17,17,group_012,train
2,case_18,18,group_013,train
2,case_19,19,group_006,train
2,case_20,20,group_008,internal_test
2,case_21,21,group_014,train
2,case_22,22,group_015,final_test
2,case_23,23,group_016,final_test
2,case_24,24,group_017,train
2,case_26,26,group_018,final_test
2,case_27,27,group_019,internal_test
2,case_28,28,group_020,train
2,case_29,29,group_021,train
2,case_31,31,group_022,final_test
2,case_32,32,group_023,train
2,case_33,33,group_024,final_test
2,case_34,34,group_025,train
2,case_35,35,group_026,train
2,case_36,36,group_027,train
2,case_37,37,group_028,final_test
2,case_38,38,group_029,final_test
2,case_39,39,group_030,validation
2,case_40,40,group_031,train
2,case_41,41,group_032,final_test
2,case_42,42,group_033,internal_test
2,case_43,43,group_033,internal_test
2,case_44,44,group_034,train
2,case_45,45,group_035,train
2,case_46,46,group_004,final_test
2,case_47,47,group_036,validation
2,case_48,48,group_037,train
2,case_49,49,group_006,train
2,case_50,50,group_038,final_test
2,case_51,51,group_039,train
2,case_52,52,group_040,train
2,case_53,53,group_032,final_test
2,case_54,54,group_041,train
2,case_55,55,group_042,final_test
2,case_56,56,group_043,train
2,case_57,57,group_044,train
2,case_58,58,group_045,train
2,case_59,59,group_046,train
