case_id,variable,provisional_lower,provisional_upper,observed_min,observed_max,n_below,n_above,fraction_outside,action
case_01,fluence_rate,0.0,7.0,2.7673590183258057,5.1644511222839355,0,0,0.0,flag_only_no_clipping
case_01,temperature,25.0,600.0,350.38177490234375,448.6435546875,0,0,0.0,flag_only_no_clipping
case_01,weight_loss_rate,0.0,2.0,0.2690010070800781,0.6124340295791626,0,0,0.0,flag_only_no_clipping
case_01,sigma_max_principal,-70.0,35.0,-2.957045078277588,37.16805648803711,0,30,7.493256069537416e-05,flag_only_pending_stress_sign_and_mesh_review
case_06,fluence_rate,0.0,7.0,2.778795003890991,5.141026020050049,0,0,0.0,flag_only_no_clipping
case_06,temperature,25.0,600.0,354.5773620605469,450.0254211425781,0,0,0.0,flag_only_no_clipping
case_06,weight_loss_rate,0.0,2.0,0.2737959921360016,0.5946130156517029,0,0,0.0,flag_only_no_clipping
case_06,sigma_max_principal,-70.0,35.0,-2.954927921295166,32.9944953918457,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_10,fluence_rate,0.0,7.0,2.759705066680908,5.175214767456055,0,0,0.0,flag_only_no_clipping
case_10,temperature,25.0,600.0,345.65032958984375,447.8836669921875,0,0,0.0,flag_only_no_clipping
case_10,weight_loss_rate,0.0,2.0,0.26363998651504517,0.6311690211296082,0,0,0.0,flag_only_no_clipping
case_10,sigma_max_principal,-70.0,35.0,-2.945112943649292,36.003170013427734,0,6,1.4986512139074833e-05,flag_only_pending_stress_sign_and_mesh_review
case_11,fluence_rate,0.0,7.0,2.7569079399108887,5.1711859703063965,0,0,0.0,flag_only_no_clipping
case_11,temperature,25.0,600.0,361.0643005371094,452.9774169921875,0,0,0.0,flag_only_no_clipping
case_11,weight_loss_rate,0.0,2.0,0.2734279930591583,0.6041010022163391,0,0,0.0,flag_only_no_clipping
case_11,sigma_max_principal,-70.0,35.0,-3.1068809032440186,35.55618667602539,0,4,9.991008092716555e-06,flag_only_pending_stress_sign_and_mesh_review
case_12,fluence_rate,0.0,7.0,2.7721569538116455,5.169034957885742,0,0,0.0,flag_only_no_clipping
case_12,temperature,25.0,600.0,345.8624572753906,446.35638427734375,0,0,0.0,flag_only_no_clipping
case_12,weight_loss_rate,0.0,2.0,0.27773699164390564,0.5934960246086121,0,0,0.0,flag_only_no_clipping
case_12,sigma_max_principal,-70.0,35.0,-2.8703689575195312,36.23194885253906,0,11,2.7475272254970525e-05,flag_only_pending_stress_sign_and_mesh_review
case_13,fluence_rate,0.0,7.0,2.742722988128662,5.116156101226807,0,0,0.0,flag_only_no_clipping
case_13,temperature,25.0,600.0,344.8303527832031,447.6676330566406,0,0,0.0,flag_only_no_clipping
case_13,weight_loss_rate,0.0,2.0,0.2708219885826111,0.6152369976043701,0,0,0.0,flag_only_no_clipping
case_13,sigma_max_principal,-70.0,35.0,-2.6071410179138184,30.08977508544922,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_14,fluence_rate,0.0,7.0,2.797447919845581,5.132734775543213,0,0,0.0,flag_only_no_clipping
case_14,temperature,25.0,600.0,346.3436584472656,446.4969177246094,0,0,0.0,flag_only_no_clipping
case_14,weight_loss_rate,0.0,2.0,0.27668601274490356,0.5916039943695068,0,0,0.0,flag_only_no_clipping
case_14,sigma_max_principal,-70.0,35.0,-2.66169810295105,30.95267105102539,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_15,fluence_rate,0.0,7.0,2.7383580207824707,5.072033882141113,0,0,0.0,flag_only_no_clipping
case_15,temperature,25.0,600.0,347.4422912597656,447.9676818847656,0,0,0.0,flag_only_no_clipping
case_15,weight_loss_rate,0.0,2.0,0.27000799775123596,0.6584669947624207,0,0,0.0,flag_only_no_clipping
case_15,sigma_max_principal,-70.0,35.0,-1.6369160413742065,18.940412521362305,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_16,fluence_rate,0.0,7.0,2.7726290225982666,5.138513088226318,0,0,0.0,flag_only_no_clipping
case_16,temperature,25.0,600.0,347.4306945800781,447.8814697265625,0,0,0.0,flag_only_no_clipping
case_16,weight_loss_rate,0.0,2.0,0.27089300751686096,0.6131970286369324,0,0,0.0,flag_only_no_clipping
case_16,sigma_max_principal,-70.0,35.0,-2.828829050064087,34.04954528808594,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_17,fluence_rate,0.0,7.0,2.7600150108337402,5.11299991607666,0,0,0.0,flag_only_no_clipping
case_17,temperature,25.0,600.0,360.54339599609375,453.28765869140625,0,0,0.0,flag_only_no_clipping
case_17,weight_loss_rate,0.0,2.0,0.27882900834083557,0.6147329807281494,0,0,0.0,flag_only_no_clipping
case_17,sigma_max_principal,-70.0,35.0,-2.631021022796631,27.7415714263916,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_18,fluence_rate,0.0,7.0,2.7948310375213623,5.172270774841309,0,0,0.0,flag_only_no_clipping
case_18,temperature,25.0,600.0,346.0321350097656,447.2848815917969,0,0,0.0,flag_only_no_clipping
