case_id,case_number,feature,spearman,pearson,n_elements
case_01,1,fluence_rate,0.17165798969853877,-0.19723690629281604,400360
case_01,1,temperature,-0.036947594982917234,-0.18485151540191228,400360
case_01,1,weight_loss_rate,-0.05483334511075968,-0.38207592624771275,400360
case_01,1,rho,-0.007897442097896999,0.16629685840353142,400360
case_01,1,theta,0.02894213507654546,0.05716208857216843,400360
case_01,1,z,0.23599468036751794,0.17806570298287827,400360
case_01,1,theta_sin,0.028942134916487356,0.05719787857555705,400360
case_01,1,theta_cos,-0.028942242290397168,-0.05299804341080272,400360
case_06,6,fluence_rate,0.07116541270998517,-0.24884282206695116,400360
case_06,6,temperature,-0.15970687626576496,-0.22267008671320074,400360
case_06,6,weight_loss_rate,-0.04499233809447826,-0.368181800278068,400360
case_06,6,rho,0.10397200082533593,0.25123184628433276,400360
case_06,6,theta,0.033559360220437914,0.05538552688472908,400360
case_06,6,z,0.20288679229622472,0.15505032562370188,400360
case_06,6,theta_sin,0.03355935936281105,0.05536380228044077,400360
case_06,6,theta_cos,-0.033559445779018426,-0.05202758026210533,400360
case_10,10,fluence_rate,0.18116277862057525,-0.18567836534783808,400360
case_10,10,temperature,0.0019470286613760491,-0.16594418618764106,400360
case_10,10,weight_loss_rate,-0.11214531214845305,-0.3890786893238361,400360
case_10,10,rho,-0.034706564477663064,0.14818549659125763,400360
case_10,10,theta,0.047650965655985617,0.0676215483715912,400360
case_10,10,z,0.22022742785580032,0.16914988129665193,400360
case_10,10,theta_sin,0.04765096638292804,0.06746205186645692,400360
case_10,10,theta_cos,-0.04765102308332935,-0.06469122870136132,400360
case_11,11,fluence_rate,0.09314942135592677,-0.2388112836397354,400360
case_11,11,temperature,-0.17969726006894637,-0.1674586737238947,400360
case_11,11,weight_loss_rate,-0.08616385918820102,-0.4017354885940165,400360
case_11,11,rho,0.08290804543882446,0.23747072031902655,400360
case_11,11,theta,0.0292329872569386,0.052435351135974625,400360
case_11,11,z,0.2230948567983625,0.17009454803382962,400360
case_11,11,theta_sin,0.029232986648137227,0.05226617666200981,400360
case_11,11,theta_cos,-0.029233066631099713,-0.050119834669694496,400360
case_12,12,fluence_rate,0.20640721998025088,-0.18401851726686125,400360
case_12,12,temperature,0.043523029260420475,-0.14109619211967167,400360
case_12,12,weight_loss_rate,0.018402004198446884,-0.35429521343233245,400360
case_12,12,rho,-0.06119143182995597,0.13320232831093157,400360
case_12,12,theta,0.04714321101984508,0.06871119445613667,400360
case_12,12,z,0.24139935871874185,0.1785613801601449,400360
case_12,12,theta_sin,0.04714321031412113,0.06889079759994529,400360
case_12,12,theta_cos,-0.047143302736586505,-0.06337469381967746,400360
case_13,13,fluence_rate,0.20546895724792089,-0.1758299182512625,400360
case_13,13,temperature,0.008579584553490525,-0.15884577996494992,400360
case_13,13,weight_loss_rate,-0.047386471428373905,-0.37763214570927306,400360
case_13,13,rho,-0.03837072454574752,0.1455898862980069,400360
case_13,13,theta,0.02903578472850849,0.059242697934104395,400360
case_13,13,z,0.21931908139096695,0.16692719980638707,400360
case_13,13,theta_sin,0.02903578447732757,0.05922276039355807,400360
case_13,13,theta_cos,-0.02903585421216561,-0.05526227088866758,400360
case_14,14,fluence_rate,0.1542174170997122,-0.19241875122310698,400360
case_14,14,temperature,-0.01649588321843294,-0.1778068999748453,400360
case_14,14,weight_loss_rate,-0.0460177118895191,-0.37764038099721386,400360
case_14,14,rho,-0.003662037879482533,0.1702406819436112,400360
case_14,14,theta,0.03018312391114974,0.05804772843113499,400360
case_14,14,z,0.20290018615840336,0.1554916300164245,400360
case_14,14,theta_sin,0.03018312244648127,0.05790803809536066,400360
case_14,14,theta_cos,-0.03018322902165595,-0.05515488435304702,400360
case_15,15,fluence_rate,0.17021584979453666,-0.15564087207096888,400360
case_15,15,temperature,0.0008546551706937605,-0.14941751495154967,400360
case_15,15,weight_loss_rate,0.0076725928901881495,-0.3627193733734481,400360
case_15,15,rho,-0.03172425325886789,0.14352902091817915,400360
case_15,15,theta,0.03531562719104709,0.06352464789251729,400360
case_15,15,z,0.2196797164611893,0.1687494119440231,400360
case_15,15,theta_sin,0.03531562731139617,0.0636296923248623,400360
case_15,15,theta_cos,-0.035315707307697314,-0.05840660552846677,400360
case_16,16,fluence_rate,0.16945767430363037,-0.19054447516450357,400360
case_16,16,temperature,-0.018266441849776445,-0.16931813995406292,400360
case_16,16,weight_loss_rate,-0.07201729927655151,-0.3879276969331007,400360
case_16,16,rho,-0.010421190971927893,0.16459907030738644,400360
case_16,16,theta,0.02974060192824418,0.057349220365302996,400360
case_16,16,z,0.20635594295508602,0.15828390998693923,400360
case_16,16,theta_sin,0.029740601649735812,0.0572142897776832,400360
case_16,16,theta_cos,-0.029740700196590242,-0.05440637807330829,400360
case_17,17,fluence_rate,0.06688219332243792,-0.2501616951910175,400360
case_17,17,temperature,-0.191604632207239,-0.1220941890038415,400360
case_17,17,weight_loss_rate,-0.08033338511486608,-0.3921538677870936,400360
case_17,17,rho,0.10510057524815268,0.2556223282153182,400360
case_17,17,theta,0.035441704231010375,0.05775529392083874,400360
case_17,17,z,0.2008967060566837,0.15437856665109176,400360
case_17,17,theta_sin,0.035441703452592774,0.057946049928956585,400360
case_17,17,theta_cos,-0.035441813493483694,-0.052826332890256456,400360
case_18,18,fluence_rate,0.1434228445763158,-0.2012968148223611,400360
