iteration,model,n_train_cases,n_train_elements,assembly_seconds_shared_by_iteration,fit_seconds
1,Ridge,119,47642840,74.93265279196203,12.670779457781464
1,HistGradientBoosting,119,47642840,74.93265279196203,348.0446164999157
1,ExtraTrees,119,47642840,74.93265279196203,2808.7938494579867
2,Ridge,119,47642840,78.96520658303052,13.454940041992813
2,HistGradientBoosting,119,47642840,78.96520658303052,366.25742783304304
2,ExtraTrees,119,47642840,78.96520658303052,2825.2536631249823
3,Ridge,119,47642840,82.70242912508547,13.66303062485531
3,HistGradientBoosting,119,47642840,82.70242912508547,407.1867913750466
3,ExtraTrees,119,47642840,82.70242912508547,2808.585148208076
4,Ridge,119,47642840,82.6931751249358,14.161391958827153
4,HistGradientBoosting,119,47642840,82.6931751249358,399.2508931660559
4,ExtraTrees,119,47642840,82.6931751249358,2810.5971197499894
