stage,run_id,candidate_index,complexity,loss,score,equation,formula_scaled_sympy,formula_original_variables,feature_support_json,structure_signature,family_signature
case_mean,hierarchical_i1_case_mean_20260817_060826,0,1,0.7734649,0.0,temperature_p95_scaled,temperature_p95_scaled,0.0470427355318997*temperature_p95 - 14.8044802202224,"[""temperature_p95_scaled""]",Symbol('temperature_p95_scaled'),"{""features"": [""temperature_p95_scaled""], ""operators"": []}"
case_mean,hierarchical_i1_case_mean_20260817_060826,1,3,0.58458865,0.13998592666408666,z_max_scaled - fluence_rate_mean_scaled,-fluence_rate_mean_scaled + z_max_scaled,-2.38821026007341*fluence_rate_mean + 0.739214428604357*z_max - 641.229619593915,"[""fluence_rate_mean_scaled"", ""z_max_scaled""]","Add(Mul(Integer(-1), Symbol('fluence_rate_mean_scaled')), Symbol('z_max_scaled'))","{""features"": [""fluence_rate_mean_scaled"", ""z_max_scaled""], ""operators"": [""Add"", ""Mul""]}"
case_mean,hierarchical_i1_case_mean_20260817_060826,2,5,0.39073014,0.2014456474150126,(fluence_rate_mean_scaled - temperature_p95_scaled) * -0.5968257,(fluence_rate_mean_scaled - temperature_p95_scaled)*(-0.5968257),-1.42534526021549*fluence_rate_mean + 0.0280763135637409*temperature_p95 - 1.86854673086677,"[""fluence_rate_mean_scaled"", ""temperature_p95_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('fluence_rate_mean_scaled')), Mul(Integer(-1), CONST, Symbol('temperature_p95_scaled'))))","{""features"": [""fluence_rate_mean_scaled"", ""temperature_p95_scaled""], ""operators"": [""Add"", ""Mul""]}"
case_mean,hierarchical_i1_case_mean_20260817_060826,3,7,0.3416627,0.0670965747965674,temperature_p95_scaled - square(fluence_rate_p95_scaled * 0.49394035),-0.243977069358122*fluence_rate_p95_scaled**2 + temperature_p95_scaled,0.0470427355318997*temperature_p95 - 87.9842047834813*(0.226337300562125*fluence_rate_p95 - 1)**2 - 14.8044802202224,"[""fluence_rate_p95_scaled"", ""temperature_p95_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Pow(Symbol('fluence_rate_p95_scaled'), Integer(2))), Mul(Integer(-1), CONST, Symbol('temperature_p95_scaled'))))","{""features"": [""fluence_rate_p95_scaled"", ""temperature_p95_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow""]}"
case_mean,hierarchical_i1_case_mean_20260817_060826,4,8,0.21093097,0.4822930695302746,(temperature_p95_scaled + 0.6063487) - abs(fluence_rate_p95_scaled),temperature_p95_scaled - Abs(fluence_rate_p95_scaled) + 0.6063487,0.0470427355318997*temperature_p95 - 0.870195660324862*Abs(4.60760803334225*fluence_rate_p95 - 20.3572633494299) - 14.2768382128388,"[""fluence_rate_p95_scaled"", ""temperature_p95_scaled""]","Mul(Integer(-1), CONST, Add(Mul(Integer(-1), CONST, Symbol('temperature_p95_scaled')), Mul(CONST, Abs(Symbol('fluence_rate_p95_scaled'))), CONST))","{""features"": [""fluence_rate_p95_scaled"", ""temperature_p95_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}"
case_mean,hierarchical_i1_case_mean_20260817_060826,5,10,0.18499951,0.06558887356223222,((temperature_p95_scaled - abs(fluence_rate_p95_scaled)) * 0.84862655) - -0.51455665,(temperature_p95_scaled - Abs(fluence_rate_p95_scaled))*0.84862655 - 1*(-0.51455665),0.0399217143569985*temperature_p95 - 0.738471141046459*Abs(4.60760803334225*fluence_rate_p95 - 20.3572633494299) - 11.4173836359873,"[""fluence_rate_p95_scaled"", ""temperature_p95_scaled""]","Mul(Integer(-1), CONST, Add(Mul(Integer(-1), CONST, Symbol('temperature_p95_scaled')), Mul(CONST, Abs(Symbol('fluence_rate_p95_scaled'))), CONST))","{""features"": [""fluence_rate_p95_scaled"", ""temperature_p95_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}"
case_mean,hierarchical_i1_case_mean_20260817_060826,6,12,0.13989002,0.13974831698418175,temperature_p95_scaled + ((0.60633695 - abs(fluence_rate_p95_scaled)) + (weight_loss_rate_mean_scaled * -0.2665389)),temperature_p95_scaled + weight_loss_rate_mean_scaled*(-0.2665389) - Abs(fluence_rate_p95_scaled) + 0.60633695,0.0470427355318997*temperature_p95 - 3.37456525364395*weight_loss_rate_mean - 0.870195660324862*Abs(4.60760803334225*fluence_rate_p95 - 20.3572633494299) - 12.97137515339,"[""fluence_rate_p95_scaled"", ""temperature_p95_scaled"", ""weight_loss_rate_mean_scaled""]","Mul(Integer(-1), CONST, Add(Mul(Integer(-1), CONST, Symbol('temperature_p95_scaled')), Mul(CONST, Symbol('weight_loss_rate_mean_scaled')), Mul(CONST, Abs(Symbol('fluence_rate_p95_scaled'))), CONST))","{""features"": [""fluence_rate_p95_scaled"", ""temperature_p95_scaled"", ""weight_loss_rate_mean_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}"
case_mean,hierarchical_i1_case_mean_20260817_060826,7,14,0.11113516,0.1150547121158225,temperature_p95_scaled + ((0.60634035 - abs(fluence_rate_p95_scaled)) + ((temperature_mean_scaled + weight_loss_rate_mean_scaled) * -0.22018147)),temperature_p95_scaled + (temperature_mean_scaled + weight_loss_rate_mean_scaled)*(-0.22018147) - Abs(fluence_rate_p95_scaled) + 0.60634035,-0.0102568404933681*temperature_mean + 0.0470427355318997*temperature_p95 - 2.78764840013314*weight_loss_rate_mean - 0.870195660324862*Abs(4.60760803334225*fluence_rate_p95 - 20.3572633494299) - 9.2839181269321,"[""fluence_rate_p95_scaled"", ""temperature_mean_scaled"", ""temperature_p95_scaled"", ""weight_loss_rate_mean_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('temperature_mean_scaled')), Mul(Integer(-1), CONST, Symbol('temperature_p95_scaled')), Mul(CONST, Symbol('weight_loss_rate_mean_scaled')), Mul(CONST, Abs(Symbol('fluence_rate_p95_scaled'))), CONST))","{""features"": [""fluence_rate_p95_scaled"", ""temperature_mean_scaled"", ""temperature_p95_scaled"", ""weight_loss_rate_mean_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}"
case_mean,hierarchical_i1_case_mean_20260817_060826,8,16,0.098648295,0.059593084615890066,temperature_p95_scaled + (((weight_loss_rate_mean_scaled + temperature_mean_scaled) * -0.23666795) + ((0.60634184 - abs(fluence_rate_p95_scaled)) * 0.8563631)),temperature_p95_scaled + (0.60634184 - Abs(fluence_rate_p95_scaled))*0.8563631 + (temperature_mean_scaled + weight_loss_rate_mean_scaled)*(-0.23666795),-0.0110248397062769*temperature_mean + 0.0470427355318997*temperature_p95 - 2.9963785425735*weight_loss_rate_mean - 0.745203453282345*Abs(4.60760803334225*fluence_rate_p95 - 20.3572633494299) - 8.98585050066806,"[""fluence_rate_p95_scaled"", ""temperature_mean_scaled"", ""temperature_p95_scaled"", ""weight_loss_rate_mean_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('temperature_mean_scaled')), Mul(Integer(-1), CONST, Symbol('temperature_p95_scaled')), Mul(CONST, Symbol('weight_loss_rate_mean_scaled')), Mul(CONST, Abs(Symbol('fluence_rate_p95_scaled'))), CONST))","{""features"": [""fluence_rate_p95_scaled"", ""temperature_mean_scaled"", ""temperature_p95_scaled"", ""weight_loss_rate_mean_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}"
case_mean,hierarchical_i1_case_mean_20260817_060826,9,18,0.09334017,0.027655193587945166,(((((temperature_mean_scaled + weight_loss_rate_mean_scaled) * -0.249661) - (z_max_scaled * -0.1399448)) + temperature_p95_scaled) - abs(fluence_rate_p95_scaled)) + 0.6063363,temperature_p95_scaled - (-0.1399448)*z_max_scaled + (temperature_mean_scaled + weight_loss_rate_mean_scaled)*(-0.249661) - Abs(fluence_rate_p95_scaled) + 0.6063363,-0.0116301024532845*temperature_mean + 0.0470427355318997*temperature_p95 - 3.16087946558646*weight_loss_rate_mean + 0.103449215368151*z_max - 0.870195660324862*Abs(4.60760803334225*fluence_rate_p95 - 20.3572633494299) - 100.195330145459,"[""fluence_rate_p95_scaled"", ""temperature_mean_scaled"", ""temperature_p95_scaled"", ""weight_loss_rate_mean_scaled"", ""z_max_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('temperature_mean_scaled')), Mul(Integer(-1), CONST, Symbol('temperature_p95_scaled')), Mul(CONST, Symbol('weight_loss_rate_mean_scaled')), Mul(Integer(-1), CONST, Symbol('z_max_scaled')), Mul(CONST, Abs(Symbol('fluence_rate_p95_scaled'))), CONST))","{""features"": [""fluence_rate_p95_scaled"", ""temperature_mean_scaled"", ""temperature_p95_scaled"", ""weight_loss_rate_mean_scaled"", ""z_max_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}"
