variable,role,mean,std
fluence_rate_mean,input,3.5831292036200773,0.3643714604501005
fluence_rate_p95,input,4.4181847071447296,0.21703235013995406
temperature_mean,input,381.64840390501905,18.680309965026183
temperature_p95,input,412.76827413094145,18.497981685924294
weight_loss_rate_mean,input,0.38685673149693917,0.06873211114744511
weight_loss_rate_std,input,0.05039979226323737,0.008512504656760088
rho_mean,input,187.45231589950433,0.3136963647445389
rho_std,input,17.378678490133847,0.022082179763653793
rho_max,input,223.0739288330078,0.41753455118293276
z_mean,input,443.3344070049895,0.6078464646384081
z_std,input,256.96938958688946,0.2888654548375857
z_max,input,885.2643140263918,1.177189766124828
theta_sin_std,input,0.1312945738059132,7.94461209487069e-05
case_stress_mean,target,4.6132685356781264,0.8701956603248616
