feature,role
fluence_rate_mean,case_formula_and_shape_context
fluence_rate_p95,case_formula_and_shape_context
temperature_mean,case_formula_and_shape_context
temperature_p95,case_formula_and_shape_context
weight_loss_rate_mean,case_formula_and_shape_context
weight_loss_rate_std,case_formula_and_shape_context
rho_mean,case_formula_and_shape_context
rho_std,case_formula_and_shape_context
rho_max,case_formula_and_shape_context
z_mean,case_formula_and_shape_context
z_std,case_formula_and_shape_context
z_max,case_formula_and_shape_context
theta_sin_std,case_formula_and_shape_context
fluence_rate,shape_formula
temperature,shape_formula
weight_loss_rate,shape_formula
rho,shape_formula
theta_sin,shape_formula
theta_cos,shape_formula
z,shape_formula
fluence_rate_within_case_z,shape_formula
temperature_within_case_z,shape_formula
weight_loss_rate_within_case_z,shape_formula
rho_within_case_z,shape_formula
theta_sin_within_case_z,shape_formula
theta_cos_within_case_z,shape_formula
z_within_case_z,shape_formula
