feature,role
fluence_rate,single_shape_formula
temperature,single_shape_formula
weight_loss_rate,single_shape_formula
rho,single_shape_formula
theta_sin,single_shape_formula
theta_cos,single_shape_formula
z,single_shape_formula
fluence_rate_within_case_z,single_shape_formula
temperature_within_case_z,single_shape_formula
weight_loss_rate_within_case_z,single_shape_formula
rho_within_case_z,single_shape_formula
theta_sin_within_case_z,single_shape_formula
theta_cos_within_case_z,single_shape_formula
z_within_case_z,single_shape_formula
fluence_rate_mean,single_shape_formula
fluence_rate_p95,single_shape_formula
temperature_mean,single_shape_formula
temperature_p95,single_shape_formula
weight_loss_rate_mean,single_shape_formula
weight_loss_rate_std,single_shape_formula
rho_mean,single_shape_formula
rho_std,single_shape_formula
rho_max,single_shape_formula
z_mean,single_shape_formula
z_std,single_shape_formula
z_max,single_shape_formula
theta_sin_std,single_shape_formula
