Complexity,Loss,Equation
1,0.9999999,"3.2088807e-5"
3,0.9200946,"weight_loss_rate_within_case_z_scaled * -0.28246352"
5,0.8450822,"fluence_rate_scaled * (fluence_rate_within_case_z_scaled * -0.23631586)"
6,0.81487864,"0.7802671 - abs(fluence_rate_scaled)"
7,0.80847645,"(rho_within_case_z_scaled * (fluence_rate_scaled * 0.3140224)) + 0.21319573"
8,0.7725567,"rho_scaled * (abs(rho_scaled) + -1.5419669)"
9,0.7366033,"((theta_cos_scaled * theta_cos_scaled) - square(rho_within_case_z_scaled)) * 0.24702795"
10,0.7259169,"(abs(theta_cos_scaled) + (rho_within_case_z_scaled * fluence_rate_scaled)) * 0.3635569"
11,0.71087307,"(square(theta_cos_scaled) * 0.19811076) + (fluence_rate_scaled * (rho_within_case_z_scaled * 0.33742556))"
12,0.7038818,"(0.30413145 - rho_scaled) * ((abs(rho_scaled) + -1.5044442) * -0.71074325)"
13,0.6937541,"((theta_cos_scaled + -1.8984095) * ((0.39367616 - theta_cos_scaled) - square(rho_within_case_z_scaled))) * -0.14209339"
14,0.65356857,"square(theta_cos_scaled * 0.68717235) + (abs(rho_within_case_z_scaled * theta_cos_within_case_z_scaled) * -0.7670775)"
16,0.59651196,"((theta_cos_scaled * (theta_sin_scaled * -0.5423868)) - rho_scaled) * ((abs(rho_scaled) + -1.5153803) * -0.5700062)"
18,0.5817304,"(((((theta_cos_scaled * theta_sin_scaled) * -0.7294356) - rho_scaled) * (abs(rho_scaled) + -1.5512555)) + 0.30401608) * -0.50046"
22,0.552853,"(abs(rho_scaled + 0.7576946) + -2.4451485) * ((((1.396742 - theta_cos_scaled) * 0.29777902) - (rho_scaled * (rho_scaled + 0.65600795))) * -0.5690973)"
23,0.51135546,"((abs(theta_cos_scaled) * -0.33720678) - ((rho_scaled + 0.55312616) * (rho_scaled * -0.60745907))) * (abs(rho_scaled + 0.70872515) + -2.4089437)"
25,0.51006216,"(((abs(theta_cos_scaled) * -0.36809048) - (((rho_scaled + 0.5297438) * rho_scaled) * -0.5949571)) * (abs(rho_scaled + 0.7141186) + -2.3817723)) - 0.06702916"
26,0.5058694,"(((((square(theta_cos_scaled * 0.65031546) + 0.6585992) - rho_scaled) * (rho_scaled + 1.3703092)) * (abs(rho_scaled + 0.8337794) + -2.189402)) * -0.4483993) - 0.4647737"
