segment,attempt,resume_from_checkpoint,return_code,termination_reason,stalled,wall_timed_out,elapsed_seconds,checkpoint_exists_after,hall_of_fame_exists_after,worker_frontier_exists,finished_at
1,1,False,0,process_exit,False,False,1020.613604068756,True,True,True,2026-08-17T23:40:26+0100
2,1,True,0,process_exit,False,False,960.5177080631256,True,True,True,2026-08-17T23:56:27+0100
3,1,True,0,process_exit,False,False,840.2286860942841,True,True,True,2026-08-18T00:10:27+0100
4,1,True,0,process_exit,False,False,840.1757347583771,True,True,True,2026-08-18T00:24:27+0100
5,1,True,0,process_exit,False,False,900.2616899013519,True,True,True,2026-08-18T00:39:28+0100
6,1,True,0,process_exit,False,False,1020.5524969100952,True,True,True,2026-08-18T00:56:28+0100
7,1,True,0,process_exit,False,False,960.4412479400636,True,True,True,2026-08-18T01:12:29+0100
8,1,True,0,process_exit,False,False,1020.6799111366272,True,True,True,2026-08-18T01:29:29+0100
9,1,True,0,process_exit,False,False,1020.5142431259156,True,True,True,2026-08-18T01:46:30+0100
10,1,True,0,process_exit,False,False,1501.5541710853577,True,True,True,2026-08-18T02:11:32+0100
11,1,True,0,process_exit,False,False,1440.7125039100647,True,True,True,2026-08-18T02:35:32+0100
12,1,True,0,process_exit,False,False,1200.7362027168274,True,True,True,2026-08-18T02:55:33+0100
13,1,True,0,process_exit,False,False,1560.8391752243042,True,True,True,2026-08-18T03:21:34+0100
14,1,True,0,process_exit,False,False,1680.8382411003113,True,True,True,2026-08-18T03:49:35+0100
15,1,True,0,process_exit,False,False,2582.5905351638794,True,True,True,2026-08-18T04:32:37+0100
16,1,True,0,process_exit,False,False,2945.678913116455,True,True,True,2026-08-18T05:21:43+0100
17,1,True,0,process_exit,False,False,1140.2629029750824,True,True,True,2026-08-18T05:40:43+0100
18,1,True,0,process_exit,False,False,1080.4061810970306,True,True,True,2026-08-18T05:58:44+0100
19,1,True,0,process_exit,False,False,1200.6250870227814,True,True,True,2026-08-18T06:18:45+0100
20,1,True,0,process_exit,False,False,1441.449021100998,True,True,True,2026-08-18T06:42:46+0100
