stage,run_id,candidate_index,complexity,loss,score,equation,formula_scaled_sympy,formula_original_variables,feature_support_json,structure_signature,family_signature,segment,attempt,search_mode
shape,recoverable_i1_single_shape,0,1,0.9999999,0.0,3.2088807e-5,3.20888070000000e-5,0.285774961493221,[],CONST,"{""features"": [], ""operators"": []}",7,1,warm_start_checkpoint
shape,recoverable_i1_single_shape,1,3,0.9200946,0.041639344069164655,weight_loss_rate_within_case_z_scaled * -0.28246352,weight_loss_rate_within_case_z_scaled*(-0.28246352),0.338682388136667 - 0.263778515239209*weight_loss_rate_within_case_z,"[""weight_loss_rate_within_case_z_scaled""]","Mul(Integer(-1), CONST, Symbol('weight_loss_rate_within_case_z_scaled'))","{""features"": [""weight_loss_rate_within_case_z_scaled""], ""operators"": [""Mul""]}",7,1,warm_start_checkpoint
shape,recoverable_i1_single_shape,2,5,0.8450823,0.042521235889825586,fluence_rate_scaled * (fluence_rate_within_case_z_scaled * -0.23634364),fluence_rate_scaled*fluence_rate_within_case_z_scaled*(-0.23634364),-0.260729184117163*(1.88569304205524*fluence_rate - 6.93049292450245)*(0.842000479209394*fluence_rate_within_case_z - 0.19525739300491) + 0.285739561816426,"[""fluence_rate_scaled"", ""fluence_rate_within_case_z_scaled""]","Mul(Integer(-1), CONST, Symbol('fluence_rate_scaled'), Symbol('fluence_rate_within_case_z_scaled'))","{""features"": [""fluence_rate_scaled"", ""fluence_rate_within_case_z_scaled""], ""operators"": [""Mul""]}",7,1,warm_start_checkpoint
shape,recoverable_i1_single_shape,3,6,0.81487864,0.0363948248866424,0.7802671 - abs(fluence_rate_scaled),0.7802671 - Abs(fluence_rate_scaled),1.14651332486952 - 1.10317833861391*Abs(1.88569304205524*fluence_rate - 6.93049292450245),"[""fluence_rate_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Abs(Symbol('fluence_rate_scaled'))), CONST))","{""features"": [""fluence_rate_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",7,1,warm_start_checkpoint
shape,recoverable_i1_single_shape,4,7,0.80847645,0.007887643599418848,(rho_within_case_z_scaled * (fluence_rate_scaled * 0.3140224)) + 0.21319573,rho_within_case_z_scaled*fluence_rate_scaled*0.3140224 + 0.21319573,0.346422709519551*(1.88569304205524*fluence_rate - 6.93049292450245)*(0.886855416159597*rho_within_case_z + 0.230750889548587) + 0.520932473037405,"[""fluence_rate_scaled"", ""rho_within_case_z_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('fluence_rate_scaled'), Symbol('rho_within_case_z_scaled')), CONST))","{""features"": [""fluence_rate_scaled"", ""rho_within_case_z_scaled""], ""operators"": [""Add"", ""Mul""]}",7,1,warm_start_checkpoint
shape,recoverable_i1_single_shape,5,8,0.78775936,0.025958888069055577,0.574819 - (abs(fluence_rate_scaled) * 0.73666555),0.574819 - 0.73666555*Abs(fluence_rate_scaled),0.919867431240133 - 0.812673477563099*Abs(1.88569304205524*fluence_rate - 6.93049292450245),"[""fluence_rate_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Abs(Symbol('fluence_rate_scaled'))), CONST))","{""features"": [""fluence_rate_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",7,1,warm_start_checkpoint
shape,recoverable_i1_single_shape,6,9,0.73660386,0.06714241821856101,((theta_cos_scaled * theta_cos_scaled) - square(rho_within_case_z_scaled)) * 0.24673697,(-rho_within_case_z_scaled**2 + theta_cos_scaled*theta_cos_scaled)*0.24673697,-0.214084683999125*(rho_within_case_z + 0.260189976115635)**2 + 64.7050556991631*(theta_cos - 0.922666019258146)**2 + 0.285739561816426,"[""rho_within_case_z_scaled"", ""theta_cos_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('rho_within_case_z_scaled')), Mul(Integer(-1), CONST, Symbol('theta_cos_scaled'))), Add(Mul(CONST, Symbol('rho_within_case_z_scaled')), Mul(CONST, Symbol('theta_cos_scaled'))))","{""features"": [""rho_within_case_z_scaled"", ""theta_cos_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow""]}",7,1,warm_start_checkpoint
shape,recoverable_i1_single_shape,7,10,0.7259169,0.014614698826962511,(abs(theta_cos_scaled) + (rho_within_case_z_scaled * fluence_rate_scaled)) * 0.3635569,(fluence_rate_scaled*rho_within_case_z_scaled + Abs(theta_cos_scaled))*0.3635569,0.401068096933622*(1.88569304205524*fluence_rate - 6.93049292450245)*(0.886855416159597*rho_within_case_z + 0.230750889548587) + 0.401068096933622*Abs(15.4180386938948*theta_cos - 14.225700386464) + 0.285739561816426,"[""fluence_rate_scaled"", ""rho_within_case_z_scaled"", ""theta_cos_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('fluence_rate_scaled'), Symbol('rho_within_case_z_scaled')), Mul(CONST, Abs(Symbol('theta_cos_scaled')))))","{""features"": [""fluence_rate_scaled"", ""rho_within_case_z_scaled"", ""theta_cos_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",7,1,warm_start_checkpoint
shape,recoverable_i1_single_shape,8,11,0.7108732,0.02094147193048667,((fluence_rate_scaled * rho_within_case_z_scaled) * 0.3374678) + square(theta_cos_scaled * 0.4450257),fluence_rate_scaled*rho_within_case_z_scaled*0.3374678 + 0.19804787366049*theta_cos_scaled**2,0.37228716693969*(1.88569304205524*fluence_rate - 6.93049292450245)*(0.886855416159597*rho_within_case_z + 0.230750889548587) + 51.936678545995*(theta_cos - 0.922666019258146)**2 + 0.285739561816426,"[""fluence_rate_scaled"", ""rho_within_case_z_scaled"", ""theta_cos_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('fluence_rate_scaled'), Symbol('rho_within_case_z_scaled')), Mul(CONST, Pow(Symbol('theta_cos_scaled'), Integer(2)))))","{""features"": [""fluence_rate_scaled"", ""rho_within_case_z_scaled"", ""theta_cos_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow""]}",7,1,warm_start_checkpoint
shape,recoverable_i1_single_shape,9,13,0.70069504,0.007210658408620081,(((theta_cos_scaled * -1.1405452) - square(rho_within_case_z_scaled)) * -0.15442733) * (theta_cos_scaled + -1.6082178),(-rho_within_case_z_scaled**2 + theta_cos_scaled*(-1.1405452))*(-0.15442733)*(theta_cos_scaled - 1.6082178),-0.170360885345981*(15.4180386938948*theta_cos - 15.833918186464)*(-17.584970025736*theta_cos - 0.786512529171612*(rho_within_case_z + 0.260189976115635)**2 + 16.2250542924196) + 0.285739561816426,"[""rho_within_case_z_scaled"", ""theta_cos_scaled""]","Mul(CONST, Add(Mul(CONST, Pow(Symbol('rho_within_case_z_scaled'), Integer(2))), Mul(CONST, Symbol('theta_cos_scaled'))), Add(Mul(CONST, Symbol('theta_cos_scaled')), CONST))","{""features"": [""rho_within_case_z_scaled"", ""theta_cos_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow""]}",7,1,warm_start_checkpoint
