stage,run_id,candidate_index,complexity,loss,score,equation,formula_scaled_sympy,formula_original_variables,feature_support_json,structure_signature,family_signature,segment,attempt,search_mode,completed_segment,completed_attempt
shape,recoverable_i1_single_shape,0,1,0.9999999,0.0,3.2088807e-5,3.20888070000000e-5,0.285774961493221,[],CONST,"{""features"": [], ""operators"": []}",10,1,warm_start_checkpoint,10,1
shape,recoverable_i1_single_shape,1,3,0.9200946,0.0416393440691646,weight_loss_rate_within_case_z_scaled * -0.28246352,weight_loss_rate_within_case_z_scaled*(-0.28246352),0.338682388136667 - 0.263778515239209*weight_loss_rate_within_case_z,"[""weight_loss_rate_within_case_z_scaled""]","Mul(Integer(-1), CONST, Symbol('weight_loss_rate_within_case_z_scaled'))","{""features"": [""weight_loss_rate_within_case_z_scaled""], ""operators"": [""Mul""]}",10,1,warm_start_checkpoint,10,1
shape,recoverable_i1_single_shape,2,5,0.8450822,0.042521295055664,fluence_rate_scaled * (fluence_rate_within_case_z_scaled * -0.23631586),fluence_rate_scaled*fluence_rate_within_case_z_scaled*(-0.23631586),-0.260698537822916*(1.88569304205524*fluence_rate - 6.93049292450245)*(0.842000479209394*fluence_rate_within_case_z - 0.19525739300491) + 0.285739561816426,"[""fluence_rate_scaled"", ""fluence_rate_within_case_z_scaled""]","Mul(Integer(-1), CONST, Symbol('fluence_rate_scaled'), Symbol('fluence_rate_within_case_z_scaled'))","{""features"": [""fluence_rate_scaled"", ""fluence_rate_within_case_z_scaled""], ""operators"": [""Mul""]}",10,1,warm_start_checkpoint,10,1
shape,recoverable_i1_single_shape,3,6,0.81487864,0.0363947065549652,0.7802671 - abs(fluence_rate_scaled),0.7802671 - Abs(fluence_rate_scaled),1.14651332486952 - 1.10317833861391*Abs(1.88569304205524*fluence_rate - 6.93049292450245),"[""fluence_rate_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Abs(Symbol('fluence_rate_scaled'))), CONST))","{""features"": [""fluence_rate_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",10,1,warm_start_checkpoint,10,1
shape,recoverable_i1_single_shape,4,7,0.80847645,0.0078876435994188,(rho_within_case_z_scaled * (fluence_rate_scaled * 0.3140224)) + 0.21319573,rho_within_case_z_scaled*fluence_rate_scaled*0.3140224 + 0.21319573,0.346422709519551*(1.88569304205524*fluence_rate - 6.93049292450245)*(0.886855416159597*rho_within_case_z + 0.230750889548587) + 0.520932473037405,"[""fluence_rate_scaled"", ""rho_within_case_z_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('fluence_rate_scaled'), Symbol('rho_within_case_z_scaled')), CONST))","{""features"": [""fluence_rate_scaled"", ""rho_within_case_z_scaled""], ""operators"": [""Add"", ""Mul""]}",10,1,warm_start_checkpoint,10,1
shape,recoverable_i1_single_shape,5,8,0.7725567,0.0454461464414431,rho_scaled * (abs(rho_scaled) + -1.5419669),rho_scaled*(Abs(rho_scaled) - 1.5419669),1.10317833861391*(0.0509611749551904*rho - 9.32241465638866)*(Abs(0.0509611749551904*rho - 9.32241465638866) - 1.5419669) + 0.285739561816426,"[""rho_scaled""]","Mul(CONST, Symbol('rho_scaled'), Add(Mul(CONST, Abs(Symbol('rho_scaled'))), CONST))","{""features"": [""rho_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",10,1,warm_start_checkpoint,10,1
shape,recoverable_i1_single_shape,6,9,0.7366033,0.0476559200922748,((theta_cos_scaled * theta_cos_scaled) - square(rho_within_case_z_scaled)) * 0.24702795,(-rho_within_case_z_scaled**2 + theta_cos_scaled*theta_cos_scaled)*0.24702795,-0.214337156749156*(rho_within_case_z + 0.260189976115635)**2 + 64.7813631820155*(theta_cos - 0.922666019258146)**2 + 0.285739561816426,"[""rho_within_case_z_scaled"", ""theta_cos_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('rho_within_case_z_scaled')), Mul(Integer(-1), CONST, Symbol('theta_cos_scaled'))), Add(Mul(CONST, Symbol('rho_within_case_z_scaled')), Mul(CONST, Symbol('theta_cos_scaled'))))","{""features"": [""rho_within_case_z_scaled"", ""theta_cos_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow""]}",10,1,warm_start_checkpoint,10,1
shape,recoverable_i1_single_shape,7,10,0.7259169,0.0146139385808609,(abs(theta_cos_scaled) + (rho_within_case_z_scaled * fluence_rate_scaled)) * 0.3635569,(fluence_rate_scaled*rho_within_case_z_scaled + Abs(theta_cos_scaled))*0.3635569,0.401068096933622*(1.88569304205524*fluence_rate - 6.93049292450245)*(0.886855416159597*rho_within_case_z + 0.230750889548587) + 0.401068096933622*Abs(15.4180386938948*theta_cos - 14.225700386464) + 0.285739561816426,"[""fluence_rate_scaled"", ""rho_within_case_z_scaled"", ""theta_cos_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('fluence_rate_scaled'), Symbol('rho_within_case_z_scaled')), Mul(CONST, Abs(Symbol('theta_cos_scaled')))))","{""features"": [""fluence_rate_scaled"", ""rho_within_case_z_scaled"", ""theta_cos_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",10,1,warm_start_checkpoint,10,1
shape,recoverable_i1_single_shape,8,11,0.7108732,0.0209414719304866,((fluence_rate_scaled * rho_within_case_z_scaled) * 0.3374678) + square(theta_cos_scaled * 0.4450257),fluence_rate_scaled*rho_within_case_z_scaled*0.3374678 + 0.19804787366049*theta_cos_scaled**2,0.37228716693969*(1.88569304205524*fluence_rate - 6.93049292450245)*(0.886855416159597*rho_within_case_z + 0.230750889548587) + 51.936678545995*(theta_cos - 0.922666019258146)**2 + 0.285739561816426,"[""fluence_rate_scaled"", ""rho_within_case_z_scaled"", ""theta_cos_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('fluence_rate_scaled'), Symbol('rho_within_case_z_scaled')), Mul(CONST, Pow(Symbol('theta_cos_scaled'), Integer(2)))))","{""features"": [""fluence_rate_scaled"", ""rho_within_case_z_scaled"", ""theta_cos_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow""]}",10,1,warm_start_checkpoint,10,1
shape,recoverable_i1_single_shape,9,12,0.7038818,0.0098836291986563,(0.30413145 - rho_scaled) * ((abs(rho_scaled) + -1.5044442) * -0.71074325),(0.30413145 - rho_scaled)*(Abs(rho_scaled) - 1.5044442)*(-0.71074325),-0.784076557716048*(9.62654610638866 - 0.0509611749551904*rho)*(Abs(0.0509611749551904*rho - 9.32241465638866) - 1.5044442) + 0.285739561816426,"[""rho_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('rho_scaled')), CONST), Add(Mul(CONST, Abs(Symbol('rho_scaled'))), CONST))","{""features"": [""rho_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",10,1,warm_start_checkpoint,10,1
shape,recoverable_i1_single_shape,10,13,0.70069504,0.0045376876185838,(((theta_cos_scaled * -1.1405452) - square(rho_within_case_z_scaled)) * -0.15442733) * (theta_cos_scaled + -1.6082178),(-rho_within_case_z_scaled**2 + theta_cos_scaled*(-1.1405452))*(-0.15442733)*(theta_cos_scaled - 1.6082178),-0.170360885345981*(15.4180386938948*theta_cos - 15.833918186464)*(-17.584970025736*theta_cos - 0.786512529171612*(rho_within_case_z + 0.260189976115635)**2 + 16.2250542924196) + 0.285739561816426,"[""rho_within_case_z_scaled"", ""theta_cos_scaled""]","Mul(CONST, Add(Mul(CONST, Pow(Symbol('rho_within_case_z_scaled'), Integer(2))), Mul(CONST, Symbol('theta_cos_scaled'))), Add(Mul(CONST, Symbol('theta_cos_scaled')), CONST))","{""features"": [""rho_within_case_z_scaled"", ""theta_cos_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow""]}",10,1,warm_start_checkpoint,10,1
shape,recoverable_i1_single_shape,11,14,0.65356857,0.0696253018415328,square(theta_cos_scaled * 0.68717235) + (abs(rho_within_case_z_scaled * theta_cos_within_case_z_scaled) * -0.7670775),0.472205838604522*theta_cos_scaled**2 + Abs(rho_within_case_z_scaled*theta_cos_within_case_z_scaled)*(-0.7670775),123.832699608719*(theta_cos - 0.922666019258146)**2 - 0.846223282038108*Abs((0.886855416159597*rho_within_case_z + 0.230750889548587)*(0.772119121393891*theta_cos_within_case_z + 0.144351055481484)) + 0.285739561816426,"[""rho_within_case_z_scaled"", ""theta_cos_scaled"", ""theta_cos_within_case_z_scaled""]","Mul(Integer(-1), CONST, Add(Mul(Integer(-1), CONST, Pow(Symbol('theta_cos_scaled'), Integer(2))), Mul(CONST, Abs(Mul(Symbol('rho_within_case_z_scaled'), Symbol('theta_cos_within_case_z_scaled'))))))","{""features"": [""rho_within_case_z_scaled"", ""theta_cos_scaled"", ""theta_cos_within_case_z_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul"", ""Pow""]}",10,1,warm_start_checkpoint,10,1
shape,recoverable_i1_single_shape,12,16,0.59651536,0.0456712317291279,((theta_cos_scaled * (theta_sin_scaled * -0.54305893)) - rho_scaled) * ((abs(rho_scaled) + -1.5176885) * -0.5709942),(-rho_scaled + theta_cos_scaled*theta_sin_scaled*(-0.54305893))*(Abs(rho_scaled) - 1.5176885)*(-0.5709942),-0.629908432914176*(Abs(0.0509611749551904*rho - 9.32241465638866) - 1.5176885)*(-0.0509611749551904*rho - 0.54305893*(15.4180386938948*theta_cos - 14.225700386464)*(6.30045063652412*theta_sin - 2.1760652501445) + 9.32241465638866) + 0.285739561816426,"[""rho_scaled"", ""theta_cos_scaled"", ""theta_sin_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('rho_scaled')), Mul(CONST, Symbol('theta_cos_scaled'), Symbol('theta_sin_scaled'))), Add(Mul(CONST, Abs(Symbol('rho_scaled'))), CONST))","{""features"": [""rho_scaled"", ""theta_cos_scaled"", ""theta_sin_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",10,1,warm_start_checkpoint,10,1
shape,recoverable_i1_single_shape,13,18,0.5817304,0.0125489406246903,(((((theta_cos_scaled * theta_sin_scaled) * -0.7294356) - rho_scaled) * (abs(rho_scaled) + -1.5512555)) + 0.30401608) * -0.50046,((-rho_scaled + theta_cos_scaled*theta_sin_scaled*(-0.7294356))*(Abs(rho_scaled) - 1.5512555) + 0.30401608)*(-0.50046),-0.552096631342715*(Abs(0.0509611749551904*rho - 9.32241465638866) - 1.5512555)*(-0.0509611749551904*rho - 0.7294356*(15.4180386938948*theta_cos - 14.225700386464)*(6.30045063652412*theta_sin - 2.1760652501445) + 9.32241465638866) + 0.117893308174409,"[""rho_scaled"", ""theta_cos_scaled"", ""theta_sin_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('rho_scaled'), Abs(Symbol('rho_scaled'))), Mul(Integer(-1), CONST, Symbol('rho_scaled')), Mul(CONST, Symbol('theta_cos_scaled'), Symbol('theta_sin_scaled'), Abs(Symbol('rho_scaled'))), Mul(Integer(-1), CONST, Symbol('theta_cos_scaled'), Symbol('theta_sin_scaled')), CONST))","{""features"": [""rho_scaled"", ""theta_cos_scaled"", ""theta_sin_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",10,1,warm_start_checkpoint,10,1
shape,recoverable_i1_single_shape,14,22,0.552861,0.012725124119563,(abs(rho_scaled + 0.757475) + -2.4488266) * ((((1.3981436 - theta_cos_scaled) * 0.2961056) - (rho_scaled * (rho_scaled + 0.65401906))) * -0.56791365),(Abs(rho_scaled + 0.757475) - 2.4488266)*(-rho_scaled*(rho_scaled + 0.65401906) + (1.3981436 - theta_cos_scaled)*0.2961056)*(-0.56791365),-0.626510036883159*(Abs(0.0509611749551904*rho - 8.56493965638866) - 2.4488266)*(-4.56536759827893*theta_cos - (0.0509611749551904*rho - 9.32241465638866)*(0.0509611749551904*rho - 8.66839559638866) + 4.6263076979183) + 0.285739561816426,"[""rho_scaled"", ""theta_cos_scaled""]","Mul(CONST, Add(Mul(CONST, Abs(Add(Symbol('rho_scaled'), CONST))), CONST), Add(Mul(CONST, Pow(Symbol('rho_scaled'), Integer(2))), Mul(CONST, Symbol('rho_scaled')), Mul(CONST, Symbol('theta_cos_scaled')), CONST))","{""features"": [""rho_scaled"", ""theta_cos_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",10,1,warm_start_checkpoint,10,1
shape,recoverable_i1_single_shape,15,23,0.51135963,0.0780334941114705,((abs(theta_cos_scaled) * -0.3392919) - ((rho_scaled + 0.5516943) * (rho_scaled * -0.6075758))) * (abs(rho_scaled + 0.7099127) + -2.41054),(-(-0.6075758)*rho_scaled*(rho_scaled + 0.5516943) + Abs(theta_cos_scaled)*(-0.3392919))*(Abs(rho_scaled + 0.7099127) - 2.41054),1.10317833861391*(0.6075758*(0.0509611749551904*rho - 9.32241465638866)*(0.0509611749551904*rho - 8.77072035638866) - 0.3392919*Abs(15.4180386938948*theta_cos - 14.225700386464))*(Abs(0.0509611749551904*rho - 8.61250195638866) - 2.41054) + 0.285739561816426,"[""rho_scaled"", ""theta_cos_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Abs(Add(Symbol('rho_scaled'), CONST))), CONST), Add(Mul(Integer(-1), CONST, Pow(Symbol('rho_scaled'), Integer(2))), Mul(Integer(-1), CONST, Symbol('rho_scaled')), Mul(CONST, Abs(Symbol('theta_cos_scaled')))))","{""features"": [""rho_scaled"", ""theta_cos_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",10,1,warm_start_checkpoint,10,1
