feature,role
fluence_rate,residual_formula_predictor
temperature,residual_formula_predictor
weight_loss_rate,residual_formula_predictor
rho,residual_formula_predictor
theta_sin,residual_formula_predictor
theta_cos,residual_formula_predictor
z,residual_formula_predictor
fluence_rate_within_case_z,residual_formula_predictor
temperature_within_case_z,residual_formula_predictor
weight_loss_rate_within_case_z,residual_formula_predictor
rho_within_case_z,residual_formula_predictor
theta_sin_within_case_z,residual_formula_predictor
theta_cos_within_case_z,residual_formula_predictor
z_within_case_z,residual_formula_predictor
fluence_rate_mean,residual_formula_predictor
fluence_rate_p95,residual_formula_predictor
temperature_mean,residual_formula_predictor
temperature_p95,residual_formula_predictor
weight_loss_rate_mean,residual_formula_predictor
weight_loss_rate_std,residual_formula_predictor
rho_mean,residual_formula_predictor
rho_std,residual_formula_predictor
rho_max,residual_formula_predictor
z_mean,residual_formula_predictor
z_std,residual_formula_predictor
z_max,residual_formula_predictor
theta_sin_std,residual_formula_predictor
rho_fraction_proxy,residual_formula_predictor
z_fraction_proxy,residual_formula_predictor
nearest_radial_boundary_fraction_proxy,residual_formula_predictor
nearest_axial_boundary_fraction_proxy,residual_formula_predictor
