Complexity,Loss,Equation
1,1.0,"-8.560956e-5"
3,0.94202876,"nearest_radial_boundary_fraction_proxy_scaled * 0.23967783"
5,0.9364981,"(nearest_axial_boundary_fraction_proxy_scaled * rho_fraction_proxy_scaled) * 0.26349115"
6,0.9347933,"abs(nearest_axial_boundary_fraction_proxy_scaled) + -0.89017856"
7,0.86648333,"gauss(fluence_rate_scaled) - 0.61887664"
9,0.8608578,"gauss(fluence_rate_scaled * 1.3457322) - 0.5124461"
11,0.8372177,"(0.41128725 - gauss(nearest_axial_boundary_fraction_proxy_scaled)) * (z_within_case_z_scaled * z_within_case_z_scaled)"
12,0.7993434,"abs(gauss(fluence_rate_scaled) * nearest_axial_boundary_fraction_proxy_scaled) - 0.5731062"
13,0.79360485,"(z_within_case_z_scaled * (gauss(fluence_rate_within_case_z_scaled + -0.4636421) - 0.570784)) * z_within_case_z_scaled"
15,0.7839461,"(gauss(fluence_rate_within_case_z_scaled + -0.46000615) - 0.57695097) * ((z_within_case_z_scaled * z_within_case_z_scaled) + theta_sin_std_scaled)"
17,0.75475276,"z_within_case_z_scaled * (z_within_case_z_scaled * (gauss(fluence_rate_within_case_z_scaled + -0.7969413) - gauss(nearest_axial_boundary_fraction_proxy_scaled)))"
19,0.7248693,"((gauss(fluence_rate_within_case_z_scaled + -0.5958857) * 0.77287525) - gauss(nearest_axial_boundary_fraction_proxy_scaled)) * (z_within_case_z_scaled * z_scaled)"
21,0.7137672,"((gauss((fluence_rate_within_case_z_scaled * 1.3945296) + -0.5958857) * 0.77287525) - gauss(nearest_axial_boundary_fraction_proxy_scaled)) * (z_within_case_z_scaled * z_scaled)"
23,0.69495565,"(z_within_case_z_scaled * (z_scaled + 0.31335598)) * ((gauss((fluence_rate_within_case_z_scaled * 1.454678) + -0.6461036) * 0.8008435) - gauss(nearest_axial_boundary_fraction_proxy_scaled))"
