stage,run_id,candidate_index,complexity,loss,score,equation,formula_scaled_sympy,formula_original_variables,feature_support_json,structure_signature,family_signature,segment,attempt,search_mode,completed_segment,completed_attempt
residual_shape,v9_i1_residual_shape_pilot,0,1,1.0,0.0,-8.560956e-5,-8.56095600000000e-5,0.453427329216307,[],CONST,"{""features"": [], ""operators"": []}",2,1,warm_start_checkpoint,2,1
residual_shape,v9_i1_residual_shape_pilot,1,3,0.94202876,0.0298597370431331,nearest_radial_boundary_fraction_proxy_scaled * 0.23967783,nearest_radial_boundary_fraction_proxy_scaled*0.23967783,1.7893658160812*nearest_radial_boundary_fraction_proxy - 0.164332552063125,"[""nearest_radial_boundary_fraction_proxy_scaled""]","Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'))","{""features"": [""nearest_radial_boundary_fraction_proxy_scaled""], ""operators"": [""Mul""]}",2,1,warm_start_checkpoint,2,1
residual_shape,v9_i1_residual_shape_pilot,2,5,0.9364981,0.0029441559222692,(nearest_axial_boundary_fraction_proxy_scaled * rho_fraction_proxy_scaled) * 0.26349115,nearest_axial_boundary_fraction_proxy_scaled*rho_fraction_proxy_scaled*0.26349115,0.269190020563617*(6.21020430729467*nearest_axial_boundary_fraction_proxy - 1.42454761725745)*(4.98333984194127*rho_fraction_proxy - 2.73548157359839) + 0.453514790367153,"[""nearest_axial_boundary_fraction_proxy_scaled"", ""rho_fraction_proxy_scaled""]","Mul(CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Symbol('rho_fraction_proxy_scaled'))","{""features"": [""nearest_axial_boundary_fraction_proxy_scaled"", ""rho_fraction_proxy_scaled""], ""operators"": [""Mul""]}",2,1,warm_start_checkpoint,2,1
residual_shape,v9_i1_residual_shape_pilot,3,6,0.9347933,0.0018220577208298,abs(nearest_axial_boundary_fraction_proxy_scaled) + -0.89017856,Abs(nearest_axial_boundary_fraction_proxy_scaled) - 0.89017856,1.02162831868781*Abs(6.21020430729467*nearest_axial_boundary_fraction_proxy - 1.42454761725745) - 0.45591683521758,"[""nearest_axial_boundary_fraction_proxy_scaled""]","Mul(CONST, Add(Mul(CONST, Abs(Symbol('nearest_axial_boundary_fraction_proxy_scaled'))), CONST))","{""features"": [""nearest_axial_boundary_fraction_proxy_scaled""], ""operators"": [""Abs"", ""Add""]}",2,1,warm_start_checkpoint,2,1
residual_shape,v9_i1_residual_shape_pilot,4,7,0.86648333,0.075882564674961,gauss(fluence_rate_scaled) - 0.61887664,-1*0.61887664 + exp(-fluence_rate_scaled**2),-0.178747110831206 + 1.02162831868781*exp(-58.9263744196737*(0.270377290707832*fluence_rate - 1)**2),"[""fluence_rate_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, exp(Pow(Symbol('fluence_rate_scaled'), Integer(2)))), CONST), exp(Mul(Integer(-1), Pow(Symbol('fluence_rate_scaled'), Integer(2)))))","{""features"": [""fluence_rate_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow"", ""exp""]}",2,1,warm_start_checkpoint,2,1
residual_shape,v9_i1_residual_shape_pilot,5,9,0.8608578,0.0032567683310604,gauss(fluence_rate_scaled * 1.3457322) - 0.5124461,-1*0.5124461 + exp(-1.81099515411684*fluence_rate_scaled**2),-0.070014657193971 + 1.02162831868781*exp(-106.715378523704*(0.270377290707832*fluence_rate - 1)**2),"[""fluence_rate_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, exp(Mul(CONST, Pow(Symbol('fluence_rate_scaled'), Integer(2))))), CONST), exp(Mul(Integer(-1), CONST, Pow(Symbol('fluence_rate_scaled'), Integer(2)))))","{""features"": [""fluence_rate_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow"", ""exp""]}",2,1,warm_start_checkpoint,2,1
residual_shape,v9_i1_residual_shape_pilot,6,11,0.8372177,0.013922600871743,(0.41128725 - gauss(nearest_axial_boundary_fraction_proxy_scaled)) * (z_within_case_z_scaled * z_within_case_z_scaled),z_within_case_z_scaled*z_within_case_z_scaled*(0.41128725 - exp(-nearest_axial_boundary_fraction_proxy_scaled**2)),0.89030100181548*(0.41128725 - exp(-38.5666375383413*(nearest_axial_boundary_fraction_proxy - 0.229388204762303)**2))*(z_within_case_z - 0.157641102303633)**2 + 0.453514790367153,"[""nearest_axial_boundary_fraction_proxy_scaled"", ""z_within_case_z_scaled""]","Mul(CONST, Pow(Symbol('z_within_case_z_scaled'), Integer(2)), Add(Mul(CONST, exp(Pow(Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Integer(2)))), CONST), exp(Mul(Integer(-1), Pow(Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Integer(2)))))","{""features"": [""nearest_axial_boundary_fraction_proxy_scaled"", ""z_within_case_z_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow"", ""exp""]}",2,1,warm_start_checkpoint,2,1
residual_shape,v9_i1_residual_shape_pilot,7,12,0.7993434,0.0462934915816959,abs(gauss(fluence_rate_scaled) * nearest_axial_boundary_fraction_proxy_scaled) - 0.5731062,exp(-re(fluence_rate_scaled)**2 + im(fluence_rate_scaled)**2)*Abs(nearest_axial_boundary_fraction_proxy_scaled) - 1*0.5731062,1.02162831868781*exp(-58.9263744196737*(0.270377290707832*re(fluence_rate) - 1)**2 + 4.30774656496012*im(fluence_rate)**2)*Abs(6.21020430729467*nearest_axial_boundary_fraction_proxy - 1.42454761725745) - 0.131986733168405,"[""fluence_rate_scaled"", ""nearest_axial_boundary_fraction_proxy_scaled""]","Mul(CONST, Add(CONST, Mul(CONST, exp(Mul(Integer(-1), Pow(re(Symbol('fluence_rate_scaled')), Integer(2)))), exp(Pow(im(Symbol('fluence_rate_scaled')), Integer(2))), Abs(Symbol('nearest_axial_boundary_fraction_proxy_scaled')))))","{""features"": [""fluence_rate_scaled"", ""nearest_axial_boundary_fraction_proxy_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul"", ""Pow"", ""exp"", ""im"", ""re""]}",2,1,warm_start_checkpoint,2,1
residual_shape,v9_i1_residual_shape_pilot,8,13,0.79360485,0.0072049733251208,(z_within_case_z_scaled * (gauss(fluence_rate_within_case_z_scaled + -0.4636421) - 0.570784)) * z_within_case_z_scaled,z_within_case_z_scaled*z_within_case_z_scaled*(-1*0.570784 + exp(-(fluence_rate_within_case_z_scaled - 0.4636421)**2)),0.89030100181548*(-0.570784 + exp(-0.659730203929873*(fluence_rate_within_case_z - 0.845698812318425)**2))*(z_within_case_z - 0.157641102303633)**2 + 0.453514790367153,"[""fluence_rate_within_case_z_scaled"", ""z_within_case_z_scaled""]","Mul(Integer(-1), CONST, Pow(Symbol('z_within_case_z_scaled'), Integer(2)), Add(CONST, Mul(CONST, exp(Mul(Integer(-1), CONST, Symbol('fluence_rate_within_case_z_scaled'))), exp(Pow(Symbol('fluence_rate_within_case_z_scaled'), Integer(2))))), exp(Mul(CONST, Symbol('fluence_rate_within_case_z_scaled'))), exp(Mul(Integer(-1), Pow(Symbol('fluence_rate_within_case_z_scaled'), Integer(2)))))","{""features"": [""fluence_rate_within_case_z_scaled"", ""z_within_case_z_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow"", ""exp""]}",2,1,warm_start_checkpoint,2,1
residual_shape,v9_i1_residual_shape_pilot,9,15,0.7839461,0.0061226996780497,(gauss(fluence_rate_within_case_z_scaled + -0.46000615) - 0.57695097) * ((z_within_case_z_scaled * z_within_case_z_scaled) + theta_sin_std_scaled),(-1*0.57695097 + exp(-(fluence_rate_within_case_z_scaled - 0.46000615)**2))*(theta_sin_std_scaled + z_within_case_z_scaled*z_within_case_z_scaled),1.02162831868781*(-0.57695097 + exp(-0.659730203929873*(fluence_rate_within_case_z - 0.841222352210651)**2))*(12587.1469627254*theta_sin_std + 0.871452939909687*(z_within_case_z - 0.157641102303633)**2 - 1652.62409590286) + 0.453514790367153,"[""fluence_rate_within_case_z_scaled"", ""theta_sin_std_scaled"", ""z_within_case_z_scaled""]","Mul(Integer(-1), CONST, Add(CONST, Mul(CONST, exp(Mul(Integer(-1), CONST, Symbol('fluence_rate_within_case_z_scaled'))), exp(Pow(Symbol('fluence_rate_within_case_z_scaled'), Integer(2))))), Add(Symbol('theta_sin_std_scaled'), Pow(Symbol('z_within_case_z_scaled'), Integer(2))), exp(Mul(CONST, Symbol('fluence_rate_within_case_z_scaled'))), exp(Mul(Integer(-1), Pow(Symbol('fluence_rate_within_case_z_scaled'), Integer(2)))))","{""features"": [""fluence_rate_within_case_z_scaled"", ""theta_sin_std_scaled"", ""z_within_case_z_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow"", ""exp""]}",2,1,warm_start_checkpoint,2,1
