stage,run_id,candidate_index,complexity,loss,score,equation,formula_scaled_sympy,formula_original_variables,feature_support_json,structure_signature,family_signature,segment,attempt,search_mode
residual_shape,v9_i1_residual_shape_pilot,0,1,1.0,0.0,-8.560956e-5,-8.56095600000000e-5,0.453427329216307,[],CONST,"{""features"": [], ""operators"": []}",3,1,warm_start_checkpoint
residual_shape,v9_i1_residual_shape_pilot,1,3,0.9420276,0.02986035273596733,nearest_radial_boundary_fraction_proxy_scaled * 0.24044226,nearest_radial_boundary_fraction_proxy_scaled*0.24044226,1.79507283083007*nearest_radial_boundary_fraction_proxy - 0.166303118318561,"[""nearest_radial_boundary_fraction_proxy_scaled""]","Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'))","{""features"": [""nearest_radial_boundary_fraction_proxy_scaled""], ""operators"": [""Mul""]}",3,1,warm_start_checkpoint
residual_shape,v9_i1_residual_shape_pilot,2,5,0.9364938,0.0029458360215310893,(nearest_axial_boundary_fraction_proxy_scaled * rho_fraction_proxy_scaled) * 0.2615831,nearest_axial_boundary_fraction_proxy_scaled*rho_fraction_proxy_scaled*0.2615831,0.267240702650145*(6.21020430729467*nearest_axial_boundary_fraction_proxy - 1.42454761725745)*(4.98333984194127*rho_fraction_proxy - 2.73548157359839) + 0.453514790367153,"[""nearest_axial_boundary_fraction_proxy_scaled"", ""rho_fraction_proxy_scaled""]","Mul(CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Symbol('rho_fraction_proxy_scaled'))","{""features"": [""nearest_axial_boundary_fraction_proxy_scaled"", ""rho_fraction_proxy_scaled""], ""operators"": [""Mul""]}",3,1,warm_start_checkpoint
residual_shape,v9_i1_residual_shape_pilot,3,6,0.9347929,0.0018178940388120651,abs(nearest_axial_boundary_fraction_proxy_scaled) + -0.8905857,Abs(nearest_axial_boundary_fraction_proxy_scaled) - 0.8905857,1.02162831868781*Abs(6.21020430729467*nearest_axial_boundary_fraction_proxy - 1.42454761725745) - 0.456332780971251,"[""nearest_axial_boundary_fraction_proxy_scaled""]","Mul(CONST, Add(Mul(CONST, Abs(Symbol('nearest_axial_boundary_fraction_proxy_scaled'))), CONST))","{""features"": [""nearest_axial_boundary_fraction_proxy_scaled""], ""operators"": [""Abs"", ""Add""]}",3,1,warm_start_checkpoint
residual_shape,v9_i1_residual_shape_pilot,4,7,0.8664833,0.07588217139549619,gauss(fluence_rate_scaled) - 0.6189402,-1*0.6189402 + exp(-fluence_rate_scaled**2),-0.178812045527142 + 1.02162831868781*exp(-58.9263744196737*(0.270377290707832*fluence_rate - 1)**2),"[""fluence_rate_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, exp(Pow(Symbol('fluence_rate_scaled'), Integer(2)))), CONST), exp(Mul(Integer(-1), Pow(Symbol('fluence_rate_scaled'), Integer(2)))))","{""features"": [""fluence_rate_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow"", ""exp""]}",3,1,warm_start_checkpoint
residual_shape,v9_i1_residual_shape_pilot,5,9,0.8608578,0.0032567510197057258,gauss(fluence_rate_scaled * 1.3457322) - 0.5124461,-1*0.5124461 + exp(-1.81099515411684*fluence_rate_scaled**2),-0.070014657193971 + 1.02162831868781*exp(-106.715378523704*(0.270377290707832*fluence_rate - 1)**2),"[""fluence_rate_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, exp(Mul(CONST, Pow(Symbol('fluence_rate_scaled'), Integer(2))))), CONST), exp(Mul(Integer(-1), CONST, Pow(Symbol('fluence_rate_scaled'), Integer(2)))))","{""features"": [""fluence_rate_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow"", ""exp""]}",3,1,warm_start_checkpoint
residual_shape,v9_i1_residual_shape_pilot,6,11,0.8212426,0.023555387444843232,gauss(fluence_rate_scaled) - gauss(nearest_axial_boundary_fraction_proxy_scaled),-exp(-nearest_axial_boundary_fraction_proxy_scaled**2) + exp(-fluence_rate_scaled**2),0.453514790367153 - 1.02162831868781*exp(-38.5666375383413*(nearest_axial_boundary_fraction_proxy - 0.229388204762303)**2) + 1.02162831868781*exp(-58.9263744196737*(0.270377290707832*fluence_rate - 1)**2),"[""fluence_rate_scaled"", ""nearest_axial_boundary_fraction_proxy_scaled""]","Mul(Integer(-1), Add(exp(Pow(Symbol('fluence_rate_scaled'), Integer(2))), Mul(Integer(-1), exp(Pow(Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Integer(2))))), exp(Mul(Integer(-1), Pow(Symbol('fluence_rate_scaled'), Integer(2)))), exp(Mul(Integer(-1), Pow(Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Integer(2)))))","{""features"": [""fluence_rate_scaled"", ""nearest_axial_boundary_fraction_proxy_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow"", ""exp""]}",3,1,warm_start_checkpoint
residual_shape,v9_i1_residual_shape_pilot,7,12,0.79934245,0.027029106911642956,(gauss(fluence_rate_scaled) * abs(nearest_axial_boundary_fraction_proxy_scaled)) - 0.5720946,-1*0.5720946 + exp(-fluence_rate_scaled**2)*Abs(nearest_axial_boundary_fraction_proxy_scaled),-0.130953253961221 + 1.02162831868781*exp(-58.9263744196737*(0.270377290707832*fluence_rate - 1)**2)*Abs(6.21020430729467*nearest_axial_boundary_fraction_proxy - 1.42454761725745),"[""fluence_rate_scaled"", ""nearest_axial_boundary_fraction_proxy_scaled""]","Mul(CONST, Add(Mul(Integer(-1), CONST, exp(Pow(Symbol('fluence_rate_scaled'), Integer(2)))), Mul(CONST, Abs(Symbol('nearest_axial_boundary_fraction_proxy_scaled')))), exp(Mul(Integer(-1), Pow(Symbol('fluence_rate_scaled'), Integer(2)))))","{""features"": [""fluence_rate_scaled"", ""nearest_axial_boundary_fraction_proxy_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul"", ""Pow"", ""exp""]}",3,1,warm_start_checkpoint
residual_shape,v9_i1_residual_shape_pilot,8,13,0.79359525,0.007215881622404983,(z_fraction_proxy_scaled * (gauss(fluence_rate_within_case_z_scaled + -0.46643203) - 0.5690353)) * z_within_case_z_scaled,z_fraction_proxy_scaled*z_within_case_z_scaled*(-1*0.5690353 + exp(-(fluence_rate_within_case_z_scaled - 0.46643203)**2)),1.02162831868781*(-0.5690353 + exp(-0.659730203929873*(fluence_rate_within_case_z - 0.849133680880557)**2))*(3.20954922399893*z_fraction_proxy - 1.7512890462954)*(0.933516437942946*z_within_case_z - 0.147160560295887) + 0.453514790367153,"[""fluence_rate_within_case_z_scaled"", ""z_fraction_proxy_scaled"", ""z_within_case_z_scaled""]","Mul(Integer(-1), CONST, Symbol('z_fraction_proxy_scaled'), Symbol('z_within_case_z_scaled'), Add(CONST, Mul(CONST, exp(Mul(Integer(-1), CONST, Symbol('fluence_rate_within_case_z_scaled'))), exp(Pow(Symbol('fluence_rate_within_case_z_scaled'), Integer(2))))), exp(Mul(CONST, Symbol('fluence_rate_within_case_z_scaled'))), exp(Mul(Integer(-1), Pow(Symbol('fluence_rate_within_case_z_scaled'), Integer(2)))))","{""features"": [""fluence_rate_within_case_z_scaled"", ""z_fraction_proxy_scaled"", ""z_within_case_z_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow"", ""exp""]}",3,1,warm_start_checkpoint
residual_shape,v9_i1_residual_shape_pilot,9,15,0.7832234,0.006577801186880938,(gauss(fluence_rate_within_case_z_scaled + -0.44266725) - 0.56988484) * ((z_within_case_z_scaled * z_within_case_z_scaled) + theta_sin_std_scaled),(-1*0.56988484 + exp(-(fluence_rate_within_case_z_scaled - 0.44266725)**2))*(theta_sin_std_scaled + z_within_case_z_scaled*z_within_case_z_scaled),1.02162831868781*(-0.56988484 + exp(-0.659730203929873*(fluence_rate_within_case_z - 0.819875278086229)**2))*(12587.1469627254*theta_sin_std + 0.871452939909687*(z_within_case_z - 0.157641102303633)**2 - 1652.62409590286) + 0.453514790367153,"[""fluence_rate_within_case_z_scaled"", ""theta_sin_std_scaled"", ""z_within_case_z_scaled""]","Mul(Integer(-1), CONST, Add(CONST, Mul(CONST, exp(Mul(Integer(-1), CONST, Symbol('fluence_rate_within_case_z_scaled'))), exp(Pow(Symbol('fluence_rate_within_case_z_scaled'), Integer(2))))), Add(Symbol('theta_sin_std_scaled'), Pow(Symbol('z_within_case_z_scaled'), Integer(2))), exp(Mul(CONST, Symbol('fluence_rate_within_case_z_scaled'))), exp(Mul(Integer(-1), Pow(Symbol('fluence_rate_within_case_z_scaled'), Integer(2)))))","{""features"": [""fluence_rate_within_case_z_scaled"", ""theta_sin_std_scaled"", ""z_within_case_z_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow"", ""exp""]}",3,1,warm_start_checkpoint
