case_id,stress_tier,selected_rows,target_loss_mass,actual_selected_loss_mass,q90,q95,q99,residual_rmse_before_correction
case_01,below_p90,2500,0.5,0.5,8.621943473815918,10.326234483718872,16.558459148406914,1.1730867560542382
case_01,p90_to_p95,500,0.1,0.09999999999999999,8.621943473815918,10.326234483718872,16.558459148406914,1.1730867560542382
case_01,p95_to_p99,1000,0.2,0.2,8.621943473815918,10.326234483718872,16.558459148406914,1.1730867560542382
case_01,top_p99,1000,0.2,0.2,8.621943473815918,10.326234483718872,16.558459148406914,1.1730867560542382
case_10,below_p90,2500,0.5,0.5,8.422401428222656,10.146135330200195,16.147420253753637,1.1334381554786783
case_10,p90_to_p95,500,0.1,0.09999999999999999,8.422401428222656,10.146135330200195,16.147420253753637,1.1334381554786783
case_10,p95_to_p99,1000,0.2,0.2,8.422401428222656,10.146135330200195,16.147420253753637,1.1334381554786783
case_10,top_p99,1000,0.2,0.2,8.422401428222656,10.146135330200195,16.147420253753637,1.1334381554786783
case_11,below_p90,2500,0.5,0.5,9.481954383850102,10.622378873825072,17.002918834686216,1.195409016627569
case_11,p90_to_p95,500,0.1,0.09999999999999999,9.481954383850102,10.622378873825072,17.002918834686216,1.195409016627569
case_11,p95_to_p99,1000,0.2,0.2,9.481954383850102,10.622378873825072,17.002918834686216,1.195409016627569
case_11,top_p99,1000,0.2,0.2,9.481954383850102,10.622378873825072,17.002918834686216,1.195409016627569
case_12,below_p90,2500,0.5,0.5,8.25219078063965,10.082114791870117,16.142577419280983,1.1398101920757386
case_12,p90_to_p95,500,0.1,0.09999999999999999,8.25219078063965,10.082114791870117,16.142577419280983,1.1398101920757386
case_12,p95_to_p99,1000,0.2,0.2,8.25219078063965,10.082114791870117,16.142577419280983,1.1398101920757386
case_12,top_p99,1000,0.2,0.2,8.25219078063965,10.082114791870117,16.142577419280983,1.1398101920757386
case_13,below_p90,2500,0.5,0.5,7.618145275115968,9.118360137939451,14.603178558349592,1.1351781849109683
case_13,p90_to_p95,500,0.1,0.09999999999999999,7.618145275115968,9.118360137939451,14.603178558349592,1.1351781849109683
case_13,p95_to_p99,1000,0.2,0.2,7.618145275115968,9.118360137939451,14.603178558349592,1.1351781849109683
case_13,top_p99,1000,0.2,0.2,7.618145275115968,9.118360137939451,14.603178558349592,1.1351781849109683
case_14,below_p90,2500,0.5,0.5,7.814601469039917,9.186977624893188,14.805124273300162,1.1546768527268116
case_14,p90_to_p95,500,0.1,0.09999999999999999,7.814601469039917,9.186977624893188,14.805124273300162,1.1546768527268116
case_14,p95_to_p99,1000,0.2,0.2,7.814601469039917,9.186977624893188,14.805124273300162,1.1546768527268116
case_14,top_p99,1000,0.2,0.2,7.814601469039917,9.186977624893188,14.805124273300162,1.1546768527268116
case_15,below_p90,2500,0.5,0.5,4.917429590225221,5.832143068313598,9.363036231994613,1.157865147970915
case_15,p90_to_p95,500,0.1,0.09999999999999999,4.917429590225221,5.832143068313598,9.363036231994613,1.157865147970915
