stage,run_id,candidate_index,complexity,loss,score,equation,formula_scaled_sympy,formula_original_variables,feature_support_json,structure_signature,family_signature,segment,attempt,search_mode
v10_geometry_residual,v10_i1_geometry_signed_residual_pilot,0,1,0.3933089969451929,0.0,-0.03396670539630624,-0.03396670539630624,0.1841885777859231,[],CONST,"{""features"": [], ""operators"": []}",1,1,fresh_search
v10_geometry_residual,v10_i1_geometry_signed_residual_pilot,1,3,0.3782578724843636,0.019509694669632222,z_fraction_proxy_scaled * 0.20891482749207763,z_fraction_proxy_scaled*0.20891482749207763,0.54419989040558079*z_fraction_proxy - 0.079291913002985777,"[""z_fraction_proxy_scaled""]","Mul(CONST, Symbol('z_fraction_proxy_scaled'))","{""features"": [""z_fraction_proxy_scaled""], ""operators"": [""Mul""]}",1,1,fresh_search
v10_geometry_residual,v10_i1_geometry_signed_residual_pilot,2,5,0.3608662670644922,0.023534363505501216,(nearest_axial_boundary_fraction_proxy_scaled * 0.3021548889852975) * rho_scaled,nearest_axial_boundary_fraction_proxy_scaled*0.3021548889852975*rho_scaled,0.2398220009091584*(6.3559467282562*nearest_axial_boundary_fraction_proxy - 1.50570424883607)*(0.0517386902634747*rho - 9.46065015660878) + 0.211148139088373,"[""nearest_axial_boundary_fraction_proxy_scaled"", ""rho_scaled""]","Mul(CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Symbol('rho_scaled'))","{""features"": [""nearest_axial_boundary_fraction_proxy_scaled"", ""rho_scaled""], ""operators"": [""Mul""]}",1,1,fresh_search
v10_geometry_residual,v10_i1_geometry_signed_residual_pilot,3,7,0.3466304460488937,0.020124111448287563,((rho_scaled - nearest_radial_boundary_fraction_proxy_scaled) * 0.23511410480701994) * nearest_axial_boundary_fraction_proxy_scaled,(-nearest_radial_boundary_fraction_proxy_scaled + rho_scaled)*0.23511410480701994*nearest_axial_boundary_fraction_proxy_scaled,0.18661136096834348*(6.3559467282562*nearest_axial_boundary_fraction_proxy - 1.50570424883607)*(-7.28799975835273*nearest_radial_boundary_fraction_proxy + 0.0517386902634747*rho - 7.05294147226182) + 0.211148139088373,"[""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""rho_scaled""]","Mul(Integer(-1), CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Add(Symbol('nearest_radial_boundary_fraction_proxy_scaled'), Mul(Integer(-1), Symbol('rho_scaled'))))","{""features"": [""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""rho_scaled""], ""operators"": [""Add"", ""Mul""]}",1,1,fresh_search
v10_geometry_residual,v10_i1_geometry_signed_residual_pilot,4,8,0.3465982681413574,9.283489532593673e-05,(rho_within_case_z_scaled - nearest_radial_boundary_fraction_proxy_scaled) * (0.23511410480701994 * nearest_axial_boundary_fraction_proxy_scaled),(-nearest_radial_boundary_fraction_proxy_scaled + rho_within_case_z_scaled)*0.23511410480701994*nearest_axial_boundary_fraction_proxy_scaled,0.18661136096834348*(6.3559467282562*nearest_axial_boundary_fraction_proxy - 1.50570424883607)*(-7.28799975835273*nearest_radial_boundary_fraction_proxy + 0.900735086696602*rho_within_case_z + 2.64608770185509) + 0.211148139088373,"[""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""rho_within_case_z_scaled""]","Mul(Integer(-1), CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Add(Symbol('nearest_radial_boundary_fraction_proxy_scaled'), Mul(Integer(-1), Symbol('rho_within_case_z_scaled'))))","{""features"": [""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""rho_within_case_z_scaled""], ""operators"": [""Add"", ""Mul""]}",1,1,fresh_search
v10_geometry_residual,v10_i1_geometry_signed_residual_pilot,5,9,0.3426184153451085,0.011549044379549891,(rho_fraction_proxy_scaled - nearest_radial_boundary_fraction_proxy_scaled) * ((nearest_axial_boundary_fraction_proxy_scaled * 0.25422284379263166) + -0.07021750055118209),(-nearest_radial_boundary_fraction_proxy_scaled + rho_fraction_proxy_scaled)*(nearest_axial_boundary_fraction_proxy_scaled*0.25422284379263166 - 0.07021750055118209),0.793705512144892*(1.6158268522517634*nearest_axial_boundary_fraction_proxy - 0.4530019166009358)*(-7.28799975835273*nearest_radial_boundary_fraction_proxy + 4.8169664382211*rho_fraction_proxy - 0.324091593164133) + 0.211148139088373,"[""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""rho_fraction_proxy_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled')), CONST), Add(Symbol('nearest_radial_boundary_fraction_proxy_scaled'), Mul(Integer(-1), Symbol('rho_fraction_proxy_scaled'))))","{""features"": [""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""rho_fraction_proxy_scaled""], ""operators"": [""Add"", ""Mul""]}",1,1,fresh_search
v10_geometry_residual,v10_i1_geometry_signed_residual_pilot,6,11,0.3322816388860939,0.015317208489800964,(z_scaled * 0.19461136922888683) - (((signed_radial_position_proxy_scaled - nearest_radial_boundary_fraction_proxy_scaled) * nearest_axial_boundary_fraction_proxy_scaled) * -0.23161312521034336),-(-0.23161312521034336)*nearest_axial_boundary_fraction_proxy_scaled*(-nearest_radial_boundary_fraction_proxy_scaled + signed_radial_position_proxy_scaled) + z_scaled*0.19461136922888683,0.00057381151982689653*z + 0.18383261416455448*(6.3559467282562*nearest_axial_boundary_fraction_proxy - 1.50570424883607)*(-7.28799975835273*nearest_radial_boundary_fraction_proxy + 2.40848321928096*signed_radial_position_proxy + 2.08439162588874) - 0.060428136911866047,"[""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_radial_position_proxy_scaled"", ""z_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Symbol('nearest_radial_boundary_fraction_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Symbol('signed_radial_position_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('z_scaled'))))","{""features"": [""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_radial_position_proxy_scaled"", ""z_scaled""], ""operators"": [""Add"", ""Mul""]}",1,1,fresh_search
v10_geometry_residual,v10_i1_geometry_signed_residual_pilot,7,13,0.3220225449870588,0.01568068031084098,((z_scaled + nearest_radial_boundary_fraction_proxy_scaled) - (((signed_radial_position_proxy_scaled - nearest_radial_boundary_fraction_proxy_scaled) * -1.4265561811655372) * nearest_axial_boundary_fraction_proxy_scaled)) * 0.17820745685047384,(-(-1.4265561811655372)*nearest_axial_boundary_fraction_proxy_scaled*(-nearest_radial_boundary_fraction_proxy_scaled + signed_radial_position_proxy_scaled) + nearest_radial_boundary_fraction_proxy_scaled + z_scaled)*0.17820745685047384,1.0308455928257656*nearest_radial_boundary_fraction_proxy + 0.00052544459280582488*z + 0.20177815601426862*(6.3559467282562*nearest_axial_boundary_fraction_proxy - 1.50570424883607)*(-7.28799975835273*nearest_radial_boundary_fraction_proxy + 2.40848321928096*signed_radial_position_proxy + 2.08439162588874) - 0.3780933320011354,"[""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_radial_position_proxy_scaled"", ""z_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Symbol('nearest_radial_boundary_fraction_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Symbol('signed_radial_position_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('z_scaled'))))","{""features"": [""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_radial_position_proxy_scaled"", ""z_scaled""], ""operators"": [""Add"", ""Mul""]}",1,1,fresh_search
v10_geometry_residual,v10_i1_geometry_signed_residual_pilot,8,15,0.3196148941187304,0.0037523717004679697,(((z_scaled + nearest_radial_boundary_fraction_proxy_scaled) - ((signed_radial_position_proxy_scaled - nearest_radial_boundary_fraction_proxy_scaled) * (nearest_axial_boundary_fraction_proxy_scaled * -1.5169397252491599))) + -0.447926088141572) * 0.17316835389181756,(-(-1.5169397252491599)*nearest_axial_boundary_fraction_proxy_scaled*(-nearest_radial_boundary_fraction_proxy_scaled + signed_radial_position_proxy_scaled) + nearest_radial_boundary_fraction_proxy_scaled + z_scaled - 0.447926088141572)*0.17316835389181756,1.0016967728575607*nearest_radial_boundary_fraction_proxy + 0.00051058680038224855*z + 0.20849529058504896*(6.3559467282562*nearest_axial_boundary_fraction_proxy - 1.50570424883607)*(-7.28799975835273*nearest_radial_boundary_fraction_proxy + 2.40848321928096*signed_radial_position_proxy + 2.08439162588874) - 0.42299663656903845,"[""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_radial_position_proxy_scaled"", ""z_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Symbol('nearest_radial_boundary_fraction_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Symbol('signed_radial_position_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('z_scaled')), CONST))","{""features"": [""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_radial_position_proxy_scaled"", ""z_scaled""], ""operators"": [""Add"", ""Mul""]}",1,1,fresh_search
v10_geometry_residual,v10_i1_geometry_signed_residual_pilot,9,26,0.3167902167337966,0.0008070033853584257,(((gauss(radial_angular_signed_interaction_proxy_scaled) + ((-0.3877879173991643 - (nearest_axial_boundary_fraction_proxy_scaled * -1.1413459966898687)) * (signed_radial_position_proxy_scaled - nearest_radial_boundary_fraction_proxy_scaled))) + -1.1209288263768542) - ((signed_radial_position_proxy_scaled * -0.27034517376567313) - signed_axial_position_proxy_scaled)) * 0.21906455202654912,((-nearest_radial_boundary_fraction_proxy_scaled + signed_radial_position_proxy_scaled)*(-(-1.1413459966898687)*nearest_axial_boundary_fraction_proxy_scaled - 0.3877879173991643) - (-signed_axial_position_proxy_scaled + signed_radial_position_proxy_scaled*(-0.27034517376567313)) - 1.1209288263768542 + exp(-radial_angular_signed_interaction_proxy_scaled**2))*0.21906455202654912,0.28531939698110514*signed_axial_position_proxy + 0.11321233554952965*signed_radial_position_proxy + 0.17387274245902342*(7.2543343534692792*nearest_axial_boundary_fraction_proxy - 2.1063174340071373)*(-7.28799975835273*nearest_radial_boundary_fraction_proxy + 2.40848321928096*signed_radial_position_proxy + 2.08439162588874) - 0.018179686389932219 + 0.17387274245902342*exp(-(4.94230238725515*radial_angular_signed_interaction_proxy + 0.228328656790824)**2),"[""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""radial_angular_signed_interaction_proxy_scaled"", ""signed_axial_position_proxy_scaled"", ""signed_radial_position_proxy_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Symbol('nearest_radial_boundary_fraction_proxy_scaled'), exp(Pow(Symbol('radial_angular_signed_interaction_proxy_scaled'), Integer(2)))), Mul(Integer(-1), CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Symbol('signed_radial_position_proxy_scaled'), exp(Pow(Symbol('radial_angular_signed_interaction_proxy_scaled'), Integer(2)))), Mul(Integer(-1), CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'), exp(Pow(Symbol('radial_angular_signed_interaction_proxy_scaled'), Integer(2)))), Mul(Integer(-1), CONST, Symbol('signed_axial_position_proxy_scaled'), exp(Pow(Symbol('radial_angular_signed_interaction_proxy_scaled'), Integer(2)))), Mul(CONST, Symbol('signed_radial_position_proxy_scaled'), exp(Pow(Symbol('radial_angular_signed_interaction_proxy_scaled'), Integer(2)))), Mul(CONST, exp(Pow(Symbol('radial_angular_signed_interaction_proxy_scaled'), Integer(2)))), CONST), exp(Mul(Integer(-1), Pow(Symbol('radial_angular_signed_interaction_proxy_scaled'), Integer(2)))))","{""features"": [""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""radial_angular_signed_interaction_proxy_scaled"", ""signed_axial_position_proxy_scaled"", ""signed_radial_position_proxy_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow"", ""exp""]}",1,1,fresh_search
