stage,run_id,candidate_index,complexity,loss,score,equation,formula_scaled_sympy,formula_original_variables,feature_support_json,structure_signature,family_signature,segment,attempt,search_mode,completed_segment,completed_attempt
v10_geometry_residual,v10_i1_geometry_signed_residual_pilot,0,1,0.3933089899380242,0.0,-0.034131820233545135,-0.034131820233545135,0.18405752522946967,[],CONST,"{""features"": [], ""operators"": []}",5,1,warm_start_checkpoint,5,1
v10_geometry_residual,v10_i1_geometry_signed_residual_pilot,1,3,0.3782578723063567,0.0195096859969615,signed_axial_position_proxy_scaled * 0.20891482749207763,signed_axial_position_proxy_scaled*0.20891482749207763,0.27209994519436071*signed_axial_position_proxy + 0.19280803220330034,"[""signed_axial_position_proxy_scaled""]","Mul(CONST, Symbol('signed_axial_position_proxy_scaled'))","{""features"": [""signed_axial_position_proxy_scaled""], ""operators"": [""Mul""]}",5,1,warm_start_checkpoint,5,1
v10_geometry_residual,v10_i1_geometry_signed_residual_pilot,2,5,0.3608661239360674,0.0235345615825228,rho_scaled * (nearest_axial_boundary_fraction_proxy_scaled * 0.3027901727629459),rho_scaled*nearest_axial_boundary_fraction_proxy_scaled*0.3027901727629459,0.2403262291452542*(6.3559467282562*nearest_axial_boundary_fraction_proxy - 1.50570424883607)*(0.0517386902634747*rho - 9.46065015660878) + 0.211148139088373,"[""nearest_axial_boundary_fraction_proxy_scaled"", ""rho_scaled""]","Mul(CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Symbol('rho_scaled'))","{""features"": [""nearest_axial_boundary_fraction_proxy_scaled"", ""rho_scaled""], ""operators"": [""Mul""]}",5,1,warm_start_checkpoint,5,1
v10_geometry_residual,v10_i1_geometry_signed_residual_pilot,3,7,0.3465976996827051,0.0201711506383895,(signed_radial_position_proxy_scaled - nearest_radial_boundary_fraction_proxy_scaled) * (nearest_axial_boundary_fraction_proxy_scaled * 0.23533926432922803),(-nearest_radial_boundary_fraction_proxy_scaled + signed_radial_position_proxy_scaled)*nearest_axial_boundary_fraction_proxy_scaled*0.23533926432922803,0.18679007132223195*(6.3559467282562*nearest_axial_boundary_fraction_proxy - 1.50570424883607)*(-7.28799975835273*nearest_radial_boundary_fraction_proxy + 2.40848321928096*signed_radial_position_proxy + 2.08439162588874) + 0.211148139088373,"[""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_radial_position_proxy_scaled""]","Mul(Integer(-1), CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Add(Symbol('nearest_radial_boundary_fraction_proxy_scaled'), Mul(Integer(-1), Symbol('signed_radial_position_proxy_scaled'))))","{""features"": [""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_radial_position_proxy_scaled""], ""operators"": [""Add"", ""Mul""]}",5,1,warm_start_checkpoint,5,1
v10_geometry_residual,v10_i1_geometry_signed_residual_pilot,4,9,0.3326759444381716,0.0204979320526767,((nearest_axial_boundary_fraction_proxy_scaled * (signed_radial_position_proxy_scaled - nearest_radial_boundary_fraction_proxy_scaled)) + z_scaled) * 0.21989316105747608,(nearest_axial_boundary_fraction_proxy_scaled*(-nearest_radial_boundary_fraction_proxy_scaled + signed_radial_position_proxy_scaled) + z_scaled)*0.21989316105747608,0.00064835486973801102*z + 0.17453041401428319*(6.3559467282562*nearest_axial_boundary_fraction_proxy - 1.50570424883607)*(-7.28799975835273*nearest_radial_boundary_fraction_proxy + 2.40848321928096*signed_radial_position_proxy + 2.08439162588874) - 0.095708372093533983,"[""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_radial_position_proxy_scaled"", ""z_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Symbol('nearest_radial_boundary_fraction_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Symbol('signed_radial_position_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('z_scaled'))))","{""features"": [""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_radial_position_proxy_scaled"", ""z_scaled""], ""operators"": [""Add"", ""Mul""]}",5,1,warm_start_checkpoint,5,1
v10_geometry_residual,v10_i1_geometry_signed_residual_pilot,5,11,0.3289137945903348,0.0056865912187331,(signed_axial_position_proxy_scaled + ((signed_radial_position_proxy_scaled - nearest_radial_boundary_fraction_proxy_scaled) * (nearest_axial_boundary_fraction_proxy_scaled - 0.28316112150454953))) * 0.23077695822233155,(signed_axial_position_proxy_scaled + (nearest_axial_boundary_fraction_proxy_scaled - 1*0.28316112150454953)*(-nearest_radial_boundary_fraction_proxy_scaled + signed_radial_position_proxy_scaled))*0.23077695822233155,0.30057415473202325*signed_axial_position_proxy + 0.18316894381709592*(6.3559467282562*nearest_axial_boundary_fraction_proxy - 1.50570424883607 - 0.28316112150454953)*(-7.28799975835273*nearest_radial_boundary_fraction_proxy + 2.40848321928096*signed_radial_position_proxy + 2.08439162588874) + 0.19088881077157361,"[""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_axial_position_proxy_scaled"", ""signed_radial_position_proxy_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Symbol('nearest_radial_boundary_fraction_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Symbol('signed_radial_position_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('signed_axial_position_proxy_scaled')), Mul(CONST, Symbol('signed_radial_position_proxy_scaled'))))","{""features"": [""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_axial_position_proxy_scaled"", ""signed_radial_position_proxy_scaled""], ""operators"": [""Add"", ""Mul""]}",5,1,warm_start_checkpoint,5,1
v10_geometry_residual,v10_i1_geometry_signed_residual_pilot,6,13,0.3220215165032941,0.0105886645794688,((z_scaled + nearest_radial_boundary_fraction_proxy_scaled) - ((signed_radial_position_proxy_scaled - nearest_radial_boundary_fraction_proxy_scaled) * (nearest_axial_boundary_fraction_proxy_scaled * -1.4121599970367882))) * 0.17936044516286587,(-(-1.4121599970367882)*nearest_axial_boundary_fraction_proxy_scaled*(-nearest_radial_boundary_fraction_proxy_scaled + signed_radial_position_proxy_scaled) + nearest_radial_boundary_fraction_proxy_scaled + z_scaled)*0.17936044516286587,1.0375150832130629*nearest_radial_boundary_fraction_proxy + 0.00052884417823856596*z + 0.20103421314697469*(6.3559467282562*nearest_axial_boundary_fraction_proxy - 1.50570424883607)*(-7.28799975835273*nearest_radial_boundary_fraction_proxy + 2.40848321928096*signed_radial_position_proxy + 2.08439162588874) - 0.38190567824831256,"[""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_radial_position_proxy_scaled"", ""z_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Symbol('nearest_radial_boundary_fraction_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Symbol('signed_radial_position_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('z_scaled'))))","{""features"": [""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_radial_position_proxy_scaled"", ""z_scaled""], ""operators"": [""Add"", ""Mul""]}",5,1,warm_start_checkpoint,5,1
v10_geometry_residual,v10_i1_geometry_signed_residual_pilot,7,15,0.3158600433740047,0.0096595749942555,(z_scaled + (nearest_axial_boundary_fraction_proxy_scaled * (signed_radial_position_proxy_scaled - (nearest_radial_boundary_fraction_proxy_scaled * ((nearest_axial_boundary_fraction_proxy_scaled * -0.7610670338968702) - -1.1394694726641268))))) * 0.2287766627775567,(nearest_axial_boundary_fraction_proxy_scaled*(-nearest_radial_boundary_fraction_proxy_scaled*(nearest_axial_boundary_fraction_proxy_scaled*(-0.7610670338968702) - 1*(-1.1394694726641268)) + signed_radial_position_proxy_scaled) + z_scaled)*0.2287766627775567,0.0006745478698879102*z + 0.1815812982966598*(6.3559467282562*nearest_axial_boundary_fraction_proxy - 1.50570424883607)*(2.40848321928096*signed_radial_position_proxy - (7.28799975835273*nearest_radial_boundary_fraction_proxy - 2.40770868434696)*(-4.83730152408046*nearest_axial_boundary_fraction_proxy + 1.1394694726641268 + 1.145941866587582) - 0.32331705845822) - 0.1081051211865624,"[""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_radial_position_proxy_scaled"", ""z_scaled""]","Mul(CONST, Add(Mul(CONST, Pow(Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Integer(2)), Symbol('nearest_radial_boundary_fraction_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Symbol('nearest_radial_boundary_fraction_proxy_scaled')), Mul(CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Symbol('signed_radial_position_proxy_scaled')), Mul(CONST, Symbol('z_scaled'))))","{""features"": [""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_radial_position_proxy_scaled"", ""z_scaled""], ""operators"": [""Add"", ""Mul""]}",5,1,warm_start_checkpoint,5,1
v10_geometry_residual,v10_i1_geometry_signed_residual_pilot,8,17,0.311299082778332,0.0072725418713141,((nearest_axial_boundary_fraction_proxy_scaled * (signed_radial_position_proxy_scaled - nearest_radial_boundary_fraction_proxy_scaled)) * ((nearest_axial_boundary_fraction_proxy_scaled * -0.1542368496272634) - -0.2714479931400675)) + ((signed_axial_position_proxy_scaled + rho_scaled) * 0.173437175517742),nearest_axial_boundary_fraction_proxy_scaled*(-nearest_radial_boundary_fraction_proxy_scaled + signed_radial_position_proxy_scaled)*(nearest_axial_boundary_fraction_proxy_scaled*(-0.1542368496272634) - 1*(-0.2714479931400675)) + (rho_scaled + signed_axial_position_proxy_scaled)*0.173437175517742,0.00712224680865929*rho + 0.225892276386327*signed_axial_position_proxy + 0.793705512144892*(6.3559467282562*nearest_axial_boundary_fraction_proxy - 1.50570424883607)*(-0.9803211997649478*nearest_axial_boundary_fraction_proxy + 0.2322350798108603 + 0.2714479931400675)*(-7.28799975835273*nearest_radial_boundary_fraction_proxy + 2.40848321928096*signed_radial_position_proxy + 2.08439162588874) - 1.10641205270426,"[""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""rho_scaled"", ""signed_axial_position_proxy_scaled"", ""signed_radial_position_proxy_scaled""]","Mul(CONST, Add(Mul(CONST, Pow(Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Integer(2)), Symbol('nearest_radial_boundary_fraction_proxy_scaled')), Mul(Integer(-1), CONST, Pow(Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Integer(2)), Symbol('signed_radial_position_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Symbol('nearest_radial_boundary_fraction_proxy_scaled')), Mul(CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Symbol('signed_radial_position_proxy_scaled')), Mul(CONST, Symbol('rho_scaled')), Mul(CONST, Symbol('signed_axial_position_proxy_scaled'))))","{""features"": [""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""rho_scaled"", ""signed_axial_position_proxy_scaled"", ""signed_radial_position_proxy_scaled""], ""operators"": [""Add"", ""Mul""]}",5,1,warm_start_checkpoint,5,1
v10_geometry_residual,v10_i1_geometry_signed_residual_pilot,9,19,0.3078036591347933,0.005646010829116,(((signed_radial_position_proxy_scaled - nearest_radial_boundary_fraction_proxy_scaled) * (((nearest_axial_boundary_fraction_proxy_scaled * -0.8814890855249744) - -1.597271547408043) * nearest_axial_boundary_fraction_proxy_scaled)) + (signed_axial_position_proxy_scaled - (0.5398951234563703 - rho_scaled))) * 0.17570376350010927,(nearest_axial_boundary_fraction_proxy_scaled*(-nearest_radial_boundary_fraction_proxy_scaled + signed_radial_position_proxy_scaled)*(nearest_axial_boundary_fraction_proxy_scaled*(-0.8814890855249744) - 1*(-1.597271547408043)) + signed_axial_position_proxy_scaled - (0.5398951234563703 - rho_scaled))*0.17570376350010927,0.0072153248870803078*rho + 0.22884438118991644*signed_axial_position_proxy + 0.13945704559463914*(6.3559467282562*nearest_axial_boundary_fraction_proxy - 1.50570424883607)*(-5.602697669136008*nearest_axial_boundary_fraction_proxy + 1.327261861377575 + 1.597271547408043)*(-7.28799975835273*nearest_radial_boundary_fraction_proxy + 2.40848321928096*signed_radial_position_proxy + 2.08439162588874) - 1.1989229511715045,"[""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""rho_scaled"", ""signed_axial_position_proxy_scaled"", ""signed_radial_position_proxy_scaled""]","Mul(CONST, Add(Mul(CONST, Pow(Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Integer(2)), Symbol('nearest_radial_boundary_fraction_proxy_scaled')), Mul(Integer(-1), CONST, Pow(Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Integer(2)), Symbol('signed_radial_position_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Symbol('nearest_radial_boundary_fraction_proxy_scaled')), Mul(CONST, Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Symbol('signed_radial_position_proxy_scaled')), Mul(CONST, Symbol('rho_scaled')), Mul(CONST, Symbol('signed_axial_position_proxy_scaled')), CONST))","{""features"": [""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""rho_scaled"", ""signed_axial_position_proxy_scaled"", ""signed_radial_position_proxy_scaled""], ""operators"": [""Add"", ""Mul""]}",5,1,warm_start_checkpoint,5,1
