stage,run_id,candidate_index,complexity,loss,score,equation,formula_scaled_sympy,formula_original_variables,feature_support_json,structure_signature,family_signature,segment,attempt,search_mode,completed_segment,completed_attempt,source_candidate_index,frontier_source
v10_physical_residual,v10_i1_physical_signed_residual_pilot,0,26,0.3286410438900506,0.0014227344654314,(((((theta_fraction_proxy_scaled + abs(signed_radial_position_proxy_scaled - nearest_radial_boundary_fraction_proxy_scaled)) * -0.9219042717134277) + (fluence_rate_mean_scaled + nearest_angular_boundary_fraction_proxy_scaled)) * -0.16254121559445786) - 0.07467188916362873) * ((nearest_angular_boundary_fraction_proxy_scaled * 0.4722621187435507) + (nearest_radial_boundary_fraction_proxy_scaled - -0.2777422381074965)),((fluence_rate_mean_scaled + nearest_angular_boundary_fraction_proxy_scaled + (theta_fraction_proxy_scaled + Abs(nearest_radial_boundary_fraction_proxy_scaled - signed_radial_position_proxy_scaled))*(-0.9219042717134277))*(-0.16254121559445786) - 1*0.07467188916362873)*(nearest_angular_boundary_fraction_proxy_scaled*0.4722621187435507 + nearest_radial_boundary_fraction_proxy_scaled - 1*(-0.2777422381074965)),0.687707530043104*(3.752650699651312*nearest_angular_boundary_fraction_proxy + 7.28799975835273*nearest_radial_boundary_fraction_proxy - 3.560078810528026 + 0.2777422381074965)*(-0.44608657163711589*fluence_rate_mean - 1.291571739959816*nearest_angular_boundary_fraction_proxy + 0.66354475675260838*theta_fraction_proxy + 0.14984744098602391*Abs(-7.28799975835273*nearest_radial_boundary_fraction_proxy + 2.40848321928096*signed_radial_position_proxy + 2.08439162588874) - 0.07467188916362873 + 1.6933224087437673) + 0.0275995197448158,"[""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_radial_position_proxy_scaled"", ""theta_fraction_proxy_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled')), Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled')), CONST), Add(Mul(Integer(-1), CONST, Symbol('fluence_rate_mean_scaled')), Mul(Integer(-1), CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled')), Mul(CONST, Symbol('theta_fraction_proxy_scaled')), Mul(CONST, Abs(Add(Symbol('nearest_radial_boundary_fraction_proxy_scaled'), Mul(Integer(-1), Symbol('signed_radial_position_proxy_scaled'))))), CONST))","{""features"": [""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_radial_position_proxy_scaled"", ""theta_fraction_proxy_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",5,1,warm_start_checkpoint,5,1,16,v10_physical_pilot_only
v10_physical_residual,v10_i1_physical_signed_residual_pilot,1,25,0.3291089456009675,0.0010608671223705,(((((theta_fraction_proxy_scaled + abs(signed_radial_position_proxy_scaled - nearest_radial_boundary_fraction_proxy_scaled)) * -0.8853956158726448) + (fluence_rate_mean_scaled + nearest_angular_boundary_fraction_proxy_scaled)) - -0.423910270221487) * -0.12382091745129639) * (nearest_radial_boundary_fraction_proxy_scaled + (boundary_corner_proximity_proxy_scaled - -0.20262181029931925)),(fluence_rate_mean_scaled + nearest_angular_boundary_fraction_proxy_scaled + (theta_fraction_proxy_scaled + Abs(nearest_radial_boundary_fraction_proxy_scaled - signed_radial_position_proxy_scaled))*(-0.8853956158726448) - 1*(-0.423910270221487))*(-0.12382091745129639)*(boundary_corner_proximity_proxy_scaled + nearest_radial_boundary_fraction_proxy_scaled - 1*(-0.20262181029931925)),-0.085152577308102171*(43.6680362093901*boundary_corner_proximity_proxy + 7.28799975835273*nearest_radial_boundary_fraction_proxy - 3.4125211154102 + 0.20262181029931925)*(2.74445204562827*fluence_rate_mean + 7.94611837518369*nearest_angular_boundary_fraction_proxy - 3.92065166210503*theta_fraction_proxy - 0.8853956158726448*Abs(-7.28799975835273*nearest_radial_boundary_fraction_proxy + 2.40848321928096*signed_radial_position_proxy + 2.08439162588874) - 10.49130457839271 + 0.423910270221487) + 0.0275995197448158,"[""boundary_corner_proximity_proxy_scaled"", ""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_radial_position_proxy_scaled"", ""theta_fraction_proxy_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('boundary_corner_proximity_proxy_scaled')), Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled')), CONST), Add(Mul(Integer(-1), CONST, Symbol('fluence_rate_mean_scaled')), Mul(Integer(-1), CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled')), Mul(CONST, Symbol('theta_fraction_proxy_scaled')), Mul(CONST, Abs(Add(Symbol('nearest_radial_boundary_fraction_proxy_scaled'), Mul(Integer(-1), Symbol('signed_radial_position_proxy_scaled'))))), CONST))","{""features"": [""boundary_corner_proximity_proxy_scaled"", ""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_radial_position_proxy_scaled"", ""theta_fraction_proxy_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",5,1,warm_start_checkpoint,5,1,15,v10_physical_pilot_only
v10_physical_residual,v10_i1_physical_signed_residual_pilot,2,23,0.3298079686294125,0.0017449232900234,(((theta_fraction_proxy_scaled + abs(signed_radial_position_proxy_scaled - nearest_radial_boundary_fraction_proxy_scaled)) * 0.10356025477133034) + (((fluence_rate_mean_scaled + nearest_angular_boundary_fraction_proxy_scaled) - -0.42758973793726934) * -0.12068008640187608)) * (nearest_radial_boundary_fraction_proxy_scaled + boundary_corner_proximity_proxy_scaled),(boundary_corner_proximity_proxy_scaled + nearest_radial_boundary_fraction_proxy_scaled)*((theta_fraction_proxy_scaled + Abs(nearest_radial_boundary_fraction_proxy_scaled - signed_radial_position_proxy_scaled))*0.10356025477133034 + (fluence_rate_mean_scaled + nearest_angular_boundary_fraction_proxy_scaled - 1*(-0.42758973793726934))*(-0.12068008640187608)),0.687707530043104*(43.6680362093901*boundary_corner_proximity_proxy + 7.28799975835273*nearest_radial_boundary_fraction_proxy - 3.4125211154102)*(-0.33120070999222544*fluence_rate_mean - 0.95893825207670338*nearest_angular_boundary_fraction_proxy + 0.45857882930339585*theta_fraction_proxy + 0.10356025477133034*Abs(-7.28799975835273*nearest_radial_boundary_fraction_proxy + 2.40848321928096*signed_radial_position_proxy + 2.08439162588874) + 1.2211123122290247) + 0.0275995197448158,"[""boundary_corner_proximity_proxy_scaled"", ""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_radial_position_proxy_scaled"", ""theta_fraction_proxy_scaled""]","Mul(CONST, Add(Symbol('boundary_corner_proximity_proxy_scaled'), Symbol('nearest_radial_boundary_fraction_proxy_scaled')), Add(Mul(Integer(-1), CONST, Symbol('fluence_rate_mean_scaled')), Mul(Integer(-1), CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled')), Mul(CONST, Symbol('theta_fraction_proxy_scaled')), Mul(CONST, Abs(Add(Symbol('nearest_radial_boundary_fraction_proxy_scaled'), Mul(Integer(-1), Symbol('signed_radial_position_proxy_scaled'))))), CONST))","{""features"": [""boundary_corner_proximity_proxy_scaled"", ""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_radial_position_proxy_scaled"", ""theta_fraction_proxy_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",5,1,warm_start_checkpoint,5,1,14,v10_physical_pilot_only
v10_physical_residual,v10_i1_physical_signed_residual_pilot,3,21,0.3309609585495797,0.0033271371789941,((nearest_radial_boundary_fraction_proxy_scaled + boundary_corner_proximity_proxy_scaled) * ((nearest_angular_boundary_fraction_proxy_scaled + fluence_rate_mean_scaled) + ((theta_fraction_proxy_scaled + abs(signed_radial_position_proxy_scaled - nearest_radial_boundary_fraction_proxy_scaled)) * -0.7089500171047196))) * -0.11954900274551448,(boundary_corner_proximity_proxy_scaled + nearest_radial_boundary_fraction_proxy_scaled)*(fluence_rate_mean_scaled + nearest_angular_boundary_fraction_proxy_scaled + (theta_fraction_proxy_scaled + Abs(nearest_radial_boundary_fraction_proxy_scaled - signed_radial_position_proxy_scaled))*(-0.7089500171047196))*(-0.11954900274551448),-0.082214749397234079*(43.6680362093901*boundary_corner_proximity_proxy + 7.28799975835273*nearest_radial_boundary_fraction_proxy - 3.4125211154102)*(2.74445204562827*fluence_rate_mean + 7.94611837518369*nearest_angular_boundary_fraction_proxy - 3.139326661530271*theta_fraction_proxy - 0.7089500171047196*Abs(-7.28799975835273*nearest_radial_boundary_fraction_proxy + 2.40848321928096*signed_radial_position_proxy + 2.08439162588874) - 10.84653488024564) + 0.0275995197448158,"[""boundary_corner_proximity_proxy_scaled"", ""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_radial_position_proxy_scaled"", ""theta_fraction_proxy_scaled""]","Mul(CONST, Add(Symbol('boundary_corner_proximity_proxy_scaled'), Symbol('nearest_radial_boundary_fraction_proxy_scaled')), Add(Mul(Integer(-1), CONST, Symbol('fluence_rate_mean_scaled')), Mul(Integer(-1), CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled')), Mul(CONST, Symbol('theta_fraction_proxy_scaled')), Mul(CONST, Abs(Add(Symbol('nearest_radial_boundary_fraction_proxy_scaled'), Mul(Integer(-1), Symbol('signed_radial_position_proxy_scaled')))))))","{""features"": [""boundary_corner_proximity_proxy_scaled"", ""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_radial_position_proxy_scaled"", ""theta_fraction_proxy_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",5,1,warm_start_checkpoint,5,1,13,v10_physical_pilot_only
v10_physical_residual,v10_i1_physical_signed_residual_pilot,4,19,0.3331706072203153,0.0040555038261989,(nearest_radial_boundary_fraction_proxy_scaled + boundary_corner_proximity_proxy_scaled) * ((nearest_angular_boundary_fraction_proxy_scaled + (fluence_rate_mean_scaled - (theta_fraction_proxy_scaled + abs(rho_fraction_proxy_scaled - nearest_radial_boundary_fraction_proxy_scaled)))) * -0.0948455421648695),(boundary_corner_proximity_proxy_scaled + nearest_radial_boundary_fraction_proxy_scaled)*(fluence_rate_mean_scaled + nearest_angular_boundary_fraction_proxy_scaled - (theta_fraction_proxy_scaled + Abs(nearest_radial_boundary_fraction_proxy_scaled - rho_fraction_proxy_scaled)))*(-0.0948455421648695),-0.0652259935378015*(43.6680362093901*boundary_corner_proximity_proxy + 7.28799975835273*nearest_radial_boundary_fraction_proxy - 3.4125211154102)*(2.74445204562827*fluence_rate_mean + 7.94611837518369*nearest_angular_boundary_fraction_proxy - 4.4281353914779*theta_fraction_proxy - Abs(7.28799975835273*nearest_radial_boundary_fraction_proxy - 4.8169664382211*rho_fraction_proxy + 0.324091593164133) - 10.2605765225415) + 0.0275995197448158,"[""boundary_corner_proximity_proxy_scaled"", ""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""rho_fraction_proxy_scaled"", ""theta_fraction_proxy_scaled""]","Mul(CONST, Add(Symbol('boundary_corner_proximity_proxy_scaled'), Symbol('nearest_radial_boundary_fraction_proxy_scaled')), Add(Mul(Integer(-1), Symbol('fluence_rate_mean_scaled')), Mul(Integer(-1), Symbol('nearest_angular_boundary_fraction_proxy_scaled')), Symbol('theta_fraction_proxy_scaled'), Abs(Add(Symbol('nearest_radial_boundary_fraction_proxy_scaled'), Mul(Integer(-1), Symbol('rho_fraction_proxy_scaled'))))))","{""features"": [""boundary_corner_proximity_proxy_scaled"", ""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""rho_fraction_proxy_scaled"", ""theta_fraction_proxy_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",5,1,warm_start_checkpoint,5,1,12,v10_physical_pilot_only
v10_physical_residual,v10_i1_physical_signed_residual_pilot,5,18,0.3345245254472794,0.0102263346484646,(nearest_radial_boundary_fraction_proxy_scaled + (nearest_angular_boundary_fraction_proxy_scaled * 0.3896782111492233)) * (((abs(nearest_axial_boundary_fraction_proxy_scaled) + theta_fraction_proxy_scaled) - (nearest_angular_boundary_fraction_proxy_scaled + fluence_rate_mean_scaled)) * 0.15278822240714104),(nearest_angular_boundary_fraction_proxy_scaled*0.3896782111492233 + nearest_radial_boundary_fraction_proxy_scaled)*(theta_fraction_proxy_scaled - (fluence_rate_mean_scaled + nearest_angular_boundary_fraction_proxy_scaled) + Abs(nearest_axial_boundary_fraction_proxy_scaled))*0.15278822240714104,0.10507361105129148*(3.096429194021555*nearest_angular_boundary_fraction_proxy + 7.28799975835273*nearest_radial_boundary_fraction_proxy - 3.358565235252939)*(-2.74445204562827*fluence_rate_mean - 7.94611837518369*nearest_angular_boundary_fraction_proxy + 4.4281353914779*theta_fraction_proxy + Abs(6.3559467282562*nearest_axial_boundary_fraction_proxy - 1.50570424883607) + 10.2605765225415) + 0.0275995197448158,"[""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_fraction_proxy_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled')), Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'))), Add(Mul(Integer(-1), Symbol('fluence_rate_mean_scaled')), Mul(Integer(-1), Symbol('nearest_angular_boundary_fraction_proxy_scaled')), Symbol('theta_fraction_proxy_scaled'), Abs(Symbol('nearest_axial_boundary_fraction_proxy_scaled'))))","{""features"": [""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_fraction_proxy_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",5,1,warm_start_checkpoint,5,1,11,v10_physical_pilot_only
v10_physical_residual,v10_i1_physical_signed_residual_pilot,6,17,0.3379630369111037,0.0023257063256573,((nearest_angular_boundary_fraction_proxy_scaled - theta_fraction_proxy_scaled) + (fluence_rate_mean_scaled + -0.8723685738779988)) * ((nearest_radial_boundary_fraction_proxy_scaled + ((nearest_angular_boundary_fraction_proxy_scaled + 0.5403450912470474) * 0.5734140415148924)) * -0.14401254091851257),(fluence_rate_mean_scaled + nearest_angular_boundary_fraction_proxy_scaled - theta_fraction_proxy_scaled - 0.8723685738779988)*(nearest_radial_boundary_fraction_proxy_scaled + (nearest_angular_boundary_fraction_proxy_scaled + 0.5403450912470474)*0.5734140415148924)*(-0.14401254091851257),-0.099038508810301796*(4.556415851869832*nearest_angular_boundary_fraction_proxy + 7.28799975835273*nearest_radial_boundary_fraction_proxy - 3.497058867987292)*(2.74445204562827*fluence_rate_mean + 7.94611837518369*nearest_angular_boundary_fraction_proxy - 4.4281353914779*theta_fraction_proxy - 11.13294509641949) + 0.0275995197448158,"[""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_fraction_proxy_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled')), Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled')), CONST), Add(Mul(CONST, Symbol('fluence_rate_mean_scaled')), Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('theta_fraction_proxy_scaled')), CONST))","{""features"": [""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_fraction_proxy_scaled""], ""operators"": [""Add"", ""Mul""]}",5,1,warm_start_checkpoint,5,1,10,v10_physical_pilot_only
v10_physical_residual,v10_i1_physical_signed_residual_pilot,7,15,0.3395387041550655,0.0061363824165649,((theta_fraction_proxy_scaled + 1.0132575245999618) - (nearest_angular_boundary_fraction_proxy_scaled + fluence_rate_mean_scaled)) * ((nearest_radial_boundary_fraction_proxy_scaled + (nearest_angular_boundary_fraction_proxy_scaled * 0.4414703637947122)) * 0.13900158672649054),(theta_fraction_proxy_scaled - (fluence_rate_mean_scaled + nearest_angular_boundary_fraction_proxy_scaled) + 1.0132575245999618)*(nearest_angular_boundary_fraction_proxy_scaled*0.4414703637947122 + nearest_radial_boundary_fraction_proxy_scaled)*0.13900158672649054,0.095592437879747185*(3.507975769848193*nearest_angular_boundary_fraction_proxy + 7.28799975835273*nearest_radial_boundary_fraction_proxy - 3.484943632144181)*(-2.74445204562827*fluence_rate_mean - 7.94611837518369*nearest_angular_boundary_fraction_proxy + 4.4281353914779*theta_fraction_proxy + 11.27383404714145) + 0.0275995197448158,"[""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_fraction_proxy_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled')), Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'))), Add(Mul(CONST, Symbol('fluence_rate_mean_scaled')), Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('theta_fraction_proxy_scaled')), CONST))","{""features"": [""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_fraction_proxy_scaled""], ""operators"": [""Add"", ""Mul""]}",5,1,warm_start_checkpoint,5,1,9,v10_physical_pilot_only
v10_physical_residual,v10_i1_physical_signed_residual_pilot,8,14,0.3416286492821481,0.0016213399391645,nearest_radial_boundary_fraction_proxy_scaled * (((abs(nearest_axial_boundary_fraction_proxy_scaled) + theta_fraction_proxy_scaled) - (nearest_angular_boundary_fraction_proxy_scaled + fluence_rate_mean_scaled)) * 0.15887661645183263),nearest_radial_boundary_fraction_proxy_scaled*(theta_fraction_proxy_scaled - (fluence_rate_mean_scaled + nearest_angular_boundary_fraction_proxy_scaled) + Abs(nearest_axial_boundary_fraction_proxy_scaled))*0.15887661645183263,0.10926064548169548*(7.28799975835273*nearest_radial_boundary_fraction_proxy - 2.40770868434696)*(-2.74445204562827*fluence_rate_mean - 7.94611837518369*nearest_angular_boundary_fraction_proxy + 4.4281353914779*theta_fraction_proxy + Abs(6.3559467282562*nearest_axial_boundary_fraction_proxy - 1.50570424883607) + 10.2605765225415) + 0.0275995197448158,"[""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_fraction_proxy_scaled""]","Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'), Add(Mul(Integer(-1), Symbol('fluence_rate_mean_scaled')), Mul(Integer(-1), Symbol('nearest_angular_boundary_fraction_proxy_scaled')), Symbol('theta_fraction_proxy_scaled'), Abs(Symbol('nearest_axial_boundary_fraction_proxy_scaled'))))","{""features"": [""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_fraction_proxy_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",5,1,warm_start_checkpoint,5,1,8,v10_physical_pilot_only
v10_physical_residual,v10_i1_physical_signed_residual_pilot,9,12,0.3427382396799883,0.0035978641894194,(nearest_radial_boundary_fraction_proxy_scaled * (abs(signed_angular_position_proxy_scaled * nearest_axial_boundary_fraction_proxy_scaled) - fluence_rate_mean_scaled)) * 0.20508130156549698,nearest_radial_boundary_fraction_proxy_scaled*(-fluence_rate_mean_scaled + Abs(nearest_axial_boundary_fraction_proxy_scaled*signed_angular_position_proxy_scaled))*0.20508130156549698,0.14103595535763298*(7.28799975835273*nearest_radial_boundary_fraction_proxy - 2.40770868434696)*(-2.74445204562827*fluence_rate_mean + Abs((6.3559467282562*nearest_axial_boundary_fraction_proxy - 1.50570424883607)*(2.21406769567344*signed_angular_position_proxy + 0.200810894031673)) + 9.83372627259416) + 0.0275995197448158,"[""fluence_rate_mean_scaled"", ""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_angular_position_proxy_scaled""]","Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'), Add(Mul(Integer(-1), Symbol('fluence_rate_mean_scaled')), Abs(Mul(Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Symbol('signed_angular_position_proxy_scaled')))))","{""features"": [""fluence_rate_mean_scaled"", ""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_angular_position_proxy_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",5,1,warm_start_checkpoint,5,1,7,v10_physical_pilot_only
