stage,run_id,candidate_index,complexity,loss,score,equation,formula_scaled_sympy,formula_original_variables,feature_support_json,structure_signature,family_signature,segment,attempt,search_mode,completed_segment,completed_attempt
v10_physical_residual,v10_i1_physical_signed_residual_pilot,0,1,0.3755898282452037,0.0,-0.04108274081917399,-0.04108274081917399,-0.0006533904713393727,[],CONST,"{""features"": [], ""operators"": []}",1,1,fresh_search,1,1
v10_physical_residual,v10_i1_physical_signed_residual_pilot,1,3,0.3684211519211802,0.0096354736233918,nearest_radial_boundary_fraction_proxy_scaled * 0.14880275879561325,nearest_radial_boundary_fraction_proxy_scaled*0.14880275879561325,0.74580125925798061*nearest_radial_boundary_fraction_proxy - 0.21878799785277073,"[""nearest_radial_boundary_fraction_proxy_scaled""]","Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'))","{""features"": [""nearest_radial_boundary_fraction_proxy_scaled""], ""operators"": [""Mul""]}",1,1,fresh_search,1,1
v10_physical_residual,v10_i1_physical_signed_residual_pilot,2,5,0.3643051478871991,0.0056174417778692,(theta_cos_scaled * nearest_angular_boundary_fraction_proxy_scaled) * -0.14419283585441553,theta_cos_scaled*nearest_angular_boundary_fraction_proxy_scaled*(-0.14419283585441553),-0.0991624989953509*(7.94611837518369*nearest_angular_boundary_fraction_proxy - 2.44010705166643)*(15.5762521402483*theta_cos - 14.3845918390833) + 0.0275995197448158,"[""nearest_angular_boundary_fraction_proxy_scaled"", ""theta_cos_scaled""]","Mul(Integer(-1), CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled'), Symbol('theta_cos_scaled'))","{""features"": [""nearest_angular_boundary_fraction_proxy_scaled"", ""theta_cos_scaled""], ""operators"": [""Mul""]}",1,1,fresh_search,1,1
v10_physical_residual,v10_i1_physical_signed_residual_pilot,3,7,0.3623023582858099,0.0027563638642101,((theta_cos_scaled + rho_fraction_proxy_scaled) * nearest_angular_boundary_fraction_proxy_scaled) * -0.10464510500707533,(rho_fraction_proxy_scaled + theta_cos_scaled)*nearest_angular_boundary_fraction_proxy_scaled*(-0.10464510500707533),-0.07196522669551708*(7.94611837518369*nearest_angular_boundary_fraction_proxy - 2.44010705166643)*(4.8169664382211*rho_fraction_proxy + 15.5762521402483*theta_cos - 17.1163921165944) + 0.0275995197448158,"[""nearest_angular_boundary_fraction_proxy_scaled"", ""rho_fraction_proxy_scaled"", ""theta_cos_scaled""]","Mul(Integer(-1), CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled'), Add(Symbol('rho_fraction_proxy_scaled'), Symbol('theta_cos_scaled')))","{""features"": [""nearest_angular_boundary_fraction_proxy_scaled"", ""rho_fraction_proxy_scaled"", ""theta_cos_scaled""], ""operators"": [""Add"", ""Mul""]}",1,1,fresh_search,1,1
v10_physical_residual,v10_i1_physical_signed_residual_pilot,4,8,0.3594860664049169,0.0078036889388857,theta_cos_scaled * (0.1696039288691628 * (theta_cos_scaled * boundary_corner_proximity_proxy_scaled)),theta_cos_scaled*0.1696039288691628*theta_cos_scaled*boundary_corner_proximity_proxy_scaled,0.1166378990082183*(43.6680362093901*boundary_corner_proximity_proxy - 1.00481243106324)*(15.5762521402483*theta_cos - 14.3845918390833)**2 + 0.0275995197448158,"[""boundary_corner_proximity_proxy_scaled"", ""theta_cos_scaled""]","Mul(CONST, Symbol('boundary_corner_proximity_proxy_scaled'), Pow(Symbol('theta_cos_scaled'), Integer(2)))","{""features"": [""boundary_corner_proximity_proxy_scaled"", ""theta_cos_scaled""], ""operators"": [""Mul""]}",1,1,fresh_search,1,1
v10_physical_residual,v10_i1_physical_signed_residual_pilot,5,9,0.3496452444689055,0.0277563649234226,(((nearest_angular_boundary_fraction_proxy_scaled + fluence_rate_mean_scaled) + -0.7867476258937537) * -0.1531632662536634) * nearest_radial_boundary_fraction_proxy_scaled,(fluence_rate_mean_scaled + nearest_angular_boundary_fraction_proxy_scaled - 0.7867476258937537)*(-0.1531632662536634)*nearest_radial_boundary_fraction_proxy_scaled,-0.1053315315286412*(7.28799975835273*nearest_radial_boundary_fraction_proxy - 2.40770868434696)*(2.74445204562827*fluence_rate_mean + 7.94611837518369*nearest_angular_boundary_fraction_proxy - 13.06058095015434) + 0.0275995197448158,"[""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled""]","Mul(Integer(-1), CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'), Add(Mul(CONST, Symbol('fluence_rate_mean_scaled')), Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled')), CONST))","{""features"": [""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled""], ""operators"": [""Add"", ""Mul""]}",1,1,fresh_search,1,1
v10_physical_residual,v10_i1_physical_signed_residual_pilot,6,13,0.3467686176035618,0.0020653259380661,((nearest_radial_boundary_fraction_proxy_scaled + (nearest_angular_boundary_fraction_proxy_scaled * 0.2489775761192949)) * -0.14600026122735196) * (nearest_angular_boundary_fraction_proxy_scaled + (fluence_rate_mean_scaled + -1.0897403350811132)),(nearest_angular_boundary_fraction_proxy_scaled*0.2489775761192949 + nearest_radial_boundary_fraction_proxy_scaled)*(-0.14600026122735196)*(fluence_rate_mean_scaled + nearest_angular_boundary_fraction_proxy_scaled - 1.0897403350811132),-0.10040547903431025*(2.74445204562827*fluence_rate_mean + 7.94611837518369*nearest_angular_boundary_fraction_proxy - 13.363573659341698)*(1.978405292610226*nearest_angular_boundary_fraction_proxy + 7.28799975835273*nearest_radial_boundary_fraction_proxy - 3.015240623542467) + 0.0275995197448158,"[""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled')), Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'))), Add(Mul(CONST, Symbol('fluence_rate_mean_scaled')), Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled')), CONST))","{""features"": [""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled""], ""operators"": [""Add"", ""Mul""]}",1,1,fresh_search,1,1
v10_physical_residual,v10_i1_physical_signed_residual_pilot,7,17,0.3394820336379553,0.0053091809847715,((((theta_sin_scaled + 1.1837787836874432) * -0.8518432706298428) + (nearest_angular_boundary_fraction_proxy_scaled + fluence_rate_mean_scaled)) * (nearest_radial_boundary_fraction_proxy_scaled + (nearest_angular_boundary_fraction_proxy_scaled * 0.47502441697838826))) * -0.13857242779060153,(fluence_rate_mean_scaled + nearest_angular_boundary_fraction_proxy_scaled + (theta_sin_scaled + 1.1837787836874432)*(-0.8518432706298428))*(nearest_angular_boundary_fraction_proxy_scaled*0.47502441697838826 + nearest_radial_boundary_fraction_proxy_scaled)*(-0.13857242779060153),-0.095297302047951027*(3.7746002484128921*nearest_angular_boundary_fraction_proxy + 7.28799975835273*nearest_radial_boundary_fraction_proxy - 3.5668191139296592)*(2.74445204562827*fluence_rate_mean + 7.94611837518369*nearest_angular_boundary_fraction_proxy - 5.345031195392818*theta_sin - 11.448982361771099) + 0.0275995197448158,"[""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_sin_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled')), Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'))), Add(Mul(CONST, Symbol('fluence_rate_mean_scaled')), Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('theta_sin_scaled')), CONST))","{""features"": [""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_sin_scaled""], ""operators"": [""Add"", ""Mul""]}",1,1,fresh_search,1,1
v10_physical_residual,v10_i1_physical_signed_residual_pilot,8,19,0.3382728082753914,0.0017841652628213,((((theta_sin_scaled + 0.7388392985610308) * -0.9076902731573104) + (nearest_angular_boundary_fraction_proxy_scaled + fluence_rate_mean_scaled)) * -0.1531632662536634) * (nearest_radial_boundary_fraction_proxy_scaled + ((nearest_angular_boundary_fraction_proxy_scaled * 0.5359370319222708) - -0.3048614652225945)),(fluence_rate_mean_scaled + nearest_angular_boundary_fraction_proxy_scaled + (theta_sin_scaled + 0.7388392985610308)*(-0.9076902731573104))*(-0.1531632662536634)*(nearest_angular_boundary_fraction_proxy_scaled*0.5359370319222708 + nearest_radial_boundary_fraction_proxy_scaled - 1*(-0.3048614652225945)),-0.1053315315286412*(2.74445204562827*fluence_rate_mean + 7.94611837518369*nearest_angular_boundary_fraction_proxy - 5.695452430108666*theta_sin - 10.99103773716964)*(4.258619097298966*nearest_angular_boundary_fraction_proxy + 7.28799975835273*nearest_radial_boundary_fraction_proxy - 3.715452415189669 + 0.3048614652225945) + 0.0275995197448158,"[""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_sin_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled')), Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled')), CONST), Add(Mul(CONST, Symbol('fluence_rate_mean_scaled')), Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('theta_sin_scaled')), CONST))","{""features"": [""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_sin_scaled""], ""operators"": [""Add"", ""Mul""]}",1,1,fresh_search,1,1
v10_physical_residual,v10_i1_physical_signed_residual_pilot,9,21,0.3355013632625654,0.0041133376143122,(((((0.8669556945214836 + theta_sin_scaled) * -0.9244954074765048) + nearest_angular_boundary_fraction_proxy_scaled) + fluence_rate_mean_scaled) - (rho_scaled * 0.40807377219717333)) * (((nearest_angular_boundary_fraction_proxy_scaled * 0.51626729104756) + nearest_radial_boundary_fraction_proxy_scaled) * -0.17630156403429698),(fluence_rate_mean_scaled + nearest_angular_boundary_fraction_proxy_scaled - 0.40807377219717333*rho_scaled + (theta_sin_scaled + 0.8669556945214836)*(-0.9244954074765048))*(nearest_angular_boundary_fraction_proxy_scaled*0.51626729104756 + nearest_radial_boundary_fraction_proxy_scaled)*(-0.17630156403429698),-0.1212439131447626*(4.10232100789932*nearest_angular_boundary_fraction_proxy + 7.28799975835273*nearest_radial_boundary_fraction_proxy - 3.66745614177684)*(2.74445204562827*fluence_rate_mean + 7.94611837518369*nearest_angular_boundary_fraction_proxy - 0.021113202504357298*rho - 5.800899019024542*theta_sin - 7.2250876611948708) + 0.0275995197448158,"[""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""rho_scaled"", ""theta_sin_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled')), Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'))), Add(Mul(CONST, Symbol('fluence_rate_mean_scaled')), Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('rho_scaled')), Mul(Integer(-1), CONST, Symbol('theta_sin_scaled')), CONST))","{""features"": [""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""rho_scaled"", ""theta_sin_scaled""], ""operators"": [""Add"", ""Mul""]}",1,1,fresh_search,1,1
