stage,run_id,candidate_index,complexity,loss,score,equation,formula_scaled_sympy,formula_original_variables,feature_support_json,structure_signature,family_signature,segment,attempt,search_mode
v10_physical_residual,v10_i1_physical_signed_residual_pilot,0,1,0.3755898277491398,0.0,-0.04115427841485448,-0.04115427841485448,-0.0007025874145700243,[],CONST,"{""features"": [], ""operators"": []}",3,1,warm_start_checkpoint
v10_physical_residual,v10_i1_physical_signed_residual_pilot,1,3,0.3684211420514006,0.009635486357709491,nearest_radial_boundary_fraction_proxy_scaled * 0.14904471112240908,nearest_radial_boundary_fraction_proxy_scaled*0.14904471112240908,0.74701392729898502*nearest_radial_boundary_fraction_proxy - 0.21918862236846313,"[""nearest_radial_boundary_fraction_proxy_scaled""]","Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'))","{""features"": [""nearest_radial_boundary_fraction_proxy_scaled""], ""operators"": [""Mul""]}",3,1,warm_start_checkpoint
v10_physical_residual,v10_i1_physical_signed_residual_pilot,2,5,0.3643049922586753,0.005617641979600447,(theta_cos_scaled * -0.14474065909015377) * nearest_angular_boundary_fraction_proxy_scaled,theta_cos_scaled*(-0.14474065909015377)*nearest_angular_boundary_fraction_proxy_scaled,-0.099539241159700667*(7.94611837518369*nearest_angular_boundary_fraction_proxy - 2.44010705166643)*(15.5762521402483*theta_cos - 14.3845918390833) + 0.0275995197448158,"[""nearest_angular_boundary_fraction_proxy_scaled"", ""theta_cos_scaled""]","Mul(Integer(-1), CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled'), Symbol('theta_cos_scaled'))","{""features"": [""nearest_angular_boundary_fraction_proxy_scaled"", ""theta_cos_scaled""], ""operators"": [""Mul""]}",3,1,warm_start_checkpoint
v10_physical_residual,v10_i1_physical_signed_residual_pilot,3,7,0.3543508583083918,0.013851930082125607,(fluence_rate_mean_scaled - 0.9963813721338554) * (nearest_radial_boundary_fraction_proxy_scaled * -0.1711515442287178),(fluence_rate_mean_scaled - 1*0.9963813721338554)*nearest_radial_boundary_fraction_proxy_scaled*(-0.1711515442287178),-0.1177022057445947*(7.28799975835273*nearest_radial_boundary_fraction_proxy - 2.40770868434696)*(2.74445204562827*fluence_rate_mean - 9.83372627259416 - 0.9963813721338554) + 0.0275995197448158,"[""fluence_rate_mean_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled""]","Mul(Integer(-1), CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'), Add(Mul(CONST, Symbol('fluence_rate_mean_scaled')), CONST))","{""features"": [""fluence_rate_mean_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled""], ""operators"": [""Add"", ""Mul""]}",3,1,warm_start_checkpoint
v10_physical_residual,v10_i1_physical_signed_residual_pilot,4,9,0.3490941295472431,0.007472974726041548,(((nearest_angular_boundary_fraction_proxy_scaled + fluence_rate_mean_scaled) + -1.0738757967221708) * -0.1468580706022943) * nearest_radial_boundary_fraction_proxy_scaled,(fluence_rate_mean_scaled + nearest_angular_boundary_fraction_proxy_scaled - 1.0738757967221708)*(-0.1468580706022943)*nearest_radial_boundary_fraction_proxy_scaled,-0.1009954010007997*(7.28799975835273*nearest_radial_boundary_fraction_proxy - 2.40770868434696)*(2.74445204562827*fluence_rate_mean + 7.94611837518369*nearest_angular_boundary_fraction_proxy - 13.347709120982756) + 0.0275995197448158,"[""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled""]","Mul(Integer(-1), CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'), Add(Mul(CONST, Symbol('fluence_rate_mean_scaled')), Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled')), CONST))","{""features"": [""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled""], ""operators"": [""Add"", ""Mul""]}",3,1,warm_start_checkpoint
v10_physical_residual,v10_i1_physical_signed_residual_pilot,5,10,0.346851412154954,0.0064451168125902805,nearest_radial_boundary_fraction_proxy_scaled * ((fluence_rate_mean_scaled - abs(signed_angular_position_proxy_scaled)) * -0.19036754303581377),nearest_radial_boundary_fraction_proxy_scaled*(fluence_rate_mean_scaled - Abs(signed_angular_position_proxy_scaled))*(-0.19036754303581377),-0.13091719282153388*(7.28799975835273*nearest_radial_boundary_fraction_proxy - 2.40770868434696)*(2.74445204562827*fluence_rate_mean - Abs(2.21406769567344*signed_angular_position_proxy + 0.200810894031673) - 9.83372627259416) + 0.0275995197448158,"[""fluence_rate_mean_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_angular_position_proxy_scaled""]","Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'), Add(Mul(Integer(-1), Symbol('fluence_rate_mean_scaled')), Abs(Symbol('signed_angular_position_proxy_scaled'))))","{""features"": [""fluence_rate_mean_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_angular_position_proxy_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",3,1,warm_start_checkpoint
v10_physical_residual,v10_i1_physical_signed_residual_pilot,6,11,0.3446898309910706,0.006251509147424457,((fluence_rate_mean_scaled + nearest_angular_boundary_fraction_proxy_scaled) + nearest_radial_boundary_fraction_proxy_scaled) * ((nearest_radial_boundary_fraction_proxy_scaled + theta_cos_scaled) * -0.10391388629555573),(fluence_rate_mean_scaled + nearest_angular_boundary_fraction_proxy_scaled + nearest_radial_boundary_fraction_proxy_scaled)*(nearest_radial_boundary_fraction_proxy_scaled + theta_cos_scaled)*(-0.10391388629555573),-0.071462362081496635*(7.28799975835273*nearest_radial_boundary_fraction_proxy + 15.5762521402483*theta_cos - 16.7923005234303)*(2.74445204562827*fluence_rate_mean + 7.94611837518369*nearest_angular_boundary_fraction_proxy + 7.28799975835273*nearest_radial_boundary_fraction_proxy - 14.6815420086075) + 0.0275995197448158,"[""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_cos_scaled""]","Mul(Integer(-1), CONST, Add(Symbol('nearest_radial_boundary_fraction_proxy_scaled'), Symbol('theta_cos_scaled')), Add(Symbol('fluence_rate_mean_scaled'), Symbol('nearest_angular_boundary_fraction_proxy_scaled'), Symbol('nearest_radial_boundary_fraction_proxy_scaled')))","{""features"": [""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_cos_scaled""], ""operators"": [""Add"", ""Mul""]}",3,1,warm_start_checkpoint
v10_physical_residual,v10_i1_physical_signed_residual_pilot,7,12,0.3427385262546769,0.0056771297159054655,(nearest_radial_boundary_fraction_proxy_scaled * (abs(signed_angular_position_proxy_scaled * nearest_axial_boundary_fraction_proxy_scaled) - fluence_rate_mean_scaled)) * 0.20449475924129032,nearest_radial_boundary_fraction_proxy_scaled*(-fluence_rate_mean_scaled + Abs(nearest_axial_boundary_fraction_proxy_scaled*signed_angular_position_proxy_scaled))*0.20449475924129032,0.14063258578458708*(7.28799975835273*nearest_radial_boundary_fraction_proxy - 2.40770868434696)*(-2.74445204562827*fluence_rate_mean + Abs((6.3559467282562*nearest_axial_boundary_fraction_proxy - 1.50570424883607)*(2.21406769567344*signed_angular_position_proxy + 0.200810894031673)) + 9.83372627259416) + 0.0275995197448158,"[""fluence_rate_mean_scaled"", ""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_angular_position_proxy_scaled""]","Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'), Add(Mul(Integer(-1), Symbol('fluence_rate_mean_scaled')), Abs(Mul(Symbol('nearest_axial_boundary_fraction_proxy_scaled'), Symbol('signed_angular_position_proxy_scaled')))))","{""features"": [""fluence_rate_mean_scaled"", ""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_angular_position_proxy_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",3,1,warm_start_checkpoint
v10_physical_residual,v10_i1_physical_signed_residual_pilot,8,14,0.3416287024534614,0.001621680185065384,nearest_radial_boundary_fraction_proxy_scaled * ((abs(nearest_axial_boundary_fraction_proxy_scaled) + (theta_fraction_proxy_scaled - (fluence_rate_mean_scaled + nearest_angular_boundary_fraction_proxy_scaled))) * 0.15858153703261568),nearest_radial_boundary_fraction_proxy_scaled*(theta_fraction_proxy_scaled - (fluence_rate_mean_scaled + nearest_angular_boundary_fraction_proxy_scaled) + Abs(nearest_axial_boundary_fraction_proxy_scaled))*0.15858153703261568,0.10905771714313923*(7.28799975835273*nearest_radial_boundary_fraction_proxy - 2.40770868434696)*(-2.74445204562827*fluence_rate_mean - 7.94611837518369*nearest_angular_boundary_fraction_proxy + 4.4281353914779*theta_fraction_proxy + Abs(6.3559467282562*nearest_axial_boundary_fraction_proxy - 1.50570424883607) + 10.2605765225415) + 0.0275995197448158,"[""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_fraction_proxy_scaled""]","Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'), Add(Mul(Integer(-1), Symbol('fluence_rate_mean_scaled')), Mul(Integer(-1), Symbol('nearest_angular_boundary_fraction_proxy_scaled')), Symbol('theta_fraction_proxy_scaled'), Abs(Symbol('nearest_axial_boundary_fraction_proxy_scaled'))))","{""features"": [""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_axial_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_fraction_proxy_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",3,1,warm_start_checkpoint
v10_physical_residual,v10_i1_physical_signed_residual_pilot,9,15,0.3395398172235841,0.006133259883986046,((theta_fraction_proxy_scaled + 1.0180012433832564) - (nearest_angular_boundary_fraction_proxy_scaled + fluence_rate_mean_scaled)) * ((nearest_radial_boundary_fraction_proxy_scaled + (nearest_angular_boundary_fraction_proxy_scaled * 0.4398050464666698)) * 0.13901903328760928),(theta_fraction_proxy_scaled - (fluence_rate_mean_scaled + nearest_angular_boundary_fraction_proxy_scaled) + 1.0180012433832564)*(nearest_angular_boundary_fraction_proxy_scaled*0.4398050464666698 + nearest_radial_boundary_fraction_proxy_scaled)*0.13901903328760928,0.0956044360112019*(3.494742961227323*nearest_angular_boundary_fraction_proxy + 7.28799975835273*nearest_radial_boundary_fraction_proxy - 3.480880079588762)*(-2.74445204562827*fluence_rate_mean - 7.94611837518369*nearest_angular_boundary_fraction_proxy + 4.4281353914779*theta_fraction_proxy + 11.278577765924744) + 0.0275995197448158,"[""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_fraction_proxy_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled')), Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'))), Add(Mul(CONST, Symbol('fluence_rate_mean_scaled')), Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled')), Mul(Integer(-1), CONST, Symbol('theta_fraction_proxy_scaled')), CONST))","{""features"": [""fluence_rate_mean_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_fraction_proxy_scaled""], ""operators"": [""Add"", ""Mul""]}",3,1,warm_start_checkpoint
