feature,stage_a_geometry,stage_b_physical,derived_proxy
fluence_rate,False,True,False
temperature,False,True,False
weight_loss_rate,False,True,False
rho,True,True,False
theta_sin,True,True,False
theta_cos,True,True,False
z,True,True,False
fluence_rate_within_case_z,False,True,False
temperature_within_case_z,False,True,False
weight_loss_rate_within_case_z,False,True,False
rho_within_case_z,True,False,False
theta_sin_within_case_z,True,False,False
theta_cos_within_case_z,True,False,False
z_within_case_z,True,False,False
fluence_rate_mean,False,True,False
fluence_rate_p95,False,True,False
temperature_mean,False,True,False
temperature_p95,False,True,False
weight_loss_rate_mean,False,True,False
weight_loss_rate_std,False,True,False
rho_mean,True,False,False
rho_std,True,False,False
rho_max,True,False,False
z_mean,True,False,False
z_std,True,False,False
z_max,True,False,False
theta_sin_std,True,False,False
rho_fraction_proxy,True,True,True
z_fraction_proxy,True,True,True
theta_fraction_proxy,True,True,True
nearest_radial_boundary_fraction_proxy,True,True,True
nearest_axial_boundary_fraction_proxy,True,True,True
nearest_angular_boundary_fraction_proxy,True,True,True
signed_radial_position_proxy,True,True,True
signed_axial_position_proxy,True,True,True
signed_angular_position_proxy,True,True,True
radial_axial_signed_interaction_proxy,True,True,True
radial_angular_signed_interaction_proxy,True,True,True
axial_angular_signed_interaction_proxy,True,True,True
boundary_corner_proximity_proxy,True,True,True
