Complexity,Loss,Equation
1,0.39292786244622785,"-0.03313675791051974"
3,0.3783262496399456,"z_scaled * 0.2059887812252211"
5,0.36062033627056683,"(nearest_axial_boundary_fraction_proxy_scaled * 0.3010056444096835) * rho_scaled"
7,0.3590518403261725,"(nearest_axial_boundary_fraction_proxy_scaled * (rho_scaled * 0.3036128230715809)) - 0.06305602215897961"
8,0.3584490109503669,"((z_fraction_proxy_scaled * radial_axial_signed_interaction_proxy_scaled) - rho_scaled) * -0.3109209768947597"
9,0.35501770696856305,"((rho_fraction_proxy_scaled * (z_fraction_proxy_scaled * z_fraction_proxy_scaled)) - rho_scaled) * -0.37532906859547843"
10,0.34741982260657345,"(((radial_axial_signed_interaction_proxy_scaled + -0.6081393967762144) * z_fraction_proxy_scaled) - rho_scaled) * -0.29477019056765197"
11,0.3405717087033065,"((((z_fraction_proxy_scaled * signed_radial_position_proxy_scaled) + -0.5480409797062662) * z_fraction_proxy_scaled) - rho_scaled) * -0.365035554021035"
13,0.3389529400307602,"(((z_fraction_proxy_scaled * ((rho_fraction_proxy_scaled * z_fraction_proxy_scaled) + -0.5362079505469696)) - rho_scaled) * -0.37257737678954295) + -0.06460340327451598"
14,0.3327992198353565,"((signed_axial_position_proxy_scaled * (signed_radial_position_proxy_scaled * (signed_axial_position_proxy_scaled - (radial_axial_signed_interaction_proxy_scaled * -0.2904759823569373)))) - rho_scaled) * -0.3977753688521384"
16,0.33241394570914345,"((((signed_radial_position_proxy_scaled * signed_axial_position_proxy_scaled) * (signed_axial_position_proxy_scaled - (radial_axial_signed_interaction_proxy_scaled * -0.30555531157945487))) - rho_scaled) * -0.39833680292629103) + 0.03191194975289833"
18,0.32014403429521254,"(((((signed_axial_position_proxy_scaled * rho_fraction_proxy_scaled) + -0.46366469652473385) - ((radial_axial_signed_interaction_proxy_scaled * rho_fraction_proxy_scaled) * -0.27806281960667645)) * z_fraction_proxy_scaled) - rho_scaled) * -0.3970751302164201"
20,0.3140187972830134,"(((boundary_corner_proximity_proxy_scaled + signed_radial_position_proxy_scaled) * (z_fraction_proxy_scaled * z_fraction_proxy_scaled)) - ((radial_axial_signed_interaction_proxy_scaled * (radial_axial_signed_interaction_proxy_scaled * -0.6031154174173493)) + rho_fraction_proxy_scaled)) * -0.31519230513010943"
22,0.298783472009836,"(((signed_radial_position_proxy_scaled + boundary_corner_proximity_proxy_scaled) * (z_fraction_proxy_scaled * signed_axial_position_proxy_scaled)) - (((z_fraction_proxy_scaled - (radial_axial_signed_interaction_proxy_scaled * radial_axial_signed_interaction_proxy_scaled)) * 0.5284701133989729) + rho_scaled)) * -0.34041584791837604"
24,0.2972914265742938,"((z_fraction_proxy_scaled * (signed_axial_position_proxy_scaled * (signed_radial_position_proxy_scaled + boundary_corner_proximity_proxy_scaled))) - ((((-0.25304275818546157 - (radial_axial_signed_interaction_proxy_scaled * radial_axial_signed_interaction_proxy_scaled)) + z_fraction_proxy_scaled) * 0.563463655728791) + rho_fraction_proxy_scaled)) * -0.32675548759447215"
26,0.2967046086519497,"((z_fraction_proxy_scaled * (signed_axial_position_proxy_scaled * (signed_radial_position_proxy_scaled + boundary_corner_proximity_proxy_scaled))) - ((((((-0.1779818283944036 - radial_axial_signed_interaction_proxy_scaled) * radial_axial_signed_interaction_proxy_scaled) + signed_axial_position_proxy_scaled) + -0.24010393490823673) * 0.5574625983604291) + rho_scaled)) * -0.3383033705158685"
29,0.292852872018771,"(((signed_radial_position_proxy_scaled + boundary_corner_proximity_proxy_scaled) * (z_fraction_proxy_scaled * signed_axial_position_proxy_scaled)) - ((((((boundary_corner_proximity_proxy_scaled * theta_sin_scaled) + z_fraction_proxy_scaled) + -0.4744492759513368) - (radial_axial_signed_interaction_proxy_scaled * radial_axial_signed_interaction_proxy_scaled)) * 0.5423369630902083) + rho_scaled)) * -0.33044417971555595"
30,0.29189863385330606,"(((signed_radial_position_proxy_scaled + boundary_corner_proximity_proxy_scaled) * (signed_axial_position_proxy_scaled * z_fraction_proxy_scaled)) - ((((-0.49810304849033465 - (radial_axial_signed_interaction_proxy_scaled * radial_axial_signed_interaction_proxy_scaled)) + (((signed_angular_position_proxy_scaled + theta_cos_scaled) * signed_angular_position_proxy_scaled) + z_fraction_proxy_scaled)) * 0.5284701133989729) + rho_scaled)) * -0.34041584791837604"
32,0.29136312137671794,"(((signed_radial_position_proxy_scaled + boundary_corner_proximity_proxy_scaled) * (z_fraction_proxy_scaled * signed_axial_position_proxy_scaled)) - (((((-0.49810304849033465 - (radial_axial_signed_interaction_proxy_scaled * radial_axial_signed_interaction_proxy_scaled)) + ((theta_sin_within_case_z_scaled + theta_cos_scaled) * theta_sin_within_case_z_scaled)) + z_fraction_proxy_scaled) * 0.5284701133989729) + rho_scaled)) * -0.34041584791837604"
