Complexity,Loss,Equation
1,0.3793706087759199,"-0.02669076739109766"
3,0.37463336032189215,"nearest_axial_boundary_fraction_proxy_scaled * 0.11450135020289817"
5,0.36562895349685187,"fluence_rate_mean_scaled * (nearest_radial_boundary_fraction_proxy_scaled * -0.17016923065531545)"
7,0.3617993548341406,"(nearest_axial_boundary_fraction_proxy_scaled - (fluence_rate_mean_scaled * nearest_radial_boundary_fraction_proxy_scaled)) * 0.14228233893361972"
8,0.3617831585281671,"(theta_cos_scaled * boundary_corner_proximity_proxy_scaled) * (theta_cos_scaled * 0.15756379759227773)"
9,0.35930039546367787,"(nearest_radial_boundary_fraction_proxy_scaled - (nearest_axial_boundary_fraction_proxy_scaled - (theta_cos_scaled * theta_cos_scaled))) * -0.10907429453365053"
10,0.35600503833021563,"(boundary_corner_proximity_proxy_scaled * (fluence_rate_scaled - (theta_cos_scaled * theta_cos_scaled))) * -0.16729356049436883"
11,0.3492546487683972,"((nearest_axial_boundary_fraction_proxy_scaled - (fluence_rate_mean_scaled * nearest_radial_boundary_fraction_proxy_scaled)) - (theta_cos_scaled * theta_cos_scaled)) * 0.1292991922263852"
15,0.3482363834418098,"(((nearest_axial_boundary_fraction_proxy_scaled - (fluence_rate_p95_scaled * nearest_radial_boundary_fraction_proxy_scaled)) - -0.6086724194734436) - (theta_cos_scaled * (theta_cos_scaled + 0.5152195142313791))) * 0.15289785901853065"
17,0.34109303082002096,"(gauss(nearest_radial_boundary_fraction_proxy_scaled + 0.7323857202104684) * (nearest_radial_boundary_fraction_proxy_scaled - (nearest_axial_boundary_fraction_proxy_scaled - (theta_cos_scaled * theta_cos_scaled)))) * -0.32002638680818085"
19,0.34028172030524123,"(gauss(nearest_radial_boundary_fraction_proxy_scaled + 0.7352075735393129) * (nearest_radial_boundary_fraction_proxy_scaled - ((nearest_axial_boundary_fraction_proxy_scaled * 0.6989767409194478) - (theta_cos_scaled * theta_cos_scaled)))) * -0.34522093026082606"
21,0.339370728363881,"gauss(nearest_radial_boundary_fraction_proxy_scaled + 0.7134329262319797) * ((nearest_radial_boundary_fraction_proxy_scaled - ((nearest_axial_boundary_fraction_proxy_scaled - ((theta_cos_scaled * 1.4782236140527445) * theta_cos_scaled)) * 0.506511690411036)) * -0.45219659818747765)"
23,0.3390069294090069,"(nearest_radial_boundary_fraction_proxy_scaled - (((nearest_radial_boundary_fraction_proxy_scaled - (nearest_axial_boundary_fraction_proxy_scaled - theta_cos_scaled)) * -0.4231453203085753) - (theta_cos_scaled * theta_cos_scaled))) * (gauss(nearest_radial_boundary_fraction_proxy_scaled + 0.6963306723489078) * -0.39127315058290635)"
25,0.33881611817128876,"(gauss(nearest_radial_boundary_fraction_proxy_scaled + 0.6884956548590258) * (nearest_radial_boundary_fraction_proxy_scaled - (((nearest_radial_boundary_fraction_proxy_scaled - (nearest_axial_boundary_fraction_proxy_scaled - (theta_cos_scaled * 0.6396630589363305))) * -0.49129709459562604) - (theta_cos_scaled * theta_cos_scaled)))) * -0.3724193800332928"
