Complexity,Loss,Equation
1,0.38108621985685226,"-0.04861537752602278"
3,0.3809429602471958,"weight_loss_rate_std_scaled * 0.05221722860483243"
5,0.3667907895017334,"(nearest_radial_boundary_fraction_proxy_scaled * fluence_rate_mean_scaled) * -0.17871988125570884"
7,0.36507493549081943,"((nearest_radial_boundary_fraction_proxy_scaled * fluence_rate_mean_scaled) + 0.3646158804498062) * -0.1843286185850996"
9,0.3615036590982987,"(nearest_radial_boundary_fraction_proxy_scaled * ((fluence_rate_mean_scaled * 2.6027289252947856) - rho_scaled)) * -0.07681302246818497"
10,0.36005924049952376,"((fluence_rate_mean_scaled + (rho_fraction_proxy_scaled * boundary_corner_proximity_proxy_scaled)) * nearest_radial_boundary_fraction_proxy_scaled) * -0.1517743675008176"
11,0.3589295476457689,"(fluence_rate_mean_scaled - (nearest_radial_boundary_fraction_proxy_scaled * (rho_fraction_proxy_scaled * -0.23150099122873352))) * (nearest_radial_boundary_fraction_proxy_scaled * -0.20237433594984847)"
12,0.3560444997704775,"((fluence_rate_mean_scaled - ((-0.6595669193948972 - rho_scaled) * boundary_corner_proximity_proxy_scaled)) * -0.16222318450538994) * nearest_radial_boundary_fraction_proxy_scaled"
14,0.3535044539557275,"(nearest_radial_boundary_fraction_proxy_scaled * -0.1297389486036654) * ((fluence_rate_mean_scaled * 1.65609769665011) - ((-0.891678671403446 - rho_scaled) * boundary_corner_proximity_proxy_scaled))"
15,0.3518397158640377,"nearest_radial_boundary_fraction_proxy_scaled * ((fluence_rate_mean_scaled * -0.2116010040040285) - ((-0.15576025430512322 - (nearest_radial_boundary_fraction_proxy_scaled * 0.12341834449797803)) * (-0.747252803634187 - rho_fraction_proxy_scaled)))"
22,0.3516572822116868,"(nearest_radial_boundary_fraction_proxy_scaled * (fluence_rate_mean_scaled * -0.19288607887028458)) - (((signed_axial_position_proxy_scaled * nearest_axial_boundary_fraction_proxy_scaled) * -0.07569387142840257) + ((nearest_radial_boundary_fraction_proxy_scaled - nearest_angular_boundary_fraction_proxy_scaled) * (theta_cos_scaled * (radial_angular_signed_interaction_proxy_scaled * 0.1166572232352046))))"
24,0.3484175182487796,"(nearest_radial_boundary_fraction_proxy_scaled * (fluence_rate_mean_scaled * -0.19274540236454465)) - (((nearest_radial_boundary_fraction_proxy_scaled - nearest_angular_boundary_fraction_proxy_scaled) * (theta_cos_scaled * (radial_angular_signed_interaction_proxy_scaled * 0.1151924542866631))) + ((signed_axial_position_proxy_scaled * -0.08225254270766581) * (nearest_axial_boundary_fraction_proxy_scaled - fluence_rate_scaled)))"
26,0.3482219865566829,"((nearest_radial_boundary_fraction_proxy_scaled * (fluence_rate_mean_scaled * -0.19696921804809145)) - (((nearest_radial_boundary_fraction_proxy_scaled - nearest_angular_boundary_fraction_proxy_scaled) * (theta_cos_scaled * radial_angular_signed_interaction_proxy_scaled)) * 0.11659738965965774)) + ((signed_axial_position_proxy_scaled * 0.09532747936544177) * ((nearest_axial_boundary_fraction_proxy_scaled - fluence_rate_scaled) + 0.3025298611107853))"
