variable,role,mean,std
rho,input,183.17774166111076,19.397787095096188
theta_sin,input,0.3424015103576777,0.15917707149034088
theta_cos,input,0.9237523304921365,0.06407415681805123
z,input,472.3856675425844,269.29514029410467
rho_within_case_z,input,-0.24709512533462993,1.114053608402505
theta_sin_within_case_z,input,0.06386056880833803,1.212422566862232
theta_cos_within_case_z,input,-0.16540677629646802,1.2795790909268139
z_within_case_z,input,0.11287181876453202,1.0479517867916186
rho_mean,input,187.47005802470144,0.3322968914725454
rho_std,input,17.377749114476504,0.022766950814217892
rho_max,input,223.1065375067089,0.44761329230851993
z_mean,input,443.38232088320734,0.6486360099371342
z_std,input,256.9839200571958,0.30357649813528376
z_max,input,885.3576978149863,1.2563180642017218
theta_sin_std,input,0.13128540257936389,8.619638215712504e-05
rho_fraction_proxy,input,0.5703642630487112,0.20824932792305495
z_fraction_proxy,input,0.532628517947464,0.30478643878547096
theta_fraction_proxy,input,0.45381746397818484,0.22552807870815533
nearest_radial_boundary_fraction_proxy,input,0.32890702285127443,0.13800762756160911
nearest_axial_boundary_fraction_proxy,input,0.23691203982569198,0.15730263399671424
nearest_angular_boundary_fraction_proxy,input,0.30720858143919033,0.12580623930673412
signed_radial_position_proxy,input,0.1407285261101028,0.4164986558200595
signed_axial_position_proxy,input,0.06525703589074656,0.6095728775821528
signed_angular_position_proxy,input,-0.09236507204680564,0.4510561574219621
radial_axial_signed_interaction_proxy,input,0.016116377008350714,0.24311168497242308
radial_angular_signed_interaction_proxy,input,-0.04742391328150375,0.20292838084132184
axial_angular_signed_interaction_proxy,input,-0.009644144781377583,0.2778449789821654
boundary_corner_proximity_proxy,input,0.022869934708975734,0.022816997027294873
deployable_normalised_residual,target,0.1932588511303902,0.7849147920792598
