variable,role,mean,std
fluence_rate,input,3.6937632399903486,0.5139653759767598
temperature,input,386.7659713049714,24.19241493761111
weight_loss_rate,input,0.3996772413870376,0.08808139504289005
fluence_rate_within_case_z,input,0.20892521994587504,1.1730440232238835
temperature_within_case_z,input,0.21406843561087865,1.1915681188075287
weight_loss_rate_within_case_z,input,0.14518489744996185,1.1772263923821327
fluence_rate_mean,input,3.6090667147565156,0.3796630600817536
fluence_rate_p95,input,4.426480545713219,0.23136825421454352
temperature_mean,input,383.40758302902253,18.270470736378012
temperature_p95,input,415.09567260734,18.539077286578095
weight_loss_rate_mean,input,0.39220902123383083,0.07334865569527213
weight_loss_rate_std,input,0.049267129095977,0.009536517314088526
rho,input,183.17774166111076,19.397787095096188
theta_sin,input,0.3424015103576777,0.15917707149034088
theta_cos,input,0.9237523304921365,0.06407415681805123
z,input,472.3856675425844,269.29514029410467
rho_fraction_proxy,input,0.5703642630487112,0.20824932792305495
z_fraction_proxy,input,0.532628517947464,0.30478643878547096
theta_fraction_proxy,input,0.45381746397818484,0.22552807870815533
nearest_radial_boundary_fraction_proxy,input,0.32890702285127443,0.13800762756160911
nearest_axial_boundary_fraction_proxy,input,0.23691203982569198,0.15730263399671424
nearest_angular_boundary_fraction_proxy,input,0.30720858143919033,0.12580623930673412
signed_radial_position_proxy,input,0.1407285261101028,0.4164986558200595
signed_axial_position_proxy,input,0.06525703589074656,0.6095728775821528
signed_angular_position_proxy,input,-0.09236507204680564,0.4510561574219621
radial_axial_signed_interaction_proxy,input,0.016116377008350714,0.24311168497242308
radial_angular_signed_interaction_proxy,input,-0.04742391328150375,0.20292838084132184
axial_angular_signed_interaction_proxy,input,-0.009644144781377583,0.2778449789821654
boundary_corner_proximity_proxy,input,0.022869934708975734,0.022816997027294873
remaining_after_geometry_residual,target,0.029643739115827523,0.6500674260947052
