check,value,expected,pass
training_cases,119,119,True
validation_cases,15,15,True
internal_test_cases,15,15,True
sealed_final_cases,50,50,True
v10_cache_rows,595000,595000,True
v10_cache_train_ids,"['case_01', 'case_10', 'case_11', 'case_12', 'case_13', 'case_14', 'case_15', 'case_16', 'case_17', 'case_19', 'case_20', 'case_21', 'case_24', 'case_27', 'case_32', 'case_34', 'case_35', 'case_36', 'case_39', 'case_40', 'case_42', 'case_43', 'case_44', 'case_47', 'case_48', 'case_49', 'case_52', 'case_56', 'case_58', 'case_59', 'case_61', 'case_63', 'case_64', 'case_67', 'case_68', 'case_69', 'case_72', 'case_73', 'case_74', 'case_75', 'case_77', 'case_78', 'case_79', 'case_84', 'case_85', 'case_89', 'case_91', 'case_92', 'case_94', 'case_95', 'case_96', 'case_97', 'case_99', 'case_100', 'case_104', 'case_105', 'case_106', 'case_107', 'case_109', 'case_110', 'case_111', 'case_114', 'case_115', 'case_116', 'case_118', 'case_119', 'case_121', 'case_122', 'case_124', 'case_125', 'case_127', 'case_128', 'case_129', 'case_130', 'case_133', 'case_136', 'case_137', 'case_139', 'case_141', 'case_142', 'case_143', 'case_144', 'case_146', 'case_148', 'case_150', 'case_151', 'case_153', 'case_154', 'case_155', 'case_156', 'case_157', 'case_158', 'case_163', 'case_164', 'case_165', 'case_166', 'case_169', 'case_170', 'case_171', 'case_173', 'case_175', 'case_179', 'case_180', 'case_181', 'case_182', 'case_183', 'case_184', 'case_185', 'case_186', 'case_187', 'case_188', 'case_189', 'case_190', 'case_191', 'case_192', 'case_193', 'case_194', 'case_195', 'case_200']","['case_01', 'case_10', 'case_11', 'case_12', 'case_13', 'case_14', 'case_15', 'case_16', 'case_17', 'case_19', 'case_20', 'case_21', 'case_24', 'case_27', 'case_32', 'case_34', 'case_35', 'case_36', 'case_39', 'case_40', 'case_42', 'case_43', 'case_44', 'case_47', 'case_48', 'case_49', 'case_52', 'case_56', 'case_58', 'case_59', 'case_61', 'case_63', 'case_64', 'case_67', 'case_68', 'case_69', 'case_72', 'case_73', 'case_74', 'case_75', 'case_77', 'case_78', 'case_79', 'case_84', 'case_85', 'case_89', 'case_91', 'case_92', 'case_94', 'case_95', 'case_96', 'case_97', 'case_99', 'case_100', 'case_104', 'case_105', 'case_106', 'case_107', 'case_109', 'case_110', 'case_111', 'case_114', 'case_115', 'case_116', 'case_118', 'case_119', 'case_121', 'case_122', 'case_124', 'case_125', 'case_127', 'case_128', 'case_129', 'case_130', 'case_133', 'case_136', 'case_137', 'case_139', 'case_141', 'case_142', 'case_143', 'case_144', 'case_146', 'case_148', 'case_150', 'case_151', 'case_153', 'case_154', 'case_155', 'case_156', 'case_157', 'case_158', 'case_163', 'case_164', 'case_165', 'case_166', 'case_169', 'case_170', 'case_171', 'case_173', 'case_175', 'case_179', 'case_180', 'case_181', 'case_182', 'case_183', 'case_184', 'case_185', 'case_186', 'case_187', 'case_188', 'case_189', 'case_190', 'case_191', 'case_192', 'case_193', 'case_194', 'case_195', 'case_200']",True
v10_cache_feature_order,"['fluence_rate', 'temperature', 'weight_loss_rate', 'rho', 'theta_sin', 'theta_cos', 'z', 'fluence_rate_within_case_z', 'temperature_within_case_z', 'weight_loss_rate_within_case_z', 'rho_within_case_z', 'theta_sin_within_case_z', 'theta_cos_within_case_z', 'z_within_case_z', 'fluence_rate_mean', 'fluence_rate_p95', 'temperature_mean', 'temperature_p95', 'weight_loss_rate_mean', 'weight_loss_rate_std', 'rho_mean', 'rho_std', 'rho_max', 'z_mean', 'z_std', 'z_max', 'theta_sin_std', 'rho_fraction_proxy', 'z_fraction_proxy', 'theta_fraction_proxy', 'nearest_radial_boundary_fraction_proxy', 'nearest_axial_boundary_fraction_proxy', 'nearest_angular_boundary_fraction_proxy', 'signed_radial_position_proxy', 'signed_axial_position_proxy', 'signed_angular_position_proxy', 'radial_axial_signed_interaction_proxy', 'radial_angular_signed_interaction_proxy', 'axial_angular_signed_interaction_proxy', 'boundary_corner_proximity_proxy']","['fluence_rate', 'temperature', 'weight_loss_rate', 'rho', 'theta_sin', 'theta_cos', 'z', 'fluence_rate_within_case_z', 'temperature_within_case_z', 'weight_loss_rate_within_case_z', 'rho_within_case_z', 'theta_sin_within_case_z', 'theta_cos_within_case_z', 'z_within_case_z', 'fluence_rate_mean', 'fluence_rate_p95', 'temperature_mean', 'temperature_p95', 'weight_loss_rate_mean', 'weight_loss_rate_std', 'rho_mean', 'rho_std', 'rho_max', 'z_mean', 'z_std', 'z_max', 'theta_sin_std', 'rho_fraction_proxy', 'z_fraction_proxy', 'theta_fraction_proxy', 'nearest_radial_boundary_fraction_proxy', 'nearest_axial_boundary_fraction_proxy', 'nearest_angular_boundary_fraction_proxy', 'signed_radial_position_proxy', 'signed_axial_position_proxy', 'signed_angular_position_proxy', 'radial_axial_signed_interaction_proxy', 'radial_angular_signed_interaction_proxy', 'axial_angular_signed_interaction_proxy', 'boundary_corner_proximity_proxy']",True
v11_features,40,40,True
worker_script_exists,True,True,True
recoverable_segments,5,5,True
population_iterations,4000,4000,True
