stage,run_id,candidate_index,complexity,loss,score,equation,formula_scaled_sympy,formula_original_variables,feature_support_json,structure_signature,family_signature,segment,attempt,search_mode,completed_segment,completed_attempt,source_candidate_index,frontier_source
v11_centered_tail_localised_residual,v11_i1_tail_aware_localised_residual,0,26,0.3076948033311686,0.0146656103298259,((gauss((0.4785903465970958 - signed_angular_position_proxy_scaled) / -0.10383521306297068) - 0.16122678679851166) * (((abs(nearest_radial_boundary_fraction_proxy_scaled) + nearest_radial_boundary_fraction_proxy_scaled) * nearest_angular_boundary_fraction_proxy_scaled) * 1.6081512567296719)) + -0.22623675925776082,(-1*0.16122678679851166 + exp(-92.749309109240237*(0.4785903465970958 - signed_angular_position_proxy_scaled)**2))*(nearest_radial_boundary_fraction_proxy_scaled + Abs(nearest_radial_boundary_fraction_proxy_scaled))*nearest_angular_boundary_fraction_proxy_scaled*1.6081512567296719 - 0.22623675925776082,1.2093601333202474*(-0.16122678679851166 + exp(-92.749309109240237*(0.3382200152451777 - 2.08887119255503*signed_angular_position_proxy)**2))*(7.68957066477673*nearest_angular_boundary_fraction_proxy - 2.27807624632193)*(7.38407920683658*nearest_radial_boundary_fraction_proxy + Abs(7.38407920683658*nearest_radial_boundary_fraction_proxy - 2.57458268534255) - 2.57458268534255) + 0.19743823997123105,"[""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_angular_position_proxy_scaled""]","Mul(Integer(-1), CONST, Add(Mul(Integer(-1), CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled'), Symbol('nearest_radial_boundary_fraction_proxy_scaled')), Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled'), Symbol('nearest_radial_boundary_fraction_proxy_scaled'), exp(Mul(Integer(-1), CONST, Symbol('signed_angular_position_proxy_scaled'))), exp(Mul(CONST, Pow(Symbol('signed_angular_position_proxy_scaled'), Integer(2))))), Mul(Integer(-1), CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled'), Abs(Symbol('nearest_radial_boundary_fraction_proxy_scaled'))), Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled'), exp(Mul(Integer(-1), CONST, Symbol('signed_angular_position_proxy_scaled'))), exp(Mul(CONST, Pow(Symbol('signed_angular_position_proxy_scaled'), Integer(2)))), Abs(Symbol('nearest_radial_boundary_fraction_proxy_scaled'))), Mul(CONST, exp(Mul(Integer(-1), CONST, Symbol('signed_angular_position_proxy_scaled'))), exp(Mul(CONST, Pow(Symbol('signed_angular_position_proxy_scaled'), Integer(2)))))), exp(Mul(CONST, Symbol('signed_angular_position_proxy_scaled'))), exp(Mul(Integer(-1), CONST, Pow(Symbol('signed_angular_position_proxy_scaled'), Integer(2)))))","{""features"": [""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_angular_position_proxy_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul"", ""Pow"", ""exp""]}",5,1,warm_start_checkpoint,5,1,14,v11_tail_localised_iteration1
v11_centered_tail_localised_residual,v11_i1_tail_aware_localised_residual,1,24,0.3168535291976211,0.0337394239623096,((gauss((0.47063743351492693 - signed_angular_position_proxy_scaled) / -0.12413566373342581) - (nearest_angular_boundary_fraction_proxy_scaled * 0.21202941161879105)) * (nearest_radial_boundary_fraction_proxy_scaled + abs(nearest_radial_boundary_fraction_proxy_scaled))) + -0.18550481979313116,(nearest_radial_boundary_fraction_proxy_scaled + Abs(nearest_radial_boundary_fraction_proxy_scaled))*(-0.21202941161879105*nearest_angular_boundary_fraction_proxy_scaled + exp(-64.894345795630475*(0.47063743351492693 - signed_angular_position_proxy_scaled)**2)) - 0.18550481979313116,0.75201889639386*(-1.6304151436537259*nearest_angular_boundary_fraction_proxy + 0.48301916613038216 + exp(-64.894345795630475*(0.33026710216300884 - 2.08887119255503*signed_angular_position_proxy)**2))*(7.38407920683658*nearest_radial_boundary_fraction_proxy + Abs(7.38407920683658*nearest_radial_boundary_fraction_proxy - 2.57458268534255) - 2.57458268534255) + 0.22806942813540337,"[""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_angular_position_proxy_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled'), Symbol('nearest_radial_boundary_fraction_proxy_scaled'), exp(Mul(Integer(-1), CONST, Symbol('signed_angular_position_proxy_scaled'))), exp(Mul(CONST, Pow(Symbol('signed_angular_position_proxy_scaled'), Integer(2))))), Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled'), exp(Mul(Integer(-1), CONST, Symbol('signed_angular_position_proxy_scaled'))), exp(Mul(CONST, Pow(Symbol('signed_angular_position_proxy_scaled'), Integer(2)))), Abs(Symbol('nearest_radial_boundary_fraction_proxy_scaled'))), Mul(Integer(-1), CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled')), Mul(Integer(-1), CONST, Abs(Symbol('nearest_radial_boundary_fraction_proxy_scaled'))), Mul(CONST, exp(Mul(Integer(-1), CONST, Symbol('signed_angular_position_proxy_scaled'))), exp(Mul(CONST, Pow(Symbol('signed_angular_position_proxy_scaled'), Integer(2)))))), exp(Mul(CONST, Symbol('signed_angular_position_proxy_scaled'))), exp(Mul(Integer(-1), CONST, Pow(Symbol('signed_angular_position_proxy_scaled'), Integer(2)))))","{""features"": [""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_angular_position_proxy_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul"", ""Pow"", ""exp""]}",5,1,warm_start_checkpoint,5,1,13,v11_tail_localised_iteration1
v11_centered_tail_localised_residual,v11_i1_tail_aware_localised_residual,2,23,0.3277263751278038,5.033370291004863e-06,(((nearest_radial_boundary_fraction_proxy_scaled + 1.175468033960016) * (gauss((signed_angular_position_proxy_scaled - 0.4735705334222623) / -0.09809804782622775) - (nearest_angular_boundary_fraction_proxy_scaled * 0.13958469576100643))) + -0.20997531669965103) * 1.003184129274552,((nearest_radial_boundary_fraction_proxy_scaled + 1.175468033960016)*(-0.13958469576100643*nearest_angular_boundary_fraction_proxy_scaled + exp(-103.9152460310841*(signed_angular_position_proxy_scaled - 1*0.4735705334222623)**2)) - 0.20997531669965103)*1.003184129274552,0.7544134217768843*(7.38407920683658*nearest_radial_boundary_fraction_proxy - 1.399114651382537)*(-1.0733463817756197*nearest_angular_boundary_fraction_proxy + 0.31798457976322164 + exp(-103.9152460310841*(2.08887119255503*signed_angular_position_proxy - 0.4735705334222623 + 0.140370331351918)**2)) + 0.20916436083190711,"[""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_angular_position_proxy_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled'), Symbol('nearest_radial_boundary_fraction_proxy_scaled'), exp(Mul(Integer(-1), CONST, Symbol('signed_angular_position_proxy_scaled'))), exp(Mul(CONST, Pow(Symbol('signed_angular_position_proxy_scaled'), Integer(2))))), Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled'), exp(Mul(Integer(-1), CONST, Symbol('signed_angular_position_proxy_scaled'))), exp(Mul(CONST, Pow(Symbol('signed_angular_position_proxy_scaled'), Integer(2))))), Mul(Integer(-1), CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled')), CONST, Mul(CONST, exp(Mul(Integer(-1), CONST, Symbol('signed_angular_position_proxy_scaled'))), exp(Mul(CONST, Pow(Symbol('signed_angular_position_proxy_scaled'), Integer(2)))))), exp(Mul(CONST, Symbol('signed_angular_position_proxy_scaled'))), exp(Mul(Integer(-1), CONST, Pow(Symbol('signed_angular_position_proxy_scaled'), Integer(2)))))","{""features"": [""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_angular_position_proxy_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow"", ""exp""]}",5,1,warm_start_checkpoint,5,1,12,v11_tail_localised_iteration1
v11_centered_tail_localised_residual,v11_i1_tail_aware_localised_residual,3,21,0.3277296742808099,0.0213745702306743,((nearest_radial_boundary_fraction_proxy_scaled + 1.175468033960016) * (gauss((signed_angular_position_proxy_scaled - 0.4735705334222623) / -0.09809804782622775) - (nearest_angular_boundary_fraction_proxy_scaled * 0.13958469576100643))) + -0.20997531669965103,(nearest_radial_boundary_fraction_proxy_scaled + 1.175468033960016)*(-0.13958469576100643*nearest_angular_boundary_fraction_proxy_scaled + exp(-103.9152460310841*(signed_angular_position_proxy_scaled - 1*0.4735705334222623)**2)) - 0.20997531669965103,0.75201889639386*(7.38407920683658*nearest_radial_boundary_fraction_proxy - 1.399114651382537)*(-1.0733463817756197*nearest_angular_boundary_fraction_proxy + 0.31798457976322164 + exp(-103.9152460310841*(2.08887119255503*signed_angular_position_proxy - 0.4735705334222623 + 0.140370331351918)**2)) + 0.20966715205755292,"[""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_angular_position_proxy_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled'), Symbol('nearest_radial_boundary_fraction_proxy_scaled'), exp(Mul(Integer(-1), CONST, Symbol('signed_angular_position_proxy_scaled'))), exp(Mul(CONST, Pow(Symbol('signed_angular_position_proxy_scaled'), Integer(2))))), Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled'), exp(Mul(Integer(-1), CONST, Symbol('signed_angular_position_proxy_scaled'))), exp(Mul(CONST, Pow(Symbol('signed_angular_position_proxy_scaled'), Integer(2))))), Mul(Integer(-1), CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled')), CONST, Mul(CONST, exp(Mul(Integer(-1), CONST, Symbol('signed_angular_position_proxy_scaled'))), exp(Mul(CONST, Pow(Symbol('signed_angular_position_proxy_scaled'), Integer(2)))))), exp(Mul(CONST, Symbol('signed_angular_position_proxy_scaled'))), exp(Mul(Integer(-1), CONST, Pow(Symbol('signed_angular_position_proxy_scaled'), Integer(2)))))","{""features"": [""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_angular_position_proxy_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow"", ""exp""]}",5,1,warm_start_checkpoint,5,1,11,v11_tail_localised_iteration1
v11_centered_tail_localised_residual,v11_i1_tail_aware_localised_residual,4,20,0.3348101567847281,0.0057735252774452,((nearest_radial_boundary_fraction_proxy_scaled + abs(nearest_radial_boundary_fraction_proxy_scaled)) * gauss((signed_angular_position_proxy_scaled - 0.4741583834820225) / 0.09599070261279444)) - 0.1716938511701582,(nearest_radial_boundary_fraction_proxy_scaled + Abs(nearest_radial_boundary_fraction_proxy_scaled))*exp(-108.5279648121632*(signed_angular_position_proxy_scaled - 1*0.4741583834820225)**2) - 1*0.1716938511701582,0.75201889639386*(7.38407920683658*nearest_radial_boundary_fraction_proxy + Abs(7.38407920683658*nearest_radial_boundary_fraction_proxy - 2.57458268534255) - 2.57458268534255)*exp(-108.5279648121632*(2.08887119255503*signed_angular_position_proxy - 0.4741583834820225 + 0.140370331351918)**2) + 0.2384555375173817,"[""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_angular_position_proxy_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled')), Mul(CONST, Abs(Symbol('nearest_radial_boundary_fraction_proxy_scaled'))), Mul(Integer(-1), CONST, exp(Mul(Integer(-1), CONST, Symbol('signed_angular_position_proxy_scaled'))), exp(Mul(CONST, Pow(Symbol('signed_angular_position_proxy_scaled'), Integer(2)))))), exp(Mul(CONST, Symbol('signed_angular_position_proxy_scaled'))), exp(Mul(Integer(-1), CONST, Pow(Symbol('signed_angular_position_proxy_scaled'), Integer(2)))))","{""features"": [""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_angular_position_proxy_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul"", ""Pow"", ""exp""]}",5,1,warm_start_checkpoint,5,1,10,v11_tail_localised_iteration1
v11_centered_tail_localised_residual,v11_i1_tail_aware_localised_residual,5,17,0.3406597746286228,0.0153584221224529,((nearest_radial_boundary_fraction_proxy_scaled + 0.9668683537699937) * gauss((signed_angular_position_proxy_scaled - 0.4782895965025881) / 0.07949482062609955)) - 0.18118746765081656,(nearest_radial_boundary_fraction_proxy_scaled + 0.9668683537699937)*exp(-158.2422074204184*(signed_angular_position_proxy_scaled - 1*0.4782895965025881)**2) - 1*0.18118746765081656,0.75201889639386*(7.38407920683658*nearest_radial_boundary_fraction_proxy - 1.60771433157256)*exp(-158.2422074204184*(2.08887119255503*signed_angular_position_proxy - 0.4782895965025881 + 0.140370331351918)**2) + 0.23131615852881046,"[""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_angular_position_proxy_scaled""]","Mul(Integer(-1), CONST, Add(Mul(Integer(-1), CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled')), CONST, Mul(CONST, exp(Mul(Integer(-1), CONST, Symbol('signed_angular_position_proxy_scaled'))), exp(Mul(CONST, Pow(Symbol('signed_angular_position_proxy_scaled'), Integer(2)))))), exp(Mul(CONST, Symbol('signed_angular_position_proxy_scaled'))), exp(Mul(Integer(-1), CONST, Pow(Symbol('signed_angular_position_proxy_scaled'), Integer(2)))))","{""features"": [""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_angular_position_proxy_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow"", ""exp""]}",5,1,warm_start_checkpoint,5,1,9,v11_tail_localised_iteration1
v11_centered_tail_localised_residual,v11_i1_tail_aware_localised_residual,6,15,0.3512861365115408,0.0109521483058409,(nearest_radial_boundary_fraction_proxy_scaled + 0.7689213876597173) * gauss((signed_angular_position_proxy_scaled - 0.4806108241041759) / -0.07086322320559107),(nearest_radial_boundary_fraction_proxy_scaled + 0.7689213876597173)*exp(-199.1398590666446*(signed_angular_position_proxy_scaled - 1*0.4806108241041759)**2),0.75201889639386*(7.38407920683658*nearest_radial_boundary_fraction_proxy - 1.805661297682836)*exp(-199.1398590666446*(2.08887119255503*signed_angular_position_proxy - 0.4806108241041759 + 0.140370331351918)**2) + 0.367572557991976,"[""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_angular_position_proxy_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled')), CONST), exp(Mul(CONST, Symbol('signed_angular_position_proxy_scaled'))), exp(Mul(Integer(-1), CONST, Pow(Symbol('signed_angular_position_proxy_scaled'), Integer(2)))))","{""features"": [""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_angular_position_proxy_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow"", ""exp""]}",5,1,warm_start_checkpoint,5,1,8,v11_tail_localised_iteration1
v11_centered_tail_localised_residual,v11_i1_tail_aware_localised_residual,7,13,0.3590657041706198,2.485350326106146e-06,gauss((0.4807799265741781 - signed_angular_position_proxy_scaled) / 0.08527228738924492) + -0.1673889902554542,-0.1673889902554542 + exp(-137.5257981850742*(0.4807799265741781 - signed_angular_position_proxy_scaled)**2),0.2416928742715865 + 0.75201889639386*exp(-137.5257981850742*(0.34040959522226 - 2.08887119255503*signed_angular_position_proxy)**2),"[""signed_angular_position_proxy_scaled""]","Mul(Integer(-1), CONST, Add(CONST, Mul(CONST, exp(Mul(Integer(-1), CONST, Symbol('signed_angular_position_proxy_scaled'))), exp(Mul(CONST, Pow(Symbol('signed_angular_position_proxy_scaled'), Integer(2)))))), exp(Mul(CONST, Symbol('signed_angular_position_proxy_scaled'))), exp(Mul(Integer(-1), CONST, Pow(Symbol('signed_angular_position_proxy_scaled'), Integer(2)))))","{""features"": [""signed_angular_position_proxy_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow"", ""exp""]}",5,1,warm_start_checkpoint,5,1,7,v11_tail_localised_iteration1
v11_centered_tail_localised_residual,v11_i1_tail_aware_localised_residual,8,11,0.3590674889831856,0.012665833700254,gauss((signed_angular_position_proxy_scaled - 0.48126340295644404) * -11.79842063546954) - 0.16754822015879997,-1*0.16754822015879997 + exp(-139.2027294914735*(signed_angular_position_proxy_scaled - 1*0.48126340295644404)**2),0.24157313037539951 + 0.75201889639386*exp(-139.2027294914735*(2.08887119255503*signed_angular_position_proxy - 0.48126340295644404 + 0.140370331351918)**2),"[""signed_angular_position_proxy_scaled""]","Mul(Integer(-1), CONST, Add(CONST, Mul(CONST, exp(Mul(Integer(-1), CONST, Symbol('signed_angular_position_proxy_scaled'))), exp(Mul(CONST, Pow(Symbol('signed_angular_position_proxy_scaled'), Integer(2)))))), exp(Mul(CONST, Symbol('signed_angular_position_proxy_scaled'))), exp(Mul(Integer(-1), CONST, Pow(Symbol('signed_angular_position_proxy_scaled'), Integer(2)))))","{""features"": [""signed_angular_position_proxy_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow"", ""exp""]}",5,1,warm_start_checkpoint,5,1,6,v11_tail_localised_iteration1
v11_centered_tail_localised_residual,v11_i1_tail_aware_localised_residual,9,9,0.3682794517778989,0.0092023829544829,gauss((signed_angular_position_proxy_scaled - 0.48562697212971523) * -15.820081043582146),exp(-250.27496422550716*(signed_angular_position_proxy_scaled - 1*0.48562697212971523)**2),0.367572557991976 + 0.75201889639386*exp(-250.27496422550716*(2.08887119255503*signed_angular_position_proxy - 0.48562697212971523 + 0.140370331351918)**2),"[""signed_angular_position_proxy_scaled""]","Mul(CONST, exp(Mul(CONST, Symbol('signed_angular_position_proxy_scaled'))), exp(Mul(Integer(-1), CONST, Pow(Symbol('signed_angular_position_proxy_scaled'), Integer(2)))))","{""features"": [""signed_angular_position_proxy_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow"", ""exp""]}",5,1,warm_start_checkpoint,5,1,5,v11_tail_localised_iteration1
