Complexity,Loss,Equation
1,0.38633323336635433,"-0.08484275921865227"
3,0.37618091382117674,"hotspot_rbf_max_proxy_scaled * 0.1760572236671618"
5,0.3742601539710596,"-0.07143018480863655 - (hotspot_rbf_max_proxy_scaled * -0.17079340932163137)"
7,0.3739450256425495,"gauss(fluence_rate_scaled) - 0.67285621622645"
8,0.371684141931923,"(abs(fluence_rate_scaled) + -0.5271107518780986) * -0.28881170500430065"
9,0.3682794517778989,"gauss((signed_angular_position_proxy_scaled - 0.48562697212971523) * -15.820081043582146)"
11,0.35906748898318563,"gauss((signed_angular_position_proxy_scaled - 0.48126340295644404) * -11.79842063546954) - 0.16754822015879997"
13,0.3590657041706198,"gauss((0.4807799265741781 - signed_angular_position_proxy_scaled) / 0.08527228738924492) + -0.1673889902554542"
15,0.3512861365115408,"(nearest_radial_boundary_fraction_proxy_scaled + 0.7689213876597173) * gauss((signed_angular_position_proxy_scaled - 0.4806108241041759) / -0.07086322320559107)"
17,0.34065977462862285,"((nearest_radial_boundary_fraction_proxy_scaled + 0.9668683537699937) * gauss((signed_angular_position_proxy_scaled - 0.4782895965025881) / 0.07949482062609955)) - 0.18118746765081656"
20,0.3348101567847281,"((nearest_radial_boundary_fraction_proxy_scaled + abs(nearest_radial_boundary_fraction_proxy_scaled)) * gauss((signed_angular_position_proxy_scaled - 0.4741583834820225) / 0.09599070261279444)) - 0.1716938511701582"
21,0.32772967428080996,"((nearest_radial_boundary_fraction_proxy_scaled + 1.175468033960016) * (gauss((signed_angular_position_proxy_scaled - 0.4735705334222623) / -0.09809804782622775) - (nearest_angular_boundary_fraction_proxy_scaled * 0.13958469576100643))) + -0.20997531669965103"
23,0.32772637512780384,"(((nearest_radial_boundary_fraction_proxy_scaled + 1.175468033960016) * (gauss((signed_angular_position_proxy_scaled - 0.4735705334222623) / -0.09809804782622775) - (nearest_angular_boundary_fraction_proxy_scaled * 0.13958469576100643))) + -0.20997531669965103) * 1.003184129274552"
24,0.3168535291976211,"((gauss((0.47063743351492693 - signed_angular_position_proxy_scaled) / -0.12413566373342581) - (nearest_angular_boundary_fraction_proxy_scaled * 0.21202941161879105)) * (nearest_radial_boundary_fraction_proxy_scaled + abs(nearest_radial_boundary_fraction_proxy_scaled))) + -0.18550481979313116"
26,0.3076948033311686,"((gauss((0.4785903465970958 - signed_angular_position_proxy_scaled) / -0.10383521306297068) - 0.16122678679851166) * (((abs(nearest_radial_boundary_fraction_proxy_scaled) + nearest_radial_boundary_fraction_proxy_scaled) * nearest_angular_boundary_fraction_proxy_scaled) * 1.6081512567296719)) + -0.22623675925776082"
