case_id,estimated_v10_mean_residual_mpa,predicted_mean_correction_mpa,error_mpa
case_01,-0.33852172481545756,-0.493874797882639,-0.15535307306718144
case_10,-0.49805021861132576,-0.46031593940828786,0.0377342792030379
case_11,-0.4712681681446472,-0.528443852826106,-0.05717568468145873
case_12,-0.42349568643776325,-0.5035332054550999,-0.08003751901733669
case_13,-0.3142745466236599,-0.5013118378319257,-0.1870372912082658
case_14,-0.7014088599358139,-0.4918119747810442,0.2095968851547697
case_15,-0.19933907269676016,-0.5129258130259278,-0.3135867403291676
case_16,-0.5723042511786046,-0.4823759037776858,0.08992834740091882
case_17,-0.40945350698380495,-0.5603091137791536,-0.15085560679534865
case_19,-0.38294514346339653,-0.4268247288842276,-0.04387958542083109
case_20,-0.5402686045413453,-0.48895697165246854,0.051311632888876746
case_21,-1.0823810912288925,-0.5496772501555082,0.5327038410733843
case_24,-1.0107162578517388,-0.6526883720375879,0.3580278858141509
case_27,-0.8824168732551948,-0.6636849937056002,0.2187318795495946
case_32,-0.39112007571879664,-0.35497619627966426,0.03614387943913239
case_34,-0.46795955680231444,-0.4771422268103652,-0.009182670008050786
case_35,-0.5638025450656211,-0.4100382925518561,0.15376425251376502
case_36,-0.7745726663749951,-0.22821371878094754,0.5463589475940476
case_39,-0.7738168696995414,-0.3589108105269778,0.4149060591725636
case_40,-0.8308445734385388,-0.44201676343394913,0.38882781000458966
case_42,-0.26624021697615935,-0.45554718573350983,-0.18930696875735048
case_43,-0.4044512041927147,-0.4824385276193418,-0.07798732342662712
case_44,-0.5436668415197866,-0.5003575926233349,0.04330924889645171
case_47,-0.6961891544964602,-0.5943874511288848,0.10180170336757544
case_48,-0.40406370435667377,-0.43224370765397824,-0.028180003297304468
case_49,-0.5904747708736792,-0.429796902505142,0.16067786836853715
case_52,-0.551080672096269,-0.4817419450541116,0.06933872704215738
case_56,-1.1996462021516676,-0.3840994307613811,0.8155467713902865
case_58,-0.37828699513344693,-0.7033770092175666,-0.3250900140841197
case_59,-0.4106752989774359,-0.5159046951533299,-0.10522939617589405
case_61,-0.5194644478662328,-0.4879485336558197,0.03151591421041311
case_63,-0.4941367885230663,-0.3255343964384416,0.16860239208462469
case_64,-0.8345045947051153,-0.40797483095982523,0.42652976374529006
case_67,-0.6607743523876229,-0.474120483558643,0.18665386882897994
case_68,0.07397913037399226,-0.2731150166332972,-0.34709414700728947
case_69,-0.49606211171780756,-0.5249880748164524,-0.028925963098644814
case_72,-0.9431258572696856,-0.306669995191027,0.6364558620786586
