variable,role,mean,std
fluence_rate,input,3.678973916299856,0.469317763201046
temperature,input,385.310177971429,23.65006016827773
weight_loss_rate,input,0.3938443990025942,0.08226745897216829
fluence_rate_within_case_z,input,0.23221804422158937,1.1592217966050324
temperature_within_case_z,input,0.23379692771299188,1.1520897422986613
weight_loss_rate_within_case_z,input,0.1326680189210427,1.1235371220586898
fluence_rate_mean,input,3.5806969276017564,0.3616834416101191
fluence_rate_p95,input,4.416931537046036,0.21572669925264043
temperature_mean,input,381.6570210411257,18.69822907516255
temperature_p95,input,412.76495113477716,18.48766084107317
weight_loss_rate_mean,input,0.3867793810707635,0.06858606839540803
weight_loss_rate_std,input,0.050427329867489525,0.008486550353884584
rho_fraction_proxy,input,0.5583082617924876,0.1945308322975224
z_fraction_proxy,input,0.5470904056045689,0.3121939101150817
theta_fraction_proxy,input,0.46640043391840097,0.23936372992802107
nearest_radial_boundary_fraction_proxy,input,0.3486667210935203,0.1354264996337181
nearest_axial_boundary_fraction_proxy,input,0.22884393523795143,0.16173104944846786
nearest_angular_boundary_fraction_proxy,input,0.2962553236888774,0.1300462722295609
signed_radial_position_proxy,input,0.11661652359617432,0.3890616645712428
signed_axial_position_proxy,input,0.09418081119341651,0.6243878202560125
signed_angular_position_proxy,input,-0.06719913216871082,0.47872745986641546
radial_axial_signed_interaction_proxy,input,0.01592153815121,0.22214663508328303
radial_angular_signed_interaction_proxy,input,-0.049030386424552076,0.1871771698430349
axial_angular_signed_interaction_proxy,input,-0.01065933317277793,0.2985320777796598
boundary_corner_proximity_proxy,input,0.022068798223762898,0.023126325637088364
theta_sin_2_proxy,input,0.6218600112422291,0.2577683114118457
theta_cos_2_proxy,input,0.6975134655481207,0.2456025027945823
theta_sin_4_proxy,input,0.7514061496060324,0.25833227458975677
theta_cos_4_proxy,input,0.09369124809038205,0.599895977915653
v10_fixed_shape_proxy,input,0.3522655390385639,0.7654638969689196
v10_geometry_residual_proxy,input,0.21827906508695086,0.3959482637956667
v10_physical_residual_proxy,input,0.0034082805961504967,0.23510263959485525
v10_normalised_shape_proxy,input,0.5739528847771757,0.9192811924543528
hotspot_rbf_01,input,0.3515696022804142,0.2454672539490636
hotspot_rbf_02,input,0.1747731490021892,0.25761765426600053
hotspot_rbf_03,input,0.2648458147782775,0.27563270145344027
hotspot_rbf_04,input,0.43229133106281353,0.24825815000624224
hotspot_rbf_05,input,0.09719334490177907,0.2042617490913166
hotspot_rbf_06,input,0.23594564097503457,0.2541095849281006
hotspot_rbf_max_proxy,input,0.7251622616567545,0.1740219399057858
v11_centered_normalised_tail_residual,target,0.3675725579919758,0.7520188963938603
