stage,run_id,candidate_index,complexity,loss,score,equation,formula_scaled_sympy,formula_original_variables,feature_support_json,structure_signature,family_signature,segment,attempt,search_mode
v11_centered_tail_localised_residual,v11_i3_tail_aware_localised_residual,0,1,0.388751273354799,0.0,-0.06802472751995643,-0.06802472751995643,0.3055659973840801,[],CONST,"{""features"": [], ""operators"": []}",1,1,fresh_search
v11_centered_tail_localised_residual,v11_i3_tail_aware_localised_residual,1,3,0.3807340603780897,0.010419305923743375,nearest_radial_boundary_fraction_proxy_scaled * 0.15887930316792723,nearest_radial_boundary_fraction_proxy_scaled*0.15887930316792723,0.91710746659389845*nearest_radial_boundary_fraction_proxy + 0.037319641411497668,"[""nearest_radial_boundary_fraction_proxy_scaled""]","Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'))","{""features"": [""nearest_radial_boundary_fraction_proxy_scaled""], ""operators"": [""Mul""]}",1,1,fresh_search
v11_centered_tail_localised_residual,v11_i3_tail_aware_localised_residual,2,5,0.3799693418074825,0.0010052785698268984,(nearest_radial_boundary_fraction_proxy_scaled * 0.1511605475985987) + -0.04563264727113443,nearest_radial_boundary_fraction_proxy_scaled*0.1511605475985987 - 0.04563264727113443,0.8725520825741034*nearest_radial_boundary_fraction_proxy + 0.01752671256025738,"[""nearest_radial_boundary_fraction_proxy_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled')), CONST))","{""features"": [""nearest_radial_boundary_fraction_proxy_scaled""], ""operators"": [""Add"", ""Mul""]}",1,1,fresh_search
v11_centered_tail_localised_residual,v11_i3_tail_aware_localised_residual,3,7,0.3781993788055993,0.002334528145524575,(hotspot_rbf_06_scaled * -0.14490500820877777) * (nearest_angular_boundary_fraction_proxy_scaled + nearest_radial_boundary_fraction_proxy_scaled),hotspot_rbf_06_scaled*(-0.14490500820877777)*(nearest_angular_boundary_fraction_proxy_scaled + nearest_radial_boundary_fraction_proxy_scaled),-0.1123730613672882*(4.02131291276532*hotspot_rbf_06 - 1.77016403856004)*(7.71320426068593*nearest_angular_boundary_fraction_proxy + 7.44344675751039*nearest_radial_boundary_fraction_proxy - 4.89136217826085) + 0.35831881093128,"[""hotspot_rbf_06_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled""]","Mul(Integer(-1), CONST, Symbol('hotspot_rbf_06_scaled'), Add(Symbol('nearest_angular_boundary_fraction_proxy_scaled'), Symbol('nearest_radial_boundary_fraction_proxy_scaled')))","{""features"": [""hotspot_rbf_06_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled""], ""operators"": [""Add"", ""Mul""]}",1,1,fresh_search
v11_centered_tail_localised_residual,v11_i3_tail_aware_localised_residual,4,8,0.3748235689330371,0.008966081307230806,(abs(signed_angular_position_proxy_scaled) * nearest_radial_boundary_fraction_proxy_scaled) * 0.20548064264562527,Abs(signed_angular_position_proxy_scaled)*nearest_radial_boundary_fraction_proxy_scaled*0.20548064264562527,0.15934914294016743*(7.44344675751039*nearest_radial_boundary_fraction_proxy - 2.60530015789695)*Abs(2.09089288702877*signed_angular_position_proxy + 0.137695505370236) + 0.35831881093128,"[""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_angular_position_proxy_scaled""]","Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'), Abs(Symbol('signed_angular_position_proxy_scaled')))","{""features"": [""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_angular_position_proxy_scaled""], ""operators"": [""Abs"", ""Mul""]}",1,1,fresh_search
v11_centered_tail_localised_residual,v11_i3_tail_aware_localised_residual,5,10,0.3737055376012722,0.0014936388624457232,((abs(signed_angular_position_proxy_scaled) * nearest_radial_boundary_fraction_proxy_scaled) * 0.2054342852907306) - 0.05226002484713105,Abs(signed_angular_position_proxy_scaled)*nearest_radial_boundary_fraction_proxy_scaled*0.2054342852907306 - 1*0.05226002484713105,0.1593131930585809*(7.44344675751039*nearest_radial_boundary_fraction_proxy - 2.60530015789695)*Abs(2.09089288702877*signed_angular_position_proxy + 0.137695505370236) + 0.3177914402641361,"[""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_angular_position_proxy_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'), Abs(Symbol('signed_angular_position_proxy_scaled'))), CONST))","{""features"": [""nearest_radial_boundary_fraction_proxy_scaled"", ""signed_angular_position_proxy_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",1,1,fresh_search
v11_centered_tail_localised_residual,v11_i3_tail_aware_localised_residual,6,12,0.372871895410569,0.0011166189872795073,(nearest_angular_boundary_fraction_proxy_scaled + (nearest_radial_boundary_fraction_proxy_scaled * (v10_fixed_shape_proxy_scaled + 1.6500632230902852))) * (hotspot_rbf_06_scaled * -0.14470303011887573),(nearest_angular_boundary_fraction_proxy_scaled + nearest_radial_boundary_fraction_proxy_scaled*(v10_fixed_shape_proxy_scaled + 1.6500632230902852))*hotspot_rbf_06_scaled*(-0.14470303011887573),-0.11221642843532833*(4.02131291276532*hotspot_rbf_06 - 1.77016403856004)*(7.71320426068593*nearest_angular_boundary_fraction_proxy + (7.44344675751039*nearest_radial_boundary_fraction_proxy - 2.60530015789695)*(1.31201535165184*v10_fixed_shape_proxy + 1.1921260935556166) - 2.28606202036391) + 0.35831881093128,"[""hotspot_rbf_06_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""v10_fixed_shape_proxy_scaled""]","Mul(Integer(-1), CONST, Symbol('hotspot_rbf_06_scaled'), Add(Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled')), Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'), Symbol('v10_fixed_shape_proxy_scaled')), Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'))))","{""features"": [""hotspot_rbf_06_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""v10_fixed_shape_proxy_scaled""], ""operators"": [""Add"", ""Mul""]}",1,1,fresh_search
v11_centered_tail_localised_residual,v11_i3_tail_aware_localised_residual,7,14,0.3689741017798926,0.005254230007415928,((nearest_angular_boundary_fraction_proxy_scaled + ((v10_fixed_shape_proxy_scaled + (theta_fraction_proxy_scaled + 1.683893067958614)) * nearest_radial_boundary_fraction_proxy_scaled)) * hotspot_rbf_06_scaled) * -0.12316396752462998,(nearest_angular_boundary_fraction_proxy_scaled + nearest_radial_boundary_fraction_proxy_scaled*(theta_fraction_proxy_scaled + v10_fixed_shape_proxy_scaled + 1.683893067958614))*hotspot_rbf_06_scaled*(-0.12316396752462998),-0.095513000219722868*(4.02131291276532*hotspot_rbf_06 - 1.77016403856004)*(7.71320426068593*nearest_angular_boundary_fraction_proxy + (7.44344675751039*nearest_radial_boundary_fraction_proxy - 2.60530015789695)*(4.18178577412828*theta_fraction_proxy + 1.31201535165184*v10_fixed_shape_proxy - 0.7272414432764475) - 2.28606202036391) + 0.35831881093128,"[""hotspot_rbf_06_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_fraction_proxy_scaled"", ""v10_fixed_shape_proxy_scaled""]","Mul(Integer(-1), CONST, Symbol('hotspot_rbf_06_scaled'), Add(Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled')), Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'), Symbol('theta_fraction_proxy_scaled')), Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'), Symbol('v10_fixed_shape_proxy_scaled')), Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'))))","{""features"": [""hotspot_rbf_06_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_fraction_proxy_scaled"", ""v10_fixed_shape_proxy_scaled""], ""operators"": [""Add"", ""Mul""]}",1,1,fresh_search
v11_centered_tail_localised_residual,v11_i3_tail_aware_localised_residual,8,15,0.3683619486102913,0.001660445898240361,((nearest_angular_boundary_fraction_proxy_scaled + (((v10_fixed_shape_proxy_scaled + theta_sin_2_proxy_scaled) + 1.683893067958614) * nearest_radial_boundary_fraction_proxy_scaled)) * hotspot_rbf_06_scaled) * -0.12316396752462998,(nearest_angular_boundary_fraction_proxy_scaled + nearest_radial_boundary_fraction_proxy_scaled*(theta_sin_2_proxy_scaled + v10_fixed_shape_proxy_scaled + 1.683893067958614))*hotspot_rbf_06_scaled*(-0.12316396752462998),-0.095513000219722868*(4.02131291276532*hotspot_rbf_06 - 1.77016403856004)*(7.71320426068593*nearest_angular_boundary_fraction_proxy + (7.44344675751039*nearest_radial_boundary_fraction_proxy - 2.60530015789695)*(3.88089222502826*theta_sin_2_proxy + 1.31201535165184*v10_fixed_shape_proxy - 1.190714537784871) - 2.28606202036391) + 0.35831881093128,"[""hotspot_rbf_06_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_sin_2_proxy_scaled"", ""v10_fixed_shape_proxy_scaled""]","Mul(Integer(-1), CONST, Symbol('hotspot_rbf_06_scaled'), Add(Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled')), Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'), Symbol('theta_sin_2_proxy_scaled')), Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'), Symbol('v10_fixed_shape_proxy_scaled')), Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'))))","{""features"": [""hotspot_rbf_06_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_sin_2_proxy_scaled"", ""v10_fixed_shape_proxy_scaled""], ""operators"": [""Add"", ""Mul""]}",1,1,fresh_search
v11_centered_tail_localised_residual,v11_i3_tail_aware_localised_residual,9,16,0.3660447250960225,0.006310485149375474,(nearest_angular_boundary_fraction_proxy_scaled + (((v10_fixed_shape_proxy_scaled + (theta_fraction_proxy_scaled + 1.683893067958614)) * nearest_radial_boundary_fraction_proxy_scaled) + hotspot_rbf_02_scaled)) * (hotspot_rbf_06_scaled * -0.12316396752462998),(hotspot_rbf_02_scaled + nearest_angular_boundary_fraction_proxy_scaled + nearest_radial_boundary_fraction_proxy_scaled*(theta_fraction_proxy_scaled + v10_fixed_shape_proxy_scaled + 1.683893067958614))*hotspot_rbf_06_scaled*(-0.12316396752462998),-0.095513000219722868*(4.02131291276532*hotspot_rbf_06 - 1.77016403856004)*(3.34579219215203*hotspot_rbf_02 + 7.71320426068593*nearest_angular_boundary_fraction_proxy + (7.44344675751039*nearest_radial_boundary_fraction_proxy - 2.60530015789695)*(4.18178577412828*theta_fraction_proxy + 1.31201535165184*v10_fixed_shape_proxy - 0.7272414432764475) - 3.49690031895934) + 0.35831881093128,"[""hotspot_rbf_02_scaled"", ""hotspot_rbf_06_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_fraction_proxy_scaled"", ""v10_fixed_shape_proxy_scaled""]","Mul(Integer(-1), CONST, Symbol('hotspot_rbf_06_scaled'), Add(Mul(CONST, Symbol('hotspot_rbf_02_scaled')), Mul(CONST, Symbol('nearest_angular_boundary_fraction_proxy_scaled')), Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'), Symbol('theta_fraction_proxy_scaled')), Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'), Symbol('v10_fixed_shape_proxy_scaled')), Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'))))","{""features"": [""hotspot_rbf_02_scaled"", ""hotspot_rbf_06_scaled"", ""nearest_angular_boundary_fraction_proxy_scaled"", ""nearest_radial_boundary_fraction_proxy_scaled"", ""theta_fraction_proxy_scaled"", ""v10_fixed_shape_proxy_scaled""], ""operators"": [""Add"", ""Mul""]}",1,1,fresh_search
