artifact,path,size_bytes,sha256
completion,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_3/pilot_complete.json,753,61ce56f59274497827d48c6eff8ea234bb670cdef3a7fc9cfdc042d0ff3af8d2
composite,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_3/selected_composite_formula.csv,3898,caed4dad3d55ba8ad2a43ff5248334b9b85cc0ac2f42998899994d08d48deee5
geometry_row,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_3/stages/stage_geometry/selected_formula.csv,4538,e46c656b4a53497ed3878903113c56ff1d66e2b05050a4327ba16e169ae198c3
physical_row,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_3/stages/stage_physical/selected_formula.csv,3204,ba699de32a2ad73711bd9ce8ba6f44bfa98fc625d6e7215f04e144b1c7922b71
geometry_scaling,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_3/training_cache/stage_a_scaling.csv,1934,03c8fb5b0f72df05c2f92b65513d757a3618df377e008df3367e4f54a19c3f84
physical_scaling,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_3/training_cache/stage_b_scaling.csv,2074,7c3b891743d5f8f60c91bd6db0b0ee4749738b40168023f1633b8aa97a6fcb15
all_X,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_3/training_cache/all_v10_features.npy,95200128,72c2d30fe06f05daf9dd6df32e5a4912d925a172dd35459ef4eaa271eb50ace6
base_target,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_3/training_cache/deployable_normalised_residual_target.npy,2380128,17f24c3675273f361a762f6d371828a48120523e8935a2af68716b1be3a3d461
sample_manifest,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_3/training_cache/training_sample_manifest.csv.gz,2059394,a92016ebcd26f5f13b6d1523f1ff929bab773cf3043973e47009f796e24c9c15
cache_metadata,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_3/training_cache/cache_metadata.json,5194,5e7621822bff4d19b9560308907db249374f69e58aa06be7b7d48deaf17bd17c
split_metrics,/net/scratch/j96317yn/NotebookCT3/outputs/10_signed_staged_residual_symbolic_pilot/iteration_3/selected_models_split_metrics.csv,2653,89a9ef5a6ddb83d5dced7db43f6d16a94ac78766b1a05b8e76576f58493b3de2
