feature,direct_v10_input,periodic_harmonic,frozen_v10_component,training_hotspot_rbf
fluence_rate,True,False,False,False
temperature,True,False,False,False
weight_loss_rate,True,False,False,False
fluence_rate_within_case_z,True,False,False,False
temperature_within_case_z,True,False,False,False
weight_loss_rate_within_case_z,True,False,False,False
fluence_rate_mean,True,False,False,False
fluence_rate_p95,True,False,False,False
temperature_mean,True,False,False,False
temperature_p95,True,False,False,False
weight_loss_rate_mean,True,False,False,False
weight_loss_rate_std,True,False,False,False
rho_fraction_proxy,True,False,False,False
z_fraction_proxy,True,False,False,False
theta_fraction_proxy,True,False,False,False
nearest_radial_boundary_fraction_proxy,True,False,False,False
nearest_axial_boundary_fraction_proxy,True,False,False,False
nearest_angular_boundary_fraction_proxy,True,False,False,False
signed_radial_position_proxy,True,False,False,False
signed_axial_position_proxy,True,False,False,False
signed_angular_position_proxy,True,False,False,False
radial_axial_signed_interaction_proxy,True,False,False,False
radial_angular_signed_interaction_proxy,True,False,False,False
axial_angular_signed_interaction_proxy,True,False,False,False
boundary_corner_proximity_proxy,True,False,False,False
theta_sin_2_proxy,False,True,False,False
theta_cos_2_proxy,False,True,False,False
theta_sin_4_proxy,False,True,False,False
theta_cos_4_proxy,False,True,False,False
v10_fixed_shape_proxy,False,False,True,False
v10_geometry_residual_proxy,False,False,True,False
v10_physical_residual_proxy,False,False,True,False
v10_normalised_shape_proxy,False,False,True,False
hotspot_rbf_01,False,False,False,True
hotspot_rbf_02,False,False,False,True
hotspot_rbf_03,False,False,False,True
hotspot_rbf_04,False,False,False,True
hotspot_rbf_05,False,False,False,True
hotspot_rbf_06,False,False,False,True
hotspot_rbf_max_proxy,False,False,False,True
