stage,run_id,candidate_index,complexity,loss,score,equation,formula_scaled_sympy,formula_original_variables,feature_support_json,structure_signature,family_signature,segment,attempt,search_mode,completed_segment,completed_attempt
v11_centered_tail_localised_residual,v11_i4_tail_aware_localised_residual,0,1,0.3882101665886356,0.0,-0.08983837517449704,-0.08983837517449704,0.3011573738025591,[],CONST,"{""features"": [], ""operators"": []}",3,1,warm_start_checkpoint,3,1
v11_centered_tail_localised_residual,v11_i4_tail_aware_localised_residual,1,3,0.3848460564201988,0.0043517292847283,hotspot_rbf_max_proxy_scaled * 0.125844733792853,hotspot_rbf_max_proxy_scaled*0.125844733792853,0.538007133245931*hotspot_rbf_max_proxy - 0.0205482414459203,"[""hotspot_rbf_max_proxy_scaled""]","Mul(CONST, Symbol('hotspot_rbf_max_proxy_scaled'))","{""features"": [""hotspot_rbf_max_proxy_scaled""], ""operators"": [""Mul""]}",3,1,warm_start_checkpoint,3,1
v11_centered_tail_localised_residual,v11_i4_tail_aware_localised_residual,2,4,0.3827446360623607,0.0054753806382183,v10_normalised_shape_proxy_scaled * 0.1505646553480233,v10_normalised_shape_proxy_scaled*0.1505646553480233,0.1241805114069888*v10_normalised_shape_proxy + 0.2948522895253561,"[""v10_normalised_shape_proxy_scaled""]","Mul(CONST, Symbol('v10_normalised_shape_proxy_scaled'))","{""features"": [""v10_normalised_shape_proxy_scaled""], ""operators"": [""Mul""]}",3,1,warm_start_checkpoint,3,1
v11_centered_tail_localised_residual,v11_i4_tail_aware_localised_residual,3,5,0.3798562456175148,0.007575140092814,(fluence_rate_scaled * -0.08154762518413224) * fluence_rate_scaled,fluence_rate_scaled*(-0.08154762518413224)*fluence_rate_scaled,0.367953342881076 - 0.06063169151986255*(2.10384476733811*fluence_rate - 7.77107078530495)**2,"[""fluence_rate_scaled""]","Mul(Integer(-1), CONST, Pow(Symbol('fluence_rate_scaled'), Integer(2)))","{""features"": [""fluence_rate_scaled""], ""operators"": [""Mul""]}",3,1,warm_start_checkpoint,3,1
v11_centered_tail_localised_residual,v11_i4_tail_aware_localised_residual,4,6,0.3783940114338779,0.0038568691079308,abs(fluence_rate_scaled) * -0.17381161618566493,Abs(fluence_rate_scaled)*(-0.17381161618566493),0.367953342881076 - 0.12923113666820299*Abs(2.10384476733811*fluence_rate - 7.77107078530495),"[""fluence_rate_scaled""]","Mul(Integer(-1), CONST, Abs(Symbol('fluence_rate_scaled')))","{""features"": [""fluence_rate_scaled""], ""operators"": [""Abs"", ""Mul""]}",3,1,warm_start_checkpoint,3,1
v11_centered_tail_localised_residual,v11_i4_tail_aware_localised_residual,5,8,0.375633368042005,0.0036612141707449,(abs(fluence_rate_scaled) + -0.4979533697557207) * -0.27497284135563893,(Abs(fluence_rate_scaled) - 0.4979533697557207)*(-0.27497284135563893),0.46975781196707082 - 0.20444578803821869*Abs(2.10384476733811*fluence_rate - 7.77107078530495),"[""fluence_rate_scaled""]","Mul(Integer(-1), CONST, Add(Mul(CONST, Abs(Symbol('fluence_rate_scaled'))), CONST))","{""features"": [""fluence_rate_scaled""], ""operators"": [""Abs"", ""Add"", ""Mul""]}",3,1,warm_start_checkpoint,3,1
v11_centered_tail_localised_residual,v11_i4_tail_aware_localised_residual,6,9,0.3727671773114285,0.0076595474477508,(0.15660222837930485 - gauss(signed_radial_position_proxy_scaled)) * rho_fraction_proxy_scaled,rho_fraction_proxy_scaled*(0.15660222837930485 - exp(-signed_radial_position_proxy_scaled**2)),0.743512657578414*(0.15660222837930485 - exp(-(2.53114006834867*signed_radial_position_proxy - 0.321577675481371)**2))*(5.062280136432*rho_fraction_proxy - 2.85271774365611) + 0.367953342881076,"[""rho_fraction_proxy_scaled"", ""signed_radial_position_proxy_scaled""]","Mul(CONST, Symbol('rho_fraction_proxy_scaled'), Add(Mul(CONST, exp(Pow(Symbol('signed_radial_position_proxy_scaled'), Integer(2)))), CONST), exp(Mul(Integer(-1), Pow(Symbol('signed_radial_position_proxy_scaled'), Integer(2)))))","{""features"": [""rho_fraction_proxy_scaled"", ""signed_radial_position_proxy_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow"", ""exp""]}",3,1,warm_start_checkpoint,3,1
v11_centered_tail_localised_residual,v11_i4_tail_aware_localised_residual,7,11,0.3695954645280965,0.0042724834245233,((0.16514867788331467 - gauss(signed_radial_position_proxy_scaled)) * signed_radial_position_proxy_scaled) - 0.09264941125819172,signed_radial_position_proxy_scaled*(0.16514867788331467 - exp(-signed_radial_position_proxy_scaled**2)) - 1*0.09264941125819172,0.743512657578414*(0.16514867788331467 - exp(-(2.53114006834867*signed_radial_position_proxy - 0.321577675481371)**2))*(2.53114006834867*signed_radial_position_proxy - 0.321577675481371) + 0.2990673328934225,"[""signed_radial_position_proxy_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('signed_radial_position_proxy_scaled'), exp(Pow(Symbol('signed_radial_position_proxy_scaled'), Integer(2)))), Mul(Integer(-1), CONST, Symbol('signed_radial_position_proxy_scaled')), Mul(Integer(-1), CONST, exp(Pow(Symbol('signed_radial_position_proxy_scaled'), Integer(2))))), exp(Mul(Integer(-1), Pow(Symbol('signed_radial_position_proxy_scaled'), Integer(2)))))","{""features"": [""signed_radial_position_proxy_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow"", ""exp""]}",3,1,warm_start_checkpoint,3,1
v11_centered_tail_localised_residual,v11_i4_tail_aware_localised_residual,8,13,0.3676922849698522,0.0025813310836529,-0.10396834385928833 - ((gauss(rho_fraction_proxy_scaled * rho_fraction_proxy_scaled) + -0.14823998631207366) * signed_radial_position_proxy_scaled),-signed_radial_position_proxy_scaled*(-0.14823998631207366 + exp(-rho_fraction_proxy_scaled**4)) - 0.10396834385928833,-0.743512657578414*(-0.14823998631207366 + exp(-(5.062280136432*rho_fraction_proxy - 2.85271774365611)**4))*(2.53114006834867*signed_radial_position_proxy - 0.321577675481371) + 0.29065156323423017,"[""rho_fraction_proxy_scaled"", ""signed_radial_position_proxy_scaled""]","Mul(CONST, Add(Mul(CONST, Symbol('signed_radial_position_proxy_scaled'), exp(Pow(Symbol('rho_fraction_proxy_scaled'), Integer(4)))), Mul(Integer(-1), CONST, Symbol('signed_radial_position_proxy_scaled')), Mul(Integer(-1), CONST, exp(Pow(Symbol('rho_fraction_proxy_scaled'), Integer(4))))), exp(Mul(Integer(-1), Pow(Symbol('rho_fraction_proxy_scaled'), Integer(4)))))","{""features"": [""rho_fraction_proxy_scaled"", ""signed_radial_position_proxy_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow"", ""exp""]}",3,1,warm_start_checkpoint,3,1
v11_centered_tail_localised_residual,v11_i4_tail_aware_localised_residual,9,15,0.3642019354755599,0.0047689623132552,(((nearest_radial_boundary_fraction_proxy_scaled * 0.15560276107150636) - (gauss(rho_fraction_proxy_scaled) + -0.37178177456214956)) * rho_fraction_proxy_scaled) * 2.0247441878297034,(nearest_radial_boundary_fraction_proxy_scaled*0.15560276107150636 - (-0.37178177456214956 + exp(-rho_fraction_proxy_scaled**2)))*rho_fraction_proxy_scaled*2.0247441878297034,1.50542293200971*(5.062280136432*rho_fraction_proxy - 2.85271774365611)*(1.1271643687381094*nearest_radial_boundary_fraction_proxy - 0.017181143457485875 - exp(-(5.062280136432*rho_fraction_proxy - 2.85271774365611)**2)) + 0.367953342881076,"[""nearest_radial_boundary_fraction_proxy_scaled"", ""rho_fraction_proxy_scaled""]","Mul(CONST, Symbol('rho_fraction_proxy_scaled'), Add(Mul(CONST, Symbol('nearest_radial_boundary_fraction_proxy_scaled'), exp(Pow(Symbol('rho_fraction_proxy_scaled'), Integer(2)))), Mul(CONST, exp(Pow(Symbol('rho_fraction_proxy_scaled'), Integer(2)))), CONST), exp(Mul(Integer(-1), Pow(Symbol('rho_fraction_proxy_scaled'), Integer(2)))))","{""features"": [""nearest_radial_boundary_fraction_proxy_scaled"", ""rho_fraction_proxy_scaled""], ""operators"": [""Add"", ""Mul"", ""Pow"", ""exp""]}",3,1,warm_start_checkpoint,3,1
