split,comparison,selected_model,reference_model,metric,direction,n_paired_cases,mean_delta_selected_minus_reference,median_delta_selected_minus_reference,bootstrap_95ci_low,bootstrap_95ci_high,wilcoxon_statistic,wilcoxon_two_sided_p,descriptive_only
validation,selected_vs_v10,v11_selected_gain_0.90,v10_signed_staged_symbolic,rmse,lower_is_better,15,-0.1567466335965904,-0.1627059498889296,-0.21305087978702664,-0.10548695666842303,2.0,0.00018310546875,True
validation,selected_vs_v10,v11_selected_gain_0.90,v10_signed_staged_symbolic,top5_actual_rmse,lower_is_better,15,-0.41460159023849885,-0.48609938791636154,-0.5274368024746866,-0.29036142230639606,2.0,0.00018310546875,True
validation,selected_vs_v10,v11_selected_gain_0.90,v10_signed_staged_symbolic,p95_relative_error,lower_is_better,15,0.0006499980156780994,0.02099413745348222,-0.022791293057014113,0.021006696911734717,51.0,0.638671875,True
validation,selected_vs_v10,v11_selected_gain_0.90,v10_signed_staged_symbolic,p99_relative_error,lower_is_better,15,-0.02333048880765062,-0.028597119624624523,-0.03203378392661025,-0.013928373045787685,6.0,0.0008544921875,True
validation,selected_vs_v10,v11_selected_gain_0.90,v10_signed_staged_symbolic,p99_underprediction_fraction,lower_is_better,15,-0.020641309362056985,-0.0277079595795012,-0.027089865883360886,-0.013223487815999574,2.0,0.0023655770533978757,True
validation,selected_vs_v10,v11_selected_gain_0.90,v10_signed_staged_symbolic,top1pct_hotspot_overlap,higher_is_better,15,0.08231768231768231,0.08441558441558439,0.07281052281052279,0.09010989010989008,0.0,0.0006533107814151376,True
validation,selected_vs_v10,v11_selected_gain_0.90,v10_signed_staged_symbolic,top1_recall_in_predicted_top5,higher_is_better,15,0.05504495504495504,0.060689310689310716,0.04532134532134532,0.06423576423576421,0.0,0.0006533107814151376,True
validation,selected_vs_v10,v11_selected_gain_0.90,v10_signed_staged_symbolic,prediction_abs_max_ratio,closer_to_one_is_better,15,0.07948761348389606,0.07813444946287718,0.07322885609770707,0.08598257044329188,0.0,6.103515625e-05,True
validation,selected_vs_current_v11,v11_selected_gain_0.90,v11_current_gain_1_00,rmse,lower_is_better,15,-0.013026651394054234,-0.010468422153759427,-0.017409555209576388,-0.009423365442459006,0.0,6.103515625e-05,True
validation,selected_vs_current_v11,v11_selected_gain_0.90,v11_current_gain_1_00,top5_actual_rmse,lower_is_better,15,0.01374073527788598,0.017705471797323735,-0.0016332719546709037,0.027793720524803014,31.0,0.10699462890625,True
validation,selected_vs_current_v11,v11_selected_gain_0.90,v11_current_gain_1_00,p95_relative_error,lower_is_better,15,-0.011184968363868666,-0.01293609981677752,-0.013791849608376362,-0.007271357130072344,3.0,0.00030517578125,True
validation,selected_vs_current_v11,v11_selected_gain_0.90,v11_current_gain_1_00,p99_relative_error,lower_is_better,15,0.008763011652634304,0.015123230597566775,0.0015753554679473235,0.014705158259725983,30.0,0.0946044921875,True
validation,selected_vs_current_v11,v11_selected_gain_0.90,v11_current_gain_1_00,p99_underprediction_fraction,lower_is_better,15,0.012339825666575299,0.015123230597566775,0.009176580612111122,0.014984094855448455,0.0,0.0014737808438751421,True
validation,selected_vs_current_v11,v11_selected_gain_0.90,v11_current_gain_1_00,top1pct_hotspot_overlap,higher_is_better,15,0.0008158508158508196,-0.00024975024975026905,-0.0018814518814518864,0.00447885447885447,57.5,0.8870649234635408,True
validation,selected_vs_current_v11,v11_selected_gain_0.90,v11_current_gain_1_00,top1_recall_in_predicted_top5,higher_is_better,15,0.001615051615051614,0.0024975024975025795,9.990009990009281e-05,0.002997002997002999,23.0,0.06397378298732984,True
validation,selected_vs_current_v11,v11_selected_gain_0.90,v11_current_gain_1_00,prediction_abs_max_ratio,closer_to_one_is_better,15,-0.010996554280285682,-0.01033058963484279,-0.01162990482744784,-0.010415245660298196,0.0,6.103515625e-05,True
internal_test,selected_vs_v10,v11_selected_gain_0.90,v10_signed_staged_symbolic,rmse,lower_is_better,15,-0.07544584772502606,-0.1205574836781742,-0.13144852917729233,5.9207774831612965e-05,26.0,0.05535888671875,True
internal_test,selected_vs_v10,v11_selected_gain_0.90,v10_signed_staged_symbolic,top5_actual_rmse,lower_is_better,15,-0.4275910117661518,-0.5269450448616277,-0.5601381910040025,-0.25361817761386685,3.0,0.00030517578125,True
internal_test,selected_vs_v10,v11_selected_gain_0.90,v10_signed_staged_symbolic,p95_relative_error,lower_is_better,15,0.01727539932347787,0.012261182260955936,0.005663757661809046,0.029370022921473775,17.0,0.012451171875,True
internal_test,selected_vs_v10,v11_selected_gain_0.90,v10_signed_staged_symbolic,p99_relative_error,lower_is_better,15,-0.023057792870076456,-0.024407160662790833,-0.027235735364438088,-0.017364432743285006,1.0,0.0001220703125,True
internal_test,selected_vs_v10,v11_selected_gain_0.90,v10_signed_staged_symbolic,p99_underprediction_fraction,lower_is_better,15,-0.023731245258844957,-0.024407160662790833,-0.02727225661835183,-0.01943386794737304,0.0,0.0009815397525216685,True
internal_test,selected_vs_v10,v11_selected_gain_0.90,v10_signed_staged_symbolic,top1pct_hotspot_overlap,higher_is_better,15,0.06738261738261737,0.08266733266733262,0.04310689310689309,0.08476523476523476,3.0,0.001203558952489263,True
internal_test,selected_vs_v10,v11_selected_gain_0.90,v10_signed_staged_symbolic,top1_recall_in_predicted_top5,higher_is_better,15,0.05829170829170828,0.06443556443556442,0.040725940725940726,0.07296078921078916,2.0,0.00018310546875,True
internal_test,selected_vs_v10,v11_selected_gain_0.90,v10_signed_staged_symbolic,prediction_abs_max_ratio,closer_to_one_is_better,15,0.08531059785965753,0.07833407249218394,0.07612479066314722,0.09735683682181859,0.0,6.103515625e-05,True
internal_test,selected_vs_current_v11,v11_selected_gain_0.90,v11_current_gain_1_00,rmse,lower_is_better,15,-0.014569966055258525,-0.009628581674274272,-0.022991230190062682,-0.008101631500956254,0.0,6.103515625e-05,True
internal_test,selected_vs_current_v11,v11_selected_gain_0.90,v11_current_gain_1_00,top5_actual_rmse,lower_is_better,15,0.024560823347338327,0.031811163459460445,0.003976838567696371,0.040913299363524815,26.0,0.05535888671875,True
internal_test,selected_vs_current_v11,v11_selected_gain_0.90,v11_current_gain_1_00,p95_relative_error,lower_is_better,15,-0.012153119740568048,-0.012732584859976415,-0.01388940015427831,-0.009568834373230311,1.0,0.0001220703125,True
internal_test,selected_vs_current_v11,v11_selected_gain_0.90,v11_current_gain_1_00,p99_relative_error,lower_is_better,15,0.012905617746805651,0.01522830049672308,0.008910598084018138,0.01575604292704818,3.0,0.00030517578125,True
internal_test,selected_vs_current_v11,v11_selected_gain_0.90,v11_current_gain_1_00,p99_underprediction_fraction,lower_is_better,15,0.013691387545835437,0.01522830049672308,0.010924804889035118,0.015771254210988666,0.0,0.0009815397525216685,True
internal_test,selected_vs_current_v11,v11_selected_gain_0.90,v11_current_gain_1_00,top1pct_hotspot_overlap,higher_is_better,15,-0.002031302031302044,-0.0027472527472527375,-0.004478854478854485,0.0004495504495504436,29.5,0.14867854922651075,True
internal_test,selected_vs_current_v11,v11_selected_gain_0.90,v11_current_gain_1_00,top1_recall_in_predicted_top5,higher_is_better,15,0.0004828504828504684,-0.00024975024975026905,-0.0011821511821511848,0.002281052281052265,56.0,0.8201374695011017,True
internal_test,selected_vs_current_v11,v11_selected_gain_0.90,v11_current_gain_1_00,prediction_abs_max_ratio,closer_to_one_is_better,15,-0.011536445222645778,-0.010375081720739643,-0.01346761180261191,-0.010141183842648758,0.0,6.103515625e-05,True
