candidate_id,model_family,feature_set,alpha,shrinkage,n_features,model_complexity,cv_selection_score,mean_oracle_loss_ratio,weighted_gain_mae,p90_absolute_gain_error,gain_saturation_fraction,fit_failure,selected_for_149_case_refit
constant_global_0_90,constant,none,0.0,0.0,0,0,1.0193989611800736,1.0,0.1064896118007348,0.17499999999999993,0.0,,False
ridge__physical_9__a0.1__s0.50,ridge,physical_9,0.1,0.5,9,10,1.0073354916246888,0.9941178835169514,0.07411881988449777,0.11611452238575247,0.0,,False
ridge__physical_9__a0.1__s0.75,ridge,physical_9,0.1,0.75,9,10,1.0032628725741919,0.9920107051188551,0.06347727314894977,0.09808880280883753,0.0,,False
ridge__physical_9__a0.1__s1.00,ridge,physical_9,0.1,1.0,9,10,1.0022274001291454,0.990469465626283,0.06040404061045844,0.11435060883632689,0.0,,False
ridge__physical_9__a1__s0.50,ridge,physical_9,1.0,0.5,9,10,1.0074110834665024,0.9941118023316554,0.07430438361308145,0.117376855470777,0.0,,False
ridge__physical_9__a1__s0.75,ridge,physical_9,1.0,0.75,9,10,1.0037386068217842,0.9920190999697586,0.06547623030830121,0.10343767642390769,0.0,,False
ridge__physical_9__a1__s1.00,ridge,physical_9,1.0,1.0,9,10,1.002145294013295,0.9904263742730569,0.06206837646334302,0.10218795060290871,0.020134228187919462,,False
ridge__physical_9__a10__s0.50,ridge,physical_9,10.0,0.5,9,10,1.0076054465341622,0.9942442354677136,0.07553744784844146,0.11614932563208978,0.0,,False
ridge__physical_9__a10__s0.75,ridge,physical_9,10.0,0.75,9,10,1.0040233858780894,0.9921850269120833,0.06730145493305681,0.10216426945400658,0.0,,False
ridge__physical_9__a10__s1.00,ridge,physical_9,10.0,1.0,9,10,1.0030830175930674,0.9906120039473262,0.06353437835867119,0.11429782492231247,0.020134228187919462,,False
ridge__physical_9__a100__s0.50,ridge,physical_9,100.0,0.5,9,10,1.0096653205718655,0.9952419471202517,0.08045882456515047,0.127549819901978,0.0,,False
