case_id,similarity_group,fold
case_01,group_001,3
case_06,group_005,1
case_10,group_006,0
case_100,group_008,4
case_101,group_067,3
case_102,group_080,3
case_104,group_082,0
case_105,group_083,2
case_106,group_084,0
case_107,group_047,2
case_109,group_034,3
case_11,group_007,4
case_110,group_086,2
case_111,group_087,1
case_114,group_090,2
case_115,group_006,0
case_116,group_011,4
case_117,group_091,1
case_118,group_092,0
case_119,group_093,1
case_12,group_008,4
case_120,group_067,3
case_121,group_093,1
case_122,group_094,3
case_124,group_096,2
case_125,group_097,2
case_127,group_093,1
case_128,group_094,3
case_129,group_099,4
case_13,group_009,2
case_130,group_097,2
case_133,group_101,4
case_136,group_104,4
case_137,group_094,3
case_139,group_106,2
case_14,group_009,2
case_141,group_108,3
case_142,group_109,0
case_143,group_110,4
case_144,group_111,0
case_145,group_112,3
case_146,group_093,1
case_147,group_113,4
case_148,group_114,2
case_15,group_010,3
case_150,group_116,0
case_151,group_117,2
case_153,group_119,3
case_154,group_120,3
case_155,group_121,3
case_156,group_096,2
case_157,group_122,4
case_158,group_123,0
case_159,group_124,3
case_16,group_011,4
case_163,group_128,3
case_164,group_129,0
case_165,group_130,1
case_166,group_131,4
case_169,group_119,3
case_17,group_012,4
case_170,group_134,3
case_171,group_135,2
case_173,group_137,4
case_175,group_093,1
case_176,group_139,0
case_179,group_142,4
case_18,group_013,1
case_180,group_143,0
case_181,group_144,1
case_182,group_145,3
case_183,group_146,1
case_184,group_147,1
case_185,group_148,4
case_186,group_149,1
case_187,group_147,1
case_188,group_093,1
case_189,group_101,4
case_19,group_006,0
case_190,group_096,2
case_191,group_106,2
case_192,group_106,2
case_193,group_150,0
case_194,group_151,1
case_195,group_152,2
case_196,group_113,4
case_197,group_153,1
case_199,group_154,3
case_20,group_008,4
case_200,group_155,1
case_21,group_014,0
case_24,group_017,4
case_27,group_019,1
case_28,group_020,0
case_29,group_021,3
case_32,group_023,3
case_34,group_025,4
case_35,group_026,2
case_36,group_027,0
case_39,group_030,1
case_40,group_031,3
case_42,group_033,0
case_43,group_033,0
case_44,group_034,3
case_45,group_035,4
case_47,group_036,0
case_48,group_037,0
case_49,group_006,0
case_51,group_039,4
case_52,group_040,0
case_54,group_041,1
case_56,group_043,1
case_57,group_044,2
case_58,group_045,0
case_59,group_046,4
case_60,group_013,1
case_61,group_047,2
case_62,group_048,3
case_63,group_049,0
case_64,group_050,1
case_66,group_052,1
case_67,group_040,0
case_68,group_053,2
case_69,group_054,2
case_71,group_056,0
case_72,group_057,3
case_73,group_058,2
case_74,group_059,1
case_75,group_060,0
case_77,group_062,4
case_78,group_063,4
case_79,group_064,2
case_81,group_066,2
case_82,group_020,0
case_83,group_067,3
case_84,group_008,4
case_85,group_068,1
case_86,group_069,2
case_87,group_070,1
case_89,group_071,0
case_91,group_007,4
case_92,group_073,2
case_93,group_074,2
case_94,group_075,4
case_95,group_076,4
case_96,group_077,3
case_97,group_068,1
case_98,group_078,3
case_99,group_079,3
