candidate_id,model_family,feature_set,alpha,shrinkage,n_features,model_complexity
constant_global_0_90,constant,none,0.0,0.0,0,0
ridge__physical_9__a0.1__s0.50,ridge,physical_9,0.1,0.5,9,10
ridge__physical_9__a0.1__s0.75,ridge,physical_9,0.1,0.75,9,10
ridge__physical_9__a0.1__s1.00,ridge,physical_9,0.1,1.0,9,10
ridge__physical_9__a1__s0.50,ridge,physical_9,1.0,0.5,9,10
ridge__physical_9__a1__s0.75,ridge,physical_9,1.0,0.75,9,10
ridge__physical_9__a1__s1.00,ridge,physical_9,1.0,1.0,9,10
ridge__physical_9__a10__s0.50,ridge,physical_9,10.0,0.5,9,10
ridge__physical_9__a10__s0.75,ridge,physical_9,10.0,0.75,9,10
ridge__physical_9__a10__s1.00,ridge,physical_9,10.0,1.0,9,10
ridge__physical_9__a100__s0.50,ridge,physical_9,100.0,0.5,9,10
ridge__physical_9__a100__s0.75,ridge,physical_9,100.0,0.75,9,10
ridge__physical_9__a100__s1.00,ridge,physical_9,100.0,1.0,9,10
huber__physical_9__a0.001__s0.50,huber,physical_9,0.001,0.5,9,11
huber__physical_9__a0.001__s0.75,huber,physical_9,0.001,0.75,9,11
huber__physical_9__a0.001__s1.00,huber,physical_9,0.001,1.0,9,11
huber__physical_9__a0.01__s0.50,huber,physical_9,0.01,0.5,9,11
huber__physical_9__a0.01__s0.75,huber,physical_9,0.01,0.75,9,11
huber__physical_9__a0.01__s1.00,huber,physical_9,0.01,1.0,9,11
huber__physical_9__a0.1__s0.50,huber,physical_9,0.1,0.5,9,11
huber__physical_9__a0.1__s0.75,huber,physical_9,0.1,0.75,9,11
huber__physical_9__a0.1__s1.00,huber,physical_9,0.1,1.0,9,11
ridge__physical_plus_tail_13__a0.1__s0.50,ridge,physical_plus_tail_13,0.1,0.5,13,14
ridge__physical_plus_tail_13__a0.1__s0.75,ridge,physical_plus_tail_13,0.1,0.75,13,14
ridge__physical_plus_tail_13__a0.1__s1.00,ridge,physical_plus_tail_13,0.1,1.0,13,14
ridge__physical_plus_tail_13__a1__s0.50,ridge,physical_plus_tail_13,1.0,0.5,13,14
ridge__physical_plus_tail_13__a1__s0.75,ridge,physical_plus_tail_13,1.0,0.75,13,14
ridge__physical_plus_tail_13__a1__s1.00,ridge,physical_plus_tail_13,1.0,1.0,13,14
ridge__physical_plus_tail_13__a10__s0.50,ridge,physical_plus_tail_13,10.0,0.5,13,14
ridge__physical_plus_tail_13__a10__s0.75,ridge,physical_plus_tail_13,10.0,0.75,13,14
ridge__physical_plus_tail_13__a10__s1.00,ridge,physical_plus_tail_13,10.0,1.0,13,14
ridge__physical_plus_tail_13__a100__s0.50,ridge,physical_plus_tail_13,100.0,0.5,13,14
ridge__physical_plus_tail_13__a100__s0.75,ridge,physical_plus_tail_13,100.0,0.75,13,14
ridge__physical_plus_tail_13__a100__s1.00,ridge,physical_plus_tail_13,100.0,1.0,13,14
huber__physical_plus_tail_13__a0.001__s0.50,huber,physical_plus_tail_13,0.001,0.5,13,15
huber__physical_plus_tail_13__a0.001__s0.75,huber,physical_plus_tail_13,0.001,0.75,13,15
huber__physical_plus_tail_13__a0.001__s1.00,huber,physical_plus_tail_13,0.001,1.0,13,15
huber__physical_plus_tail_13__a0.01__s0.50,huber,physical_plus_tail_13,0.01,0.5,13,15
huber__physical_plus_tail_13__a0.01__s0.75,huber,physical_plus_tail_13,0.01,0.75,13,15
huber__physical_plus_tail_13__a0.01__s1.00,huber,physical_plus_tail_13,0.01,1.0,13,15
huber__physical_plus_tail_13__a0.1__s0.50,huber,physical_plus_tail_13,0.1,0.5,13,15
huber__physical_plus_tail_13__a0.1__s0.75,huber,physical_plus_tail_13,0.1,0.75,13,15
huber__physical_plus_tail_13__a0.1__s1.00,huber,physical_plus_tail_13,0.1,1.0,13,15
