candidate_id,model_family,feature_set,alpha,shrinkage,n_features,model_complexity,cv_selection_score,mean_oracle_loss_ratio,weighted_gain_mae,p90_absolute_gain_error,gain_saturation_fraction,fit_failure,outer_fold,selected_in_outer_fold
constant_global_0_90,constant,none,0.0,0.0,0,0,1.0195758567455384,1.0,0.10575856745538602,0.18000000000000002,0.0,,0,False
ridge__physical_9__a0.1__s0.50,ridge,physical_9,0.1,0.5,9,10,1.0098338006873357,0.994958437920044,0.07866253280725231,0.1401821897313315,0.0,,0,False
ridge__physical_9__a0.1__s0.75,ridge,physical_9,0.1,0.75,9,10,1.0065083149433853,0.9931246148065286,0.07109719999978188,0.12211825819975594,0.008403361344537815,,0,False
ridge__physical_9__a0.1__s1.00,ridge,physical_9,0.1,1.0,9,10,1.0048100946931402,0.9917135215122477,0.0674573148867754,0.12365548930648743,0.008403361344537815,,0,False
ridge__physical_9__a1__s0.50,ridge,physical_9,1.0,0.5,9,10,1.009815551676978,0.9950909725772424,0.08016064067606193,0.1341703006425878,0.0,,0,False
ridge__physical_9__a1__s0.75,ridge,physical_9,1.0,0.75,9,10,1.0073445238726362,0.993183991131918,0.07278483287929016,0.13427964451796642,0.008403361344537815,,0,False
ridge__physical_9__a1__s1.00,ridge,physical_9,1.0,1.0,9,10,1.0056985662129876,0.9917856391810456,0.06979822978957334,0.1353007365218777,0.008403361344537815,,0,False
ridge__physical_9__a10__s0.50,ridge,physical_9,10.0,0.5,9,10,1.0100431684832576,0.9951538029485579,0.08086396040260832,0.13605938988877975,0.0,,0,False
ridge__physical_9__a10__s0.75,ridge,physical_9,10.0,0.75,9,10,1.0074338354458263,0.993348613323241,0.07402180549234935,0.13029948692919163,0.008403361344537815,,0,False
ridge__physical_9__a10__s1.00,ridge,physical_9,10.0,1.0,9,10,1.0055176293022439,0.9919050935859502,0.07061175000418324,0.12766586977969013,0.008403361344537815,,0,False
ridge__physical_9__a100__s0.50,ridge,physical_9,100.0,0.5,9,10,1.0117428783819522,0.9960942604101909,0.08468536574513376,0.14360162794496062,0.0,,0,False
ridge__physical_9__a100__s0.75,ridge,physical_9,100.0,0.75,9,10,1.0084119572445487,0.9944988784186773,0.07786784071546173,0.12252589508650319,0.0,,0,False
ridge__physical_9__a100__s1.00,ridge,physical_9,100.0,1.0,9,10,1.006152378960833,0.9931671689068513,0.07279214067495898,0.11411991972971657,0.0,,0,False
huber__physical_9__a0.001__s0.50,huber,physical_9,0.001,0.5,9,11,1.0089046785434401,0.9946298982426192,0.07613814187156791,0.1332193222732827,0.0,,0,False
huber__physical_9__a0.001__s0.75,huber,physical_9,0.001,0.75,9,11,1.0057422978667756,0.992724893319625,0.06720956339786738,0.12592896414727833,0.0,,0,False
huber__physical_9__a0.001__s1.00,huber,physical_9,0.001,1.0,9,11,1.0034506562472063,0.99118945358314,0.06283301464373697,0.11619667945603769,0.008403361344537815,,0,False
huber__physical_9__a0.01__s0.50,huber,physical_9,0.01,0.5,9,11,1.008905707633132,0.9946300165410673,0.07614089898137517,0.1332320238785421,0.0,,0,False
huber__physical_9__a0.01__s0.75,huber,physical_9,0.01,0.75,9,11,1.0057433262858058,0.9927250235940044,0.06721537659452177,0.12593530064698344,0.0,,0,False
huber__physical_9__a0.01__s1.00,huber,physical_9,0.01,1.0,9,11,1.0034530003207387,0.9911890625280838,0.06283846824028887,0.11624047483470468,0.008403361344537815,,0,False
huber__physical_9__a0.1__s0.50,huber,physical_9,0.1,0.5,9,11,1.0089140514646895,0.9946307011366283,0.07617488055052828,0.13331724546016585,0.0,,0,False
huber__physical_9__a0.1__s0.75,huber,physical_9,0.1,0.75,9,11,1.0057540829950322,0.9927257363453699,0.06727801850008713,0.12601089599307178,0.0,,0,False
huber__physical_9__a0.1__s1.00,huber,physical_9,0.1,1.0,9,11,1.003432018151769,0.9911850182385117,0.06291158210000772,0.11575548952731902,0.008403361344537815,,0,True
ridge__physical_plus_tail_13__a0.1__s0.50,ridge,physical_plus_tail_13,0.1,0.5,13,14,1.0099462513940407,0.9949324606632788,0.07846200008144,0.14335181445235928,0.0,,0,False
ridge__physical_plus_tail_13__a0.1__s0.75,ridge,physical_plus_tail_13,0.1,0.75,13,14,1.0061904865909341,0.9931108866856491,0.07063228583144304,0.11696608190500274,0.008403361344537815,,0,False
ridge__physical_plus_tail_13__a0.1__s1.00,ridge,physical_plus_tail_13,0.1,1.0,13,14,1.0045444886947619,0.9916866982613709,0.06713310672518,0.11952825067964644,0.008403361344537815,,0,False
ridge__physical_plus_tail_13__a1__s0.50,ridge,physical_plus_tail_13,1.0,0.5,13,14,1.0097735163550239,0.9950588810387335,0.0797260832626286,0.1348405398005506,0.0,,0,False
ridge__physical_plus_tail_13__a1__s0.75,ridge,physical_plus_tail_13,1.0,0.75,13,14,1.007219440420678,0.993154278172484,0.07218963854259018,0.1335626233408873,0.008403361344537815,,0,False
ridge__physical_plus_tail_13__a1__s1.00,ridge,physical_plus_tail_13,1.0,1.0,13,14,1.005520088936097,0.9917393936064364,0.06876691136003565,0.13471873933532866,0.008403361344537815,,0,False
