case_id,similarity_group,fold
case_01,group_001,2
case_06,group_005,1
case_10,group_006,3
case_100,group_008,0
case_101,group_067,4
case_102,group_080,4
case_104,group_082,0
case_105,group_083,2
case_106,group_084,1
case_107,group_047,1
case_109,group_034,2
case_11,group_007,4
case_110,group_086,0
case_111,group_087,1
case_114,group_090,2
case_115,group_006,3
case_116,group_011,3
case_117,group_091,2
case_118,group_092,3
case_119,group_093,2
case_12,group_008,0
case_120,group_067,4
case_121,group_093,2
case_122,group_094,4
case_124,group_096,1
case_125,group_097,2
case_127,group_093,2
case_128,group_094,4
case_129,group_099,0
case_13,group_009,0
case_130,group_097,2
case_133,group_101,0
case_136,group_104,4
case_137,group_094,4
case_139,group_106,1
case_14,group_009,0
case_141,group_108,4
case_142,group_109,0
case_143,group_110,2
case_144,group_111,1
case_145,group_112,4
case_146,group_093,2
case_147,group_113,3
case_148,group_114,1
case_15,group_010,0
case_150,group_116,1
case_151,group_117,1
case_153,group_119,0
case_154,group_120,1
case_155,group_121,4
case_156,group_096,1
case_157,group_122,2
case_158,group_123,1
case_159,group_124,4
case_16,group_011,3
case_163,group_128,1
case_164,group_129,2
case_165,group_130,1
case_166,group_131,0
case_169,group_119,0
case_17,group_012,4
case_170,group_134,0
case_171,group_135,3
case_173,group_137,3
case_175,group_093,2
case_176,group_139,3
case_179,group_142,3
case_18,group_013,3
case_180,group_143,3
case_181,group_144,3
case_182,group_145,2
case_183,group_146,3
case_184,group_147,1
case_185,group_148,1
case_186,group_149,3
case_187,group_147,1
case_188,group_093,2
case_189,group_101,0
case_19,group_006,3
case_190,group_096,1
case_191,group_106,1
case_192,group_106,1
case_193,group_150,4
case_194,group_151,0
case_195,group_152,0
case_196,group_113,3
case_197,group_153,4
case_199,group_154,0
case_20,group_008,0
case_200,group_155,0
case_21,group_014,4
case_24,group_017,4
case_27,group_019,2
case_28,group_020,0
case_29,group_021,1
case_32,group_023,1
case_34,group_025,3
case_35,group_026,2
case_36,group_027,3
case_39,group_030,4
case_40,group_031,3
case_42,group_033,1
case_43,group_033,1
case_44,group_034,2
case_45,group_035,3
case_47,group_036,2
case_48,group_037,3
case_49,group_006,3
case_51,group_039,3
case_52,group_040,4
case_54,group_041,4
case_56,group_043,4
case_57,group_044,4
case_58,group_045,0
case_59,group_046,0
case_60,group_013,3
case_61,group_047,1
case_62,group_048,2
case_63,group_049,0
case_64,group_050,2
case_66,group_052,2
case_67,group_040,4
case_68,group_053,1
case_69,group_054,2
case_71,group_056,4
case_72,group_057,2
case_73,group_058,0
case_74,group_059,2
case_75,group_060,4
case_77,group_062,0
case_78,group_063,2
case_79,group_064,3
case_81,group_066,1
case_82,group_020,0
case_83,group_067,4
case_84,group_008,0
case_85,group_068,3
case_86,group_069,3
case_87,group_070,4
case_89,group_071,1
case_91,group_007,4
case_92,group_073,0
case_93,group_074,4
case_94,group_075,2
case_95,group_076,4
case_96,group_077,1
case_97,group_068,3
case_98,group_078,2
case_99,group_079,0
