case_id,legacy_split,similarity_group,oracle_gain,minimum_grid_loss,selected_near_optimal_loss,global_gain_loss,oracle_loss_improvement_fraction,oracle_target_weight,near_optimal_gain_count,oracle_at_lower_bound,oracle_at_upper_bound,case_mean_correction_mpa,fluence_rate_mean,fluence_rate_p95,fluence_rate_std,tail_correction_abs_max_mpa,tail_correction_std_mpa,temperature_mean,temperature_p95,temperature_std,v10_case_scale,weight_loss_rate_mean,weight_loss_rate_p95,weight_loss_rate_std
case_01,train,group_001,1.025,0.2947446410698713,0.2957670500204066,0.29957066447338004,0.01269688559011571,1.050787542360463,4,False,False,-0.493874797882639,3.399423837661743,4.336071968078613,0.4025068581104278,6.93151424369415,0.9196533676732599,398.7736511230469,431.3729248046875,15.544198989868164,4.369472491525578,0.3569064140319824,0.4931559860706329,0.0541711002588272
case_06,internal_test,group_005,1.05,0.29328015509015637,0.2943937827635976,0.29991006315886537,0.018393115379878797,1.0735724615195152,3,False,False,-0.5856146246221751,3.47940444946289,4.354030132293701,0.3796917200088501,6.534911892804164,0.8666760060593248,426.3059997558594,442.93011474609375,10.8130464553833,4.120576227325863,0.3404279053211212,0.4521639943122864,0.04245026409626
case_10,train,group_006,0.925,0.2772579363530615,0.2782770238699473,0.27882158759845765,0.00195309026535854,1.0078123610614342,8,False,False,-0.46031593940828774,3.434783697128296,4.363170146942139,0.3976384401321411,7.044839229804583,0.9373150647752247,386.9534912109375,426.16058349609375,18.640626907348636,4.465448541293634,0.3542420864105224,0.485287994146347,0.0568722411990165
case_100,train,group_008,1.0,0.28223293607031813,0.2833916471424681,0.2862523912642509,0.009993782441949666,1.0399751297677986,5,False,False,-0.5051956454312495,3.41831111907959,4.338582992553711,0.39790940284729,6.692415517013658,0.8916194228459456,385.9527282714844,427.4082336425781,18.81670379638672,4.244257285627815,0.3578886091709137,0.4932129979133606,0.051088523119688
case_101,validation,group_067,0.9,0.2739344278343441,0.2750761013352856,0.2750761013352856,0.0,1.0,9,False,False,-0.45895707615726056,3.457998514175415,4.40238094329834,0.4014818966388702,7.184332724462394,0.9536323652471563,386.0186767578125,427.7275695800781,18.97425079345703,4.538750133180804,0.3552675247192383,0.4862160086631775,0.0565304681658744
case_102,internal_test,group_080,0.475,0.38554516003629496,0.3872132857584505,0.4177568203301879,0.07311319189856991,1.2924527675942796,11,False,False,-0.2725847487558939,4.375712871551514,4.843551158905029,0.2771494090557098,8.718909854533834,1.1136522138649925,388.4079895019531,427.1072692871094,18.330293655395508,5.286645717073964,0.599214494228363,0.6417539715766907,0.0443295650184154
case_104,train,group_082,1.0,0.2731483897133095,0.27447580092063184,0.27742298477396177,0.010623430699987703,1.042493722799951,5,False,False,-0.5003095721949115,3.433887243270874,4.365649223327637,0.4009110927581787,6.204008162623866,0.8268940242981188,383.3001403808594,424.0548095703125,18.62049865722656,3.9378730601833247,0.3800892531871795,0.482015997171402,0.0490060336887836
case_105,train,group_083,0.95,0.2622986633276508,0.2633273441699721,0.2644532356584884,0.004257431321317752,1.017029725285271,7,False,False,-0.44244042781776305,3.423628330230713,4.3506760597229,0.3979708552360534,4.512629164556719,0.6077946056419735,368.3004760742188,401.8359680175781,13.826416015625,2.89972096590674,0.4157237112522125,0.5150690078735352,0.0498297587037086
case_106,train,group_084,0.9,0.32074441748458843,0.32077619564791837,0.32077619564791837,0.0,1.0,10,False,False,-0.3554610870613427,3.4595956802368164,4.398697853088379,0.4012538492679596,3.562208116047416,0.4781786424242636,357.8890991210937,377.22314453125,11.15423583984375,2.2833006910723586,0.5974948406219482,0.6409590244293213,0.0442048758268356
case_107,train,group_047,1.0,0.2787277379795864,0.28001091103229026,0.2827685990359061,0.009752454880132192,1.0390098195205288,5,False,False,-0.456346806635899,3.4598100185394287,4.412162780761719,0.4023882746696472,6.233133395171289,0.830692327724476,389.0294799804688,426.8721008300781,18.464963912963867,3.956806232050813,0.3604606389999389,0.4870460033416748,0.0561833307147026
case_109,train,group_034,0.925,0.28880069571520744,0.28991120116341285,0.29048287749686796,0.001968020760401899,1.0078720830416077,8,False,False,-0.4850710553052586,3.416611194610596,4.3369622230529785,0.3980078995227813,6.51643215959779,0.8628307487970601,382.6580505371094,424.52972412109375,19.00833511352539,4.09905992779955,0.4566439390182495,0.537326991558075,0.0477630235254764
case_11,train,group_007,1.05,0.3112620444963726,0.31228089193882486,0.3176142399214609,0.016791904493812487,1.06716761797525,3,False,False,-0.5284438528261058,3.423363447189331,4.352518081665039,0.3977753221988678,7.071844073187713,0.9329975965289995,439.5626831054688,447.81744384765625,10.967487335205078,4.430309365518607,0.3563190102577209,0.4930540025234222,0.0523955263197422
case_110,train,group_086,0.925,0.2780853194818065,0.27924062486244583,0.27979882642828235,0.0019950103900082017,1.0079800415600328,8,False,False,-0.43550647169128576,3.424643993377685,4.347803115844727,0.3981687724590301,4.634146128063901,0.6241072115845193,367.248046875,399.21881103515625,13.424286842346191,2.982030254426668,0.4327633380889892,0.5187699794769287,0.0491685718297958
case_111,train,group_087,0.375,0.6357747523716665,0.6387893283372863,0.6685335359001918,0.04449172100671724,1.1779668840268689,16,False,False,-0.13433544720278434,4.829971790313721,5.104234218597412,0.2632432878017425,5.944717164327743,0.7808323940986087,365.8954162597656,395.9998779296875,12.96779441833496,3.713249251903451,0.5879989862442017,0.6368690133094788,0.0437046326696872
case_114,train,group_090,0.925,0.26492588052001576,0.2660667851945584,0.26660853987500516,0.002032022982837505,1.00812809193135,8,False,False,-0.4056753738704352,3.4229555130004883,4.345383167266846,0.3977976739406585,4.296532176003263,0.582392251192198,364.3996276855469,391.62255859375,12.41891384124756,2.7861849078366694,0.3577557802200317,0.4785889983177185,0.0557358153164386
case_115,train,group_006,0.9,0.2729790817236528,0.27384938251813096,0.27384938251813096,0.0,1.0,9,False,False,-0.4129635638593253,3.470018148422241,4.413661956787109,0.4010722041130066,7.3142481520497284,0.9707401070466785,385.3431091308594,426.0142517089844,19.139636993408203,4.624283639447332,0.3567016720771789,0.5049260258674622,0.0623287335038185
case_116,train,group_011,1.025,0.2874667136074409,0.2885224228190254,0.2922555807682496,0.012773607057941777,1.0510944282317671,4,False,False,-0.493329210590593,3.4343976974487305,4.361715793609619,0.3977457880973816,6.242767523944435,0.8336051571891213,388.6405944824219,424.4935607910156,18.39406394958496,3.975151576251028,0.3576522171497345,0.4954540133476257,0.0513613447546958
case_117,internal_test,group_091,0.9,0.27000801917191997,0.27032650332237806,0.27032650332237806,0.0,1.0,10,False,False,-0.4530330240084911,3.703256130218506,4.484686851501465,0.3485353589057922,6.384638542150823,0.8411204312717664,382.5632019042969,422.6875915527344,18.538129806518555,3.9964189110148123,0.4042470753192901,0.4992350041866302,0.0468110963702201
case_118,train,group_092,0.6,0.42038568711574675,0.42218143363087723,0.43848070267098893,0.03717214678052034,1.1486885871220813,13,False,False,-0.2718880099908708,4.794837474822998,5.080356121063232,0.262771338224411,10.023091588499934,1.297072622127053,385.8163146972656,428.390380859375,19.26175880432129,6.177558689361604,0.348154753446579,0.4713909924030304,0.0469598732888698
case_119,train,group_093,0.95,0.2645658934009939,0.26554384431069433,0.2666653150819973,0.0042055367079072,1.0168221468316287,7,False,False,-0.4048756768962828,3.4510338306427,4.379269123077393,0.3979470133781433,5.302038397629712,0.7135530183711724,370.7916870117188,407.3071899414063,14.664671897888184,3.4081472465807883,0.3555521965026855,0.4912500083446502,0.059317510575056
case_12,train,group_008,1.0,0.28806873100100516,0.28934321392789497,0.29232838465396677,0.01021170328569148,1.040846813142766,5,False,False,-0.5035332054550999,3.4136345386505127,4.322353839874268,0.3964231610298157,6.729700853374412,0.8951173096415086,383.26806640625,426.6660461425781,19.72159576416016,4.2590602270026165,0.3571361303329468,0.4942870140075683,0.0514870733022689
case_120,validation,group_067,0.9,0.27287099779879254,0.2739710841773263,0.2739710841773263,0.0,1.0,9,False,False,-0.45688362292295204,3.4712073802948,4.415709018707275,0.4007486701011657,7.1479782875380655,0.9494062939194963,386.0508728027344,425.6670227050781,18.94571304321289,4.523011080417325,0.3578146398067474,0.4940930008888244,0.0556650310754776
case_121,train,group_093,1.05,0.283064967527866,0.28392189817478497,0.28878607761660946,0.01684353858734888,1.0673741543493955,3,False,False,-0.40476331830079404,3.406583786010742,4.340972900390625,0.4022997617721557,5.106166465205572,0.6879533910967424,368.9012756347656,401.7388916015625,12.318378448486328,3.2893028724641162,0.3489417731761932,0.4907250106334686,0.0595775060355663
case_122,train,group_094,0.9,0.28481939561665426,0.2848523397496814,0.2848523397496814,0.0,1.0,10,False,False,-0.3712948870689763,3.433185338973999,4.363324165344238,0.3995968699455261,4.108179833781044,0.5552382404711367,355.65985107421875,373.4673156738281,6.678843975067139,2.669768648679886,0.3562403917312622,0.4907729923725128,0.0554435476660728
case_124,train,group_096,1.025,0.29094144374533704,0.2922316956319573,0.2963991578510123,0.01406030384590303,1.056241215383612,4,False,False,-0.3975891689194858,3.4256980419158936,4.35232400894165,0.3987233638763428,5.502267637602471,0.7389880250033167,365.5828247070313,399.1667785644531,14.259407997131348,3.532370748135974,0.3498322963714599,0.4898650050163269,0.0593508854508399
case_125,train,group_097,0.975,0.2745885956823503,0.27589032273044417,0.2779039585652076,0.007245797595542194,1.0289831903821687,6,False,False,-0.5368043409807975,3.443427562713623,4.379518985748291,0.398655354976654,5.093088154189378,0.684278906350134,368.0457153320313,400.5073547363281,12.313759803771973,3.2696257114953484,0.3495651483535766,0.4294230043888092,0.038594227284193
case_127,train,group_093,1.0,0.28223263555590433,0.28347517230342884,0.28631347570826493,0.009913272149747309,1.0396530885989892,5,False,False,-0.37734689157819035,3.419966697692871,4.343825817108154,0.397689014673233,5.1049213958384465,0.6871766490404567,368.0277404785156,399.5997619628906,11.938325881958008,3.283525064491456,0.3531530499458313,0.5024470090866089,0.0624348483979702
case_128,train,group_094,0.9,0.2839844002804881,0.2839844002804881,0.2839844002804881,0.0,1.0,10,False,False,-0.35158304029797605,3.4276201725006104,4.353791236877441,0.3980749845504761,4.038829488943357,0.5468898124070126,355.5298767089844,371.6177368164063,6.357247352600098,2.631742965422924,0.3549663126468658,0.4897100031375885,0.0581122711300849
case_129,train,group_099,0.9,0.2929774150902738,0.2929774150902738,0.2929774150902738,0.0,1.0,9,False,False,-0.31725634349248877,3.898416996002197,4.567196846008301,0.3128617107868194,6.442849277027597,0.8526131041294392,376.6202392578125,401.5680541992188,12.03110408782959,4.066341843470784,0.3565903902053833,0.4902989864349365,0.0582155063748359
case_13,train,group_009,1.05,0.2890339637450444,0.29019641013298375,0.29607626736486437,0.019859265601435982,1.0794370624057439,3,False,False,-0.5013118378319256,3.357408046722412,4.221428871154785,0.3732822239398956,5.859773038919265,0.7869602269571107,385.4025268554688,425.37994384765625,19.127836227416992,3.762667288571234,0.356633573770523,0.4923129975795746,0.0537875443696975
case_130,train,group_097,1.05,0.29812235161871936,0.2993368242618012,0.3052369333852135,0.019329604245388935,1.0773184169815557,3,False,False,-0.5397763437956626,3.4111592769622803,4.338098049163818,0.3980726897716522,4.947402594783361,0.6660217706256208,364.0472412109375,394.9378051757813,13.173166275024414,3.1896048514598876,0.3154884874820709,0.405894011259079,0.0397419370710849
case_133,train,group_101,1.0,0.2818052387443286,0.28316545777011437,0.28611486573553047,0.010308475086863795,1.041233900347455,5,False,False,-0.43591468759265506,3.426159381866455,4.360849857330322,0.3986030519008636,5.203251202347887,0.7000255555390322,368.0552368164063,400.2459411621094,12.325944900512695,3.3438593111923196,0.3568843603134155,0.4934580028057098,0.0534955747425556
case_136,train,group_104,0.9,0.2913040513677598,0.292130442064923,0.292130442064923,0.0,1.0,10,False,False,-0.42989705821839086,3.442832946777344,4.3487868309021,0.3937138617038727,4.21556689104581,0.5693315411371915,357.8339538574219,375.0743713378906,7.374810695648193,2.735862692126205,0.3329048454761505,0.4450240135192871,0.0485176593065261
case_137,train,group_094,0.9,0.2928165315411537,0.29307456246357394,0.29307456246357394,0.0,1.0,9,False,False,-0.3440412528512493,3.435466289520264,4.355877876281738,0.3983742296695709,4.025650902197713,0.5443951930238036,354.2911376953125,369.28216552734375,6.197383403778076,2.619380014187845,0.3571969270706177,0.4883509874343872,0.058250818401575
case_139,train,group_106,1.05,0.2915977842247909,0.2924824600555114,0.297494586591412,0.016847790722270897,1.0673911628890835,3,False,False,-0.43894661323740924,3.4313390254974365,4.357687950134277,0.3979701697826385,5.395845664929998,0.7246443656017132,365.51373291015625,399.0341796875,14.265096664428713,3.4621743649812475,0.3571951985359192,0.4944460093975067,0.0526477210223674
case_14,train,group_009,0.975,0.2692315994088619,0.2705068843080418,0.27257768493785967,0.007597102566521301,1.0303884102660852,6,False,False,-0.4918119747810442,3.4991164207458496,4.3103108406066895,0.3551532328128814,6.215326467374046,0.8311250905507991,385.0202941894531,427.4309997558594,19.48707389831543,3.9687431732111085,0.357739120721817,0.4959119856357574,0.051540445536375
case_141,train,group_108,0.9,0.2735972509437865,0.27421619951087894,0.27421619951087894,0.0,1.0,10,False,False,-0.42902528990729216,3.481498003005981,4.4173359870910645,0.3977475762367248,4.938409725538989,0.6560506672500428,368.495361328125,401.115966796875,12.15090560913086,3.122497194953492,0.5427432656288147,0.6030099987983704,0.0424012243747711
case_142,train,group_109,0.9,0.28454449742634286,0.285965401510885,0.285965401510885,0.0,1.0,9,False,False,-0.4300376180006841,3.462690114974976,4.397726058959961,0.4010702967643738,5.369405390436708,0.7154644900835174,368.3284912109375,400.4606628417969,13.094447135925291,3.4080664801229523,0.4618228375911712,0.5411970019340515,0.04727129265666
case_143,train,group_110,0.975,0.293858123298416,0.2953228712529734,0.29741892581350104,0.007047482115653885,1.0281899284626155,6,False,False,-0.4288081061607496,3.470649242401123,4.404397010803223,0.3989446759223938,5.302463387137493,0.7082895522958652,381.3070983886719,396.99114990234375,9.018558502197266,3.3820627272463,0.3576553761959076,0.4957610070705414,0.0518789924681186
