evaluation_scope,model,n_cases,n_elements_evaluated,micro_mae,micro_rmse,micro_r2,macro_mae,macro_rmse,macro_r2,worst_case_rmse,mean_top5_actual_rmse,mean_top5_actual_bias,mean_p95_relative_error,mean_p95_underprediction_fraction,mean_p99_relative_error,mean_p99_underprediction_fraction,mean_top5pct_hotspot_overlap,mean_top1pct_hotspot_overlap,mean_top1_recall_in_predicted_top5,max_prediction_abs_max_ratio
all_149_development,v11_global_gain_0_90,149,59653640,1.211217378656267,1.7248969929563578,0.6290135142159703,1.2112173786562672,1.68914127720838,0.5828224105880088,3.141789642993938,3.1082160113903643,-1.6539158691366487,0.04288225696405077,0.0029318139985167586,0.13086580110017157,0.126891361637039,0.578844140944291,0.5881316669907274,0.8809898155535739,1.584976071560184
all_149_development,v12_adaptive_gain_nested_oof,149,59653640,1.2068345915683965,1.7125411312027798,0.6343094131581222,1.2068345915683965,1.6814731662894637,0.587573297305969,2.8968756229025248,3.077035220857831,-1.6101633895737744,0.04923814294718791,0.004728695186137126,0.12272340505921407,0.1189079445869933,0.577473562384458,0.5904682565756391,0.8811641378755474,1.4776025318917458
all_149_development,v12_oracle_gain_non_deployable,149,59653640,1.2074977191578729,1.7125760834513857,0.6342944858217727,1.2074977191578729,1.6813119909277814,0.5880552260875732,2.910253162596372,3.069721293328624,-1.6117460318801609,0.046418388492708344,0.0038252038030612916,0.12137458192770544,0.11878108027773354,0.5781394060781538,0.5917069507673535,0.8815731248617156,1.469059019070287
legacy_119_train,v11_global_gain_0_90,119,47642840,1.1962105479229619,1.7034218410062916,0.6290849693101976,1.1962105479229619,1.6675681962134525,0.5904813400130748,3.141789642993938,3.0993226742553803,-1.6933121923708006,0.03882906043900065,0.0033592359288417196,0.1351893752490634,0.13278134251842347,0.5785196684328642,0.5880044325422477,0.8807767862389709,1.5431716164658207
legacy_119_train,v12_adaptive_gain_nested_oof,119,47642840,1.1920469331147237,1.690907415725432,0.6345149075132561,1.1920469331147234,1.6599908298732151,0.5951880700930924,2.8968756229025248,3.0673829921168894,-1.6479453911199853,0.04586566204557871,0.005469868233760032,0.12625983506126123,0.12431784024213452,0.5771482136665237,0.5908251412453093,0.8808901182850762,1.4490073251130535
legacy_119_train,v12_oracle_gain_non_deployable,119,47642840,1.193515195061291,1.692016228264188,0.6340354166525364,1.193515195061291,1.660895409839412,0.5947550343820642,2.910253162596372,3.0600518523332023,-1.6406429293710212,0.044095700436833606,0.004380383542304076,0.12506842517991693,0.1235750493477551,0.5773341807499304,0.5920969786516006,0.8811209798604758,1.4186313082278597
legacy_15_validation,v11_global_gain_0_90,15,6005400,1.2289518471083383,1.7697634171088934,0.6524031539868308,1.2289518471083383,1.7316262939173888,0.5382262902979154,2.2449147059669055,2.990330813766448,-1.3960823112126088,0.07750608160624331,0.0019880651330813127,0.10273083110740472,0.08888445636429818,0.5719152762513738,0.6005161505161506,0.8816516816516816,1.131529484708222
legacy_15_validation,v12_adaptive_gain_nested_oof,15,6005400,1.2305361219331814,1.7710346509912438,0.6519036119740831,1.2305361219331816,1.7336749644898022,0.5357213969909715,2.2297582743254156,2.981806290635393,-1.3430884779347894,0.08725927797976797,0.0035774175277991874,0.10014923739349092,0.08297102022762236,0.5696573084224198,0.5969863469863469,0.8804362304362304,1.135215588148218
legacy_15_validation,v12_oracle_gain_non_deployable,15,6005400,1.2273131483604107,1.7663206700814724,0.6537542091949204,1.227313148360411,1.7277153207244316,0.5423137893844862,2.226899719880801,2.9728173036361403,-1.4104946728458645,0.07484109714569046,0.0032459816747964954,0.09661442131164774,0.08756186110330463,0.5739601025743498,0.5972194472194473,0.8820512820512819,1.1012398749736971
legacy_15_internal_test,v11_global_gain_0_90,15,6005400,1.3125371006884161,1.8446023470378727,0.6001146032316236,1.3125371006884163,1.81780270305913,0.5666576907725785,2.637750687278418,3.296655016951822,-1.5992052627364126,0.040413791420589214,0.0004846822167075103,0.12470041617839667,0.11817108525079659,0.5883471542278615,0.5767565767565768,0.8820179820179821,1.584976071560184
