feature,predictor_only,feature_family
fluence_rate_within_case_z,True,local_physical
temperature_within_case_z,True,local_physical
weight_loss_rate_within_case_z,True,local_physical
fluence_rate_mean,True,case_context
fluence_rate_p95,True,case_context
temperature_mean,True,case_context
temperature_p95,True,case_context
weight_loss_rate_mean,True,case_context
weight_loss_rate_std,True,case_context
rho_fraction_proxy,True,geometry
z_fraction_proxy,True,geometry
theta_fraction_proxy,True,geometry
nearest_radial_boundary_fraction_proxy,True,geometry
nearest_axial_boundary_fraction_proxy,True,geometry
nearest_angular_boundary_fraction_proxy,True,geometry
signed_radial_position_proxy,True,geometry
signed_axial_position_proxy,True,geometry
signed_angular_position_proxy,True,geometry
radial_axial_signed_interaction_proxy,True,geometry
radial_angular_signed_interaction_proxy,True,geometry
axial_angular_signed_interaction_proxy,True,geometry
boundary_corner_proximity_proxy,True,geometry
theta_sin_2_proxy,True,periodic_harmonic
theta_cos_2_proxy,True,periodic_harmonic
theta_sin_4_proxy,True,periodic_harmonic
theta_cos_4_proxy,True,periodic_harmonic
v10_normalised_shape_proxy,True,frozen_parent_proxy
v11_tail_centered_proxy,True,frozen_parent_proxy
v11_prediction_within_case_z_proxy,True,frozen_parent_proxy
v11_predicted_upper_gate_proxy,True,frozen_parent_proxy
fluence_z_by_nearest_radial_boundary,True,boundary_interaction
fluence_z_by_nearest_axial_boundary,True,boundary_interaction
fluence_z_by_nearest_angular_boundary,True,boundary_interaction
temperature_z_by_nearest_radial_boundary,True,boundary_interaction
temperature_z_by_nearest_axial_boundary,True,boundary_interaction
temperature_z_by_nearest_angular_boundary,True,boundary_interaction
weight_loss_z_by_nearest_radial_boundary,True,boundary_interaction
weight_loss_z_by_nearest_axial_boundary,True,boundary_interaction
weight_loss_z_by_nearest_angular_boundary,True,boundary_interaction
fluence_z_by_v11_upper_gate,True,predicted_tail_interaction
temperature_z_by_v11_upper_gate,True,predicted_tail_interaction
weight_loss_z_by_v11_upper_gate,True,predicted_tail_interaction
