artifact,path,size_bytes,sha256
v12_completion,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/outputs/13_v12_case_adaptive_tail_gain/iteration_1/v12_complete.json,836,7951c2007402536ee12e16fef51d05689fa39373cb0b7105a3b4d2ca617dfc5c
v12_run_status,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/outputs/13_v12_case_adaptive_tail_gain/iteration_1/run_status.json,859,b8a6c877a6cc16763b36fdaf37567c0326b21c774dd08043542867f79e944143
v12_decision,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/outputs/13_v12_case_adaptive_tail_gain/iteration_1/v12_promotion_decision.json,516,c211ff84fb575f60991dc37119f4ecfbdaa442a7de05ccb0deae8823c00242f0
v12_scope_metrics,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/outputs/13_v12_case_adaptive_tail_gain/iteration_1/v12_comparison_scope_metrics.csv,6156,c97ccc12ea3767cd125ac2003b1281577d6eedb68323ca5c18013e52e44cdc65
v12_selected_formula,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/outputs/13_v12_case_adaptive_tail_gain/iteration_1/selected_deployment_formula.csv,3040,0c3d7d53520a4c8c6d546afa048a2b2414cff6ef50bbf74691c6157bd53ff4f9
v11_gain_formula,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/outputs/12_v11_gain_stability_audit/iteration_1/selected_gain_formula.csv,5570,1c254625ab6818c8f55c4f2edaf0717e6a26b89744d97422308fc26252a6d6cb
manifest,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/shared/frozen_case_split_manifest_199cases.csv,25685,8fa7fe2818b2d3bf69f47f5d214d033d84439bf22a7b789e205ce6c45b852d2b
similarity_map,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/shared/frozen_similarity_group_map_199cases.csv,4408,2a3a8925ad9a6f6a0d107d974552e781f493e13b51dc956f2d635b75013a9119
development_summary,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/outputs/00_qc_sensitivity_ablation/development_case_summary.csv,132523,c0004723a438ee2bd7d5eb03123caae2640a9f51f45d277e5e96b7294ca0899c
v13_source,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/src/v13_structural_tail_residual.py,65403,e3c580ebe583cf83ae7da45d2d2366be6048bee887ee29d02a343d1c561a5165
v13_worker,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/scripts/run_v13_structural_residual_segment.py,7746,9965c0d0c21277e072a68516e9cc06c99110a919301d10a8566eb87692fd7c13
frozen_v11_completion,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/outputs/11_tail_aware_localised_symbolic/iteration_1/pilot_complete.json,641,bb11dd0e5dd47d47052518986e6faf8883bb56a434aebc54e5f176c27c2050ce
frozen_v11_composite,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/outputs/11_tail_aware_localised_symbolic/iteration_1/selected_composite_formula.csv,3887,fbf070549ceac74eb9f18510a0c46b6d0ed5f91a75e2fd2ed6d35e70b9d3727b
frozen_v11_case_metrics,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/outputs/11_tail_aware_localised_symbolic/iteration_1/selected_models_case_metrics.csv.gz,19814,cd750070d13215810723647e503489fa002edbdc3edab8d77f56922194b84b07
frozen_v11_tail_formula,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/outputs/11_tail_aware_localised_symbolic/iteration_1/stages/stage_tail_localised/selected_formula.csv,5005,a62e6005e4cbae190cbf07e22c55cdb56e0090ab4d19ee68944b7e25f51ed31a
frozen_v11_tail_scaling,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/outputs/11_tail_aware_localised_symbolic/iteration_1/training_cache/v11_tail_scaling.csv,2831,eb04669f1a3d9426bbf60237965242ab6d53a97ad71f2e0d5652a1297a5b19bd
frozen_v11_rbf_centres,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/outputs/11_tail_aware_localised_symbolic/iteration_1/training_cache/hotspot_rbf_centres.csv,579,01116b0d3a988cc32a1fde8285c8d0da8e97d4ed8a0efdd56374a2f2fd4660b2
frozen_v11_mean_model,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/outputs/11_tail_aware_localised_symbolic/iteration_1/training_cache/mean_calibration_model.json,880,a1561a9a3222b432f74e0a268e409a89fa0a97e8a9391fb6d5253f075d3d9dc0
