segment,attempt,resume_from_checkpoint,return_code,termination_reason,stalled,wall_timed_out,elapsed_seconds,checkpoint_exists_after,worker_frontier_exists,finished_at
1,1,False,0,process_exit,False,False,720.1867823600769,True,True,2026-08-19T13:12:28+0100
2,1,True,0,process_exit,False,False,840.3074269294739,True,True,2026-08-19T13:26:28+0100
3,1,True,0,process_exit,False,False,840.2545213699341,True,True,2026-08-19T13:40:29+0100
4,1,True,0,process_exit,False,False,840.1446759700775,True,True,2026-08-19T13:54:29+0100
5,1,True,0,process_exit,False,False,840.2150321006775,True,True,2026-08-19T14:08:29+0100
6,1,True,0,process_exit,False,False,900.2036142349243,True,True,2026-08-19T14:23:29+0100
7,1,True,0,process_exit,False,False,840.2578258514404,True,True,2026-08-19T14:37:30+0100
8,1,True,0,process_exit,False,False,900.1643209457397,True,True,2026-08-19T14:52:30+0100
9,1,True,0,process_exit,False,False,840.1466732025146,True,True,2026-08-19T15:06:30+0100
10,1,True,0,process_exit,False,False,900.2116920948029,True,True,2026-08-19T15:21:31+0100
