case_id,cache_path,cache_reused,n_elements,size_mb,iteration_1_tail_std_mpa,iteration_2_tail_std_mpa,iteration_3_tail_std_mpa,iteration_4_tail_std_mpa
case_01,outputs/18_149case_development_integration/formal_149case_integration/case_prediction_cache/case_01.npz,False,400360,11.21194,0.9196533676732608,0.9708518129718355,0.720962121159491,9.860761315262648e-32
case_06,outputs/18_149case_development_integration/formal_149case_integration/case_prediction_cache/case_06.npz,False,400360,11.21194,0.8666760060593257,0.9146527883029152,0.6795479991782354,9.860761315262648e-32
case_10,outputs/18_149case_development_integration/formal_149case_integration/case_prediction_cache/case_10.npz,False,400360,11.21194,0.9373150647752257,0.9904620335373396,0.7368498923694383,1.9721522630525295e-31
case_11,outputs/18_149case_development_integration/formal_149case_integration/case_prediction_cache/case_11.npz,False,400360,11.21194,0.9329975965290003,0.9845712656357619,0.7304917949853158,9.860761315262648e-32
case_12,outputs/18_149case_development_integration/formal_149case_integration/case_prediction_cache/case_12.npz,False,400360,11.21194,0.8951173096415095,0.9457154515685519,0.7029344824949499,9.860761315262648e-32
case_13,outputs/18_149case_development_integration/formal_149case_integration/case_prediction_cache/case_13.npz,False,400360,11.21194,0.7869602269571114,0.8341216632551836,0.6210592975029815,9.860761315262648e-32
case_14,outputs/18_149case_development_integration/formal_149case_integration/case_prediction_cache/case_14.npz,False,400360,11.21194,0.8311250905507997,0.8799620690062292,0.6549302807255992,0.0
case_15,outputs/18_149case_development_integration/formal_149case_integration/case_prediction_cache/case_15.npz,False,400360,11.21194,0.529041277951689,0.5625178283777221,0.4201340736631926,9.860761315262648e-32
case_16,outputs/18_149case_development_integration/formal_149case_integration/case_prediction_cache/case_16.npz,False,400360,11.21194,0.8930865519370538,0.944329271037967,0.7030317452534479,9.860761315262648e-32
case_17,outputs/18_149case_development_integration/formal_149case_integration/case_prediction_cache/case_17.npz,False,400360,11.21194,0.7364658044234892,0.7783986049476053,0.5793989065480089,9.860761315262648e-32
case_18,outputs/18_149case_development_integration/formal_149case_integration/case_prediction_cache/case_18.npz,False,400360,11.21194,0.9158600706891772,0.9669746547223632,0.7187798552597168,9.860761315262648e-32
case_19,outputs/18_149case_development_integration/formal_149case_integration/case_prediction_cache/case_19.npz,False,400360,11.21194,0.9411119666167801,0.9949233246136799,0.7393473584389616,1.9721522630525295e-31
case_20,outputs/18_149case_development_integration/formal_149case_integration/case_prediction_cache/case_20.npz,False,400360,11.21194,0.9059519203381633,0.9576119397741276,0.7125119224130941,0.0
case_21,outputs/18_149case_development_integration/formal_149case_integration/case_prediction_cache/case_21.npz,False,400360,11.21194,0.7843404000764299,0.8282131160908917,0.6168566609581277,1.4791141972893971e-31
