case_id,estimated_v10_mean_residual_mpa,predicted_mean_correction_mpa,error_mpa
case_01,-0.2733915116026564,-0.4811252553269914,-0.207733743724335
case_06,-0.523980049291656,-0.5734744244894054,-0.04949437519774946
case_10,-0.4690361878035638,-0.4621463824000412,0.006889805403522631
case_11,-0.32544604898490714,-0.5187497707121858,-0.1933037217272786
case_12,-0.39463361140948816,-0.48878091366703696,-0.0941473022575488
case_13,-0.2145160819097942,-0.46411093094884787,-0.24959484903905366
case_14,-0.6509430969511394,-0.49378409149292884,0.15715900545821054
case_15,-0.09523477999138841,-0.3821252674239944,-0.286890487432606
case_16,-0.4888637422477089,-0.48352747702007065,0.005336265227638248
case_17,-0.19801827031293584,-0.5012966571595097,-0.3032783868465738
case_18,-0.6400228079262833,-0.49471225535521884,0.14531055257106446
case_19,-0.37551898372013515,-0.4299897910086517,-0.054470807288516554
case_20,-0.47564432625902864,-0.4854493716020661,-0.009805045343037444
case_21,-1.1753659974712374,-0.6182641883440245,0.5571018091272129
case_24,-0.8957019945835336,-0.6008392634489481,0.2948627311345855
case_27,-0.828566559030051,-0.6955176736171016,0.13304888541294946
case_28,-0.5172202654599118,-0.495655320320815,0.021564945139096847
case_29,-0.7903963835269483,-0.5640635967381729,0.22633278678877544
case_32,-0.5377311133695439,-0.5141777815849544,0.023553331784589515
case_34,-0.5047371429631555,-0.5120168640588916,-0.007279721095736047
case_35,-0.6360548944643591,-0.485959556221403,0.15009533824295612
case_36,-1.398952087266403,-0.6478068713822027,0.7511452158842002
case_39,-0.9842191414002563,-0.5480187610578682,0.43620038034238817
case_40,-0.8409466651085795,-0.4621819203175797,0.3787647447909998
case_42,-0.6887785256663186,-0.7152851953844328,-0.026506669718114217
case_43,-0.7869276974407642,-0.7289687925289927,0.05795890491177147
case_44,-0.6080439943561382,-0.514908881140621,0.09313511321551715
case_45,-0.5917777427557454,-0.5176671912386053,0.07411055151714008
case_47,-0.6376030264692725,-0.5960050674907484,0.04159795897852403
case_48,-0.3078800603964451,-0.43705468126387176,-0.12917462086742665
case_49,-0.530178972322676,-0.4469239172220612,0.08325505510061476
case_51,-1.3527611379578288,-0.6256248751040183,0.7271362628538105
case_52,-0.5172076024067778,-0.5041098988985504,0.013097703508227365
case_54,-0.7570447270515288,-0.5267962163997353,0.23024851065179353
case_56,-1.2826232731347158,-0.5194292452548221,0.7631940278798937
case_57,-0.6487276053469992,-0.5502013064626294,0.09852629888436981
case_58,-0.35792193244380544,-0.6114858688448084,-0.25356393640100294
case_59,-0.3977675012351636,-0.5366189120752813,-0.13885141084011776
case_60,-1.0005364023734602,-0.48695656537649185,0.5135798369969684
case_61,-0.39786837084799753,-0.5099090609739594,-0.11204069012596185
case_62,-0.5629564428199685,-0.48176367806597603,0.08119276475399245
case_63,-0.8461769696346502,-0.5927454250356536,0.2534315445989965
case_64,-0.7775768532088314,-0.4360045758308602,0.3415722773779712
case_66,-0.5753383753277537,-0.7629950875787084,-0.1876567122509547
case_67,-0.5547054506276039,-0.5033836205268614,0.05132183010074254
case_68,-0.16995367915703508,-0.5628063392636129,-0.3928526601065778
case_69,-0.38992019654177845,-0.5063291584442182,-0.11640896190243977
