case_id,case_number,n_elements,predictor_only,fluence_rate_mean,fluence_rate_std,fluence_rate_min,fluence_rate_p95,fluence_rate_max,temperature_mean,temperature_std,temperature_min,temperature_p95,temperature_max,weight_loss_rate_mean,weight_loss_rate_std,weight_loss_rate_min,weight_loss_rate_p95,weight_loss_rate_max,rho_mean,rho_std,rho_min,rho_p95,rho_max,theta_mean,theta_std,theta_min,theta_p95,theta_max,z_mean,z_std,z_min,z_p95,z_max,theta_sin_mean,theta_sin_std,theta_sin_min,theta_sin_p95,theta_sin_max,theta_cos_mean,theta_cos_std,theta_cos_min,theta_cos_p95,theta_cos_max,similarity_group,final_evaluation_signature_sha256
case_00,0,400360,True,3.374108107324151,0.3965987797858587,2.7684240341186523,4.3031721115112305,5.15615701675415,391.8382429592663,18.731862307831484,349.7305908203125,430.2501525878906,448.0808410644531,0.36157725495777115,0.05707516833800404,0.2711150050163269,0.4656359851360321,0.6512529850006104,187.3595039079544,17.36798257826861,130.0807647705078,212.34582138061523,222.96023559570312,0.34418033809143095,0.1412167046844159,0.0075236037373542786,0.5587885409593581,0.7734890580177307,443.3786213854918,256.9225881430683,1.8021700382232666,842.4971343994141,885.3324584960938,0.33400831608056386,0.1313221620809265,0.007523532956838608,0.5301593959331512,0.6986358165740967,0.9320323431902159,0.050086383814199116,0.715477466583252,0.9922997355461121,0.9999716877937317,group_000,5139fe57e964f6d522e388431cd9821fb629a84bee9ff7ec085fdc7e0639f1a4
case_02,2,400360,True,3.513601592494863,0.3476706640379658,2.806001901626587,4.305572032928467,5.132253170013428,385.4642086282502,19.434231628776573,346.4364318847656,428.1654052734375,446.7562255859375,0.34871443879272046,0.061117405270547,0.26337501406669617,0.4914399981498718,0.643435001373291,187.33485911557315,17.37122278596374,130.08270263671875,212.32710647583008,222.87725830078125,0.34420921117841524,0.14122962877106163,0.007522132713347673,0.5588190585374833,0.7734898328781128,443.2570905845444,256.91418565377114,1.7761160135269165,842.3453979492188,885.1262817382812,0.33403479422121646,0.1313343893417502,0.007522061467170715,0.5301852822303772,0.6986363530158997,0.932020917035046,0.050090363778279814,0.715476930141449,0.992300808429718,0.9999716877937317,group_002,5139fe57e964f6d522e388431cd9821fb629a84bee9ff7ec085fdc7e0639f1a4
case_03,3,400360,True,3.402583450155785,0.4027198721084519,2.7662150859832764,4.340968132019043,5.164033889770508,389.5937170389423,18.46439717661783,347.4994812011719,427.96197509765625,447.7882385253906,0.3459012614160952,0.06042905260104307,0.25807300209999084,0.4863240122795105,0.6392269730567932,187.38966488548064,17.371847631562897,130.10098266601562,212.3835678100586,223.03091430664062,0.34418976505123156,0.14122197233942774,0.007520618848502636,0.5587551474571228,0.7734909653663635,443.4281648150318,256.9443946205065,1.7851890325546265,842.5753936767578,885.47216796875,0.3340169790035158,0.13132772462336323,0.007520548067986965,0.5301310837268829,0.6986371874809265,0.9320284465277798,0.050086538178391975,0.7154760956764221,0.9923014044761658,0.9999717473983765,group_003,5139fe57e964f6d522e388431cd9821fb629a84bee9ff7ec085fdc7e0639f1a4
case_04,4,400360,True,3.4195047980053275,0.3976622947759181,2.7474100589752197,4.3432512283325195,5.168923854827881,384.05810933185035,19.312479297191288,348.23065185546875,426.6048278808594,446.256591796875,0.306025197840866,0.03347088406021863,0.26405900716781616,0.38611599802970886,0.6347939968109131,187.39831175070947,17.378239322215606,130.13096618652344,212.41289367675782,222.96824645996094,0.34423794753011533,0.14124322396941474,0.007522029802203178,0.5588796228170395,0.7734917402267456,443.2995475427631,256.9762669094306,1.77646803855896,842.48193359375,885.2408447265625,0.33406098723362454,0.13134619901131328,0.007521959021687508,0.5302366584539413,0.6986377239227295,0.9320094961206662,0.050097225298629235,0.7154756188392639,0.9923008710145951,0.9999716877937317,group_004,5139fe57e964f6d522e388431cd9821fb629a84bee9ff7ec085fdc7e0639f1a4
case_05,5,400360,True,3.422907868535955,0.3975547430700612,2.752068042755127,4.355104923248291,5.169002056121826,395.673832183847,16.20496847326444,348.83831787109375,429.5636291503906,448.4438781738281,0.3064597639322686,0.03283952737253332,0.262594997882843,0.3827829957008362,0.6234350204467773,187.3919311879791,17.370576877281174,130.14242553710938,212.38153228759765,222.9993438720703,0.3441944459403735,0.14120219555782215,0.007522325497120619,0.5587511450052262,0.7734888195991516,443.26004654582874,256.92416135662944,1.7736740112304688,842.3670654296875,885.1341552734375,0.334022272232048,0.131309038902306,0.007522254716604948,0.5301276683807373,0.6986356973648071,0.932029498255578,0.05008065931401898,0.7154775857925415,0.9922989040613175,0.9999716877937317,group_004,5139fe57e964f6d522e388431cd9821fb629a84bee9ff7ec085fdc7e0639f1a4
case_07,7,400360,True,3.437999525374139,0.39870563542820564,2.759000062942505,4.36743688583374,5.1765899658203125,386.0903213914118,18.99249864966305,347.12811279296875,428.2917175292969,447.08551025390625,0.34584765518768074,0.06014963623865387,0.2603890001773834,0.4866490066051483,0.6368979811668396,187.4148773516555,17.37321148786025,130.11471557617188,212.4095344543457,223.06753540039062,0.34418550232706313,0.14122022497259729,0.0075219725258648396,0.5587462365627289,0.7734901309013367,443.4820296371182,256.97228383361823,1.7855550050735474,842.6760925292969,885.5813598632812,0.3340130630274209,0.13132610862003183,0.0075219012796878815,0.5301235437393188,0.6986365914344788,0.9320301104961891,0.05008592680570746,0.7154766917228699,0.9923008680343628,0.9999716877937317,group_003,5139fe57e964f6d522e388431cd9821fb629a84bee9ff7ec085fdc7e0639f1a4
case_08,8,400360,True,3.4210474683540735,0.3976346874814814,2.7540059089660645,4.32596492767334,5.164699077606201,384.5795573278483,19.465967828675055,346.412109375,427.1044006347656,446.50146484375,0.352544560357638,0.0627533788958928,0.2704319953918457,0.502206027507782,0.6631969809532166,187.39379954388096,17.374150431136613,130.0944366455078,212.39120483398438,223.0854949951172,0.3441982728461822,0.14123133662149548,0.007521520368754864,0.5587707191705703,0.7734915018081665,443.464544787559,256.9554745679959,1.788424015045166,842.6403869628906,885.5811157226562,0.3340244938259965,0.13133631162323384,0.007521449588239193,0.5301443248987198,0.6986376047134399,0.9320243544725465,0.05009005309109197,0.7154757380485535,0.9923021197319031,0.9999716877937317,group_003,5139fe57e964f6d522e388431cd9821fb629a84bee9ff7ec085fdc7e0639f1a4
case_09,9,400360,True,3.4234375091803897,0.3982993784653168,2.7625479698181152,4.3535847663879395,5.172739028930664,385.6747040517538,19.081643100725245,346.5308532714844,427.4900207519531,447.22784423828125,0.35212403041688295,0.06336939743813103,0.2702910006046295,0.50177001953125,0.6654319763183594,187.4042606345375,17.372967606086473,130.10385131835938,212.3976448059082,223.0673065185547,0.34418851734344874,0.14122453485577086,0.007521539926528931,0.5587512791156769,0.7734906077384949,443.4830515394783,256.9603969397987,1.7886970043182373,842.6586944580079,885.5892944335938,0.3340156851937837,0.13133012138739134,0.00752146914601326,0.5301278084516525,0.6986369490623474,0.9320285272356787,0.050087380941488575,0.715476393699646,0.9923012256622314,0.9999716877937317,group_003,5139fe57e964f6d522e388431cd9821fb629a84bee9ff7ec085fdc7e0639f1a4
case_22,22,400360,True,3.4392846226346805,0.40036251765254216,2.755073070526123,4.340704917907715,5.188551902770996,446.5657213085859,13.250012935367334,356.3640441894531,450.9721984863281,451.84124755859375,0.2730300072112728,0.0358203153154229,0.25906500220298767,0.3470369875431061,0.6365200281143188,187.44251845420115,17.365204862798475,130.1468963623047,212.40928497314454,223.15492248535156,0.34412649600590367,0.14111078543511885,0.0075265709310770035,0.5582856476306916,0.7734821438789368,443.1946530222866,256.8780649033721,1.7534290552139282,842.2713073730469,884.9236450195312,0.33396304821066825,0.13122518837953226,0.007526499684900045,0.5297329187393188,0.6986308693885803,0.9320643600977518,0.0500465890190411,0.7154822945594788,0.9922935992479325,0.9999716877937317,group_015,5139fe57e964f6d522e388431cd9821fb629a84bee9ff7ec085fdc7e0639f1a4
case_23,23,400360,True,3.075800532410464,0.2265657550053212,2.748379945755005,3.6066389083862305,5.078250885009766,365.93655990187443,13.025661684375264,345.0306396484375,396.1295166015625,431.97589111328125,0.4425824847733752,0.04900432113823614,0.2931939959526062,0.52674400806427,0.6661019921302795,186.9328892772521,17.392423980244022,129.662109375,211.94984588623046,222.2937469482422,0.34452330664740544,0.14137245236224683,0.007519278675317764,0.55904900431633,0.7735115885734558,441.8335586418024,256.51885211562245,1.3508139848709106,840.2666625976562,882.3026123046875,0.33432133688149973,0.13145767168997147,0.0075192078948020935,0.5303802341222763,0.6986519694328308,0.9318968148537122,0.050164238022346104,0.7154616713523865,0.9923014760017395,0.9999717473983765,group_016,5139fe57e964f6d522e388431cd9821fb629a84bee9ff7ec085fdc7e0639f1a4
case_26,26,400360,True,3.660915607638573,0.19822702108879392,2.888137102127075,4.06333589553833,5.142047882080078,392.0674717595473,17.732127427379663,349.6444091796875,423.9156188964844,447.2745056152344,0.2736841937243635,0.035648070024828386,0.2590219974517822,0.345786988735199,0.6296679973602295,187.04369060113507,17.375258894833507,129.9817352294922,212.0147705078125,222.4073486328125,0.3443478651754806,0.14129281524074241,0.0075243632309138775,0.5590371787548065,0.7734946608543396,442.247665499005,256.6437672789194,1.6975829601287842,840.8756744384766,883.141357421875,0.3341613249913421,0.13138923899057353,0.007524291984736919,0.5303701996803284,0.6986398100852966,0.9319661144519653,0.050122234190987144,0.7154735326766968,0.9922993183135986,0.9999716877937317,group_018,5139fe57e964f6d522e388431cd9821fb629a84bee9ff7ec085fdc7e0639f1a4
case_31,31,400360,True,4.229740827702204,0.1681827099361242,3.296231985092163,4.480955123901367,5.223758220672607,446.71809085385166,13.909831739211413,355.0830993652344,451.4262390136719,452.4864501953125,0.35927783472874575,0.06272810645274723,0.27973300218582153,0.5076599717140198,0.6625499725341797,187.6652775854697,17.40582817062554,130.346435546875,212.69777374267576,223.152587890625,0.34421048446174407,0.14111987200600182,0.007527191191911697,0.5581200122833252,0.7734823822975159,443.6784692421646,257.2744185287975,1.7346739768981934,843.3175750732422,885.66748046875,0.33404097341274064,0.13123031067019295,0.007527120411396027,0.5295924454927444,0.6986310482025146,0.9320350744491965,0.0500585021336414,0.7154821157455444,0.9922863900661468,0.9999716877937317,group_022,5139fe57e964f6d522e388431cd9821fb629a84bee9ff7ec085fdc7e0639f1a4
