case_id,case_number,similarity_group,predictor_summary_values_outside_development_envelope
case_00,0,group_000,1
case_02,2,group_002,0
case_03,3,group_003,1
case_04,4,group_004,0
case_05,5,group_004,0
case_07,7,group_003,0
case_08,8,group_003,0
case_09,9,group_003,1
case_22,22,group_015,4
case_23,23,group_016,18
case_26,26,group_018,3
case_31,31,group_022,4
case_33,33,group_024,0
case_37,37,group_028,13
case_38,38,group_029,4
case_41,41,group_032,0
case_46,46,group_004,1
case_50,50,group_038,0
case_53,53,group_032,0
case_55,55,group_042,0
case_65,65,group_051,2
case_70,70,group_055,1
case_76,76,group_061,1
case_80,80,group_065,3
case_88,88,group_042,0
case_90,90,group_072,1
case_103,103,group_081,0
case_108,108,group_085,0
case_112,112,group_088,0
case_113,113,group_089,0
case_123,123,group_095,0
case_126,126,group_098,0
case_131,131,group_095,0
case_132,132,group_100,0
case_134,134,group_102,0
case_135,135,group_103,3
case_138,138,group_105,0
case_140,140,group_107,0
case_149,149,group_115,3
case_152,152,group_118,0
case_160,160,group_125,0
case_161,161,group_126,1
case_162,162,group_127,2
case_167,167,group_132,2
case_168,168,group_133,0
case_172,172,group_136,0
case_174,174,group_138,14
case_177,177,group_140,13
case_178,178,group_141,0
case_198,198,group_107,0
