predictor_summary,development_case_min,development_case_max,final_case_min,final_case_max,n_final_cases_below_development,n_final_cases_above_development,n_final_cases_outside_development
fluence_rate_mean,3.1236889362335205,5.071426868438721,3.075800532410464,5.093767577278136,2,2,4
fluence_rate_std,0.230920061469078,0.4056165814399719,0.1681827099361242,0.4041992949812288,4,0,4
fluence_rate_min,2.7383580207824707,3.1910440921783447,2.745656967163086,3.296231985092163,0,4,4
fluence_rate_p95,3.676456928253174,5.266848087310791,3.6066389083862305,5.283919811248779,2,2,4
fluence_rate_max,5.072033882141113,5.386351108551025,5.078250885009766,5.390149116516113,0,2,2
temperature_mean,352.4326477050781,441.1065368652344,351.41064555998724,446.71809085385166,1,3,4
temperature_std,6.197383403778076,19.90363121032715,10.041428881509843,19.55584961026048,0,0,0
temperature_min,341.6856384277344,362.3769836425781,341.42303466796875,362.9317321777344,2,1,3
temperature_p95,368.2245178222656,448.7469177246094,367.91693115234375,451.4262390136719,1,3,4
temperature_max,420.6131896972656,453.2876586914063,421.4848937988281,452.87530517578125,0,0,0
weight_loss_rate_mean,0.2921536862850189,0.6220473647117615,0.2730300072112728,0.6391212552354129,2,2,4
weight_loss_rate_std,0.0133214984089136,0.0630935654044151,0.02987202499628586,0.06336939743813103,0,1,1
weight_loss_rate_min,0.257887989282608,0.389486014842987,0.25807300209999084,0.333173006772995,0,0,0
weight_loss_rate_p95,0.3512179851531982,0.6585180163383484,0.345786988735199,0.6719080209732056,2,2,4
weight_loss_rate_max,0.579925000667572,0.7480480074882507,0.5967599749565125,0.7064470052719116,0,0,0
rho_mean,186.94482421875,189.159423828125,186.6537772057547,189.6997160579694,2,2,4
rho_std,17.33343505859375,17.49432373046875,17.33607513441244,17.56082629049604,0,3,3
rho_min,129.7861785888672,131.19432067871094,129.662109375,131.60736083984375,2,2,4
rho_p95,211.94251022338867,214.28551330566407,211.58404693603515,214.93907318115234,1,2,3
rho_max,222.2846527099609,225.06521606445312,222.01890563964844,226.0130615234375,1,2,3
theta_mean,0.3438827395439148,0.344460129737854,0.3439346060468558,0.34452330664740544,0,1,1
theta_std,0.1408561319112777,0.1413756906986236,0.1408850610582321,0.14137245236224683,0,0,0
theta_min,0.0075188125483691,0.0075332792475819,0.007518148981034756,0.007531077601015568,1,0,1
theta_p95,0.5567762553691863,0.559095561504364,0.5570930451154708,0.5591312050819397,0,2,2
theta_max,0.7734588384628296,0.7735093235969543,0.7734638452529907,0.7735115885734558,0,1,1
z_mean,442.0037231445313,446.3587951660156,441.55931984488575,447.40446722843075,2,2,4
z_std,256.5704345703125,258.55877685546875,256.2604188614037,259.1841028575787,2,2,4
z_min,1.4397180080413818,1.7897850275039673,1.3508139848709106,1.8021700382232666,1,1,2
z_p95,840.5125732421875,848.0761779785156,839.5932067871094,850.0780181884766,2,2,4
z_max,882.6060180664062,890.9287719726562,881.8245849609375,893.2413330078125,2,2,4
theta_sin_mean,0.3337444365024566,0.3342622816562652,0.33378983643982985,0.33432133688149973,0,2,2
theta_sin_std,0.1309901922941208,0.1314632445573806,0.13101110985378192,0.13145767168997147,0,0,0
theta_sin_min,0.0075187417678534,0.007533208001405,0.007518078200519085,0.00753100635483861,1,0,1
theta_sin_p95,0.5284521132707595,0.5304197072982788,0.5287210226058958,0.5304498702287674,0,2,2
theta_sin_max,0.698614239692688,0.6986503005027771,0.6986177563667297,0.6986519694328308,0,1,1
theta_cos_mean,0.9319175481796264,0.93217134475708,0.9318968148537122,0.9321455877755521,1,0,1
theta_cos_std,0.049955278635025,0.0501585230231285,0.04998107672240712,0.050164238022346104,0,1,1
theta_cos_min,0.7154632806777954,0.7154985666275024,0.7154616713523865,0.7154950499534607,1,0,1
theta_cos_p95,0.9922410309314728,0.9923030734062196,0.9922192752361297,0.9923021197319031,1,0,1
theta_cos_max,0.9999716281890868,0.9999717473983764,0.9999716281890869,0.9999717473983765,0,8,8
