gate,model,value,threshold,comparison,pass,threshold_role,consequence
complete_case_count,mean_calibrated_consensus,50.0,50.0,equal,True,predeclared_project_research_reporting_threshold_not_nuclear_safety_limit,report_result_only; never tune or reselect using final cases
complete_element_count,mean_calibrated_consensus,20018000.0,20018000.0,equal,True,predeclared_project_research_reporting_threshold_not_nuclear_safety_limit,report_result_only; never tune or reselect using final cases
macro_rmse,mean_calibrated_consensus,1.8472300448997445,2.0,less_equal,True,predeclared_project_research_reporting_threshold_not_nuclear_safety_limit,report_result_only; never tune or reselect using final cases
macro_r2,mean_calibrated_consensus,0.36798746397459053,0.45,greater_equal,False,predeclared_project_research_reporting_threshold_not_nuclear_safety_limit,report_result_only; never tune or reselect using final cases
worst_case_rmse,mean_calibrated_consensus,4.210844161518255,3.5,less_equal,False,predeclared_project_research_reporting_threshold_not_nuclear_safety_limit,report_result_only; never tune or reselect using final cases
p95_relative_error,mean_calibrated_consensus,0.07864669114395408,0.1,less_equal,True,predeclared_project_research_reporting_threshold_not_nuclear_safety_limit,report_result_only; never tune or reselect using final cases
p99_relative_error,mean_calibrated_consensus,0.20308427067922627,0.25,less_equal,True,predeclared_project_research_reporting_threshold_not_nuclear_safety_limit,report_result_only; never tune or reselect using final cases
p99_underprediction,mean_calibrated_consensus,0.19394449719981657,0.25,less_equal,True,predeclared_project_research_reporting_threshold_not_nuclear_safety_limit,report_result_only; never tune or reselect using final cases
top1_hotspot_overlap,mean_calibrated_consensus,0.49972027972027966,0.45,greater_equal,True,predeclared_project_research_reporting_threshold_not_nuclear_safety_limit,report_result_only; never tune or reselect using final cases
top1_recall_in_predicted_top5,mean_calibrated_consensus,0.8392057942057941,0.8,greater_equal,True,predeclared_project_research_reporting_threshold_not_nuclear_safety_limit,report_result_only; never tune or reselect using final cases
prediction_abs_max_ratio,mean_calibrated_consensus,1.3463681415535165,1.5,less_equal,True,predeclared_project_research_reporting_threshold_not_nuclear_safety_limit,report_result_only; never tune or reselect using final cases
