case_id,variable,provisional_lower,provisional_upper,observed_min,observed_max,below_provisional_boundary,above_provisional_boundary,action
case_00,fluence_rate,0.0,7.0,2.7684240341186523,5.15615701675415,False,False,report_only_no_clipping_no_model_change
case_00,temperature,25.0,600.0,349.7305908203125,448.0808410644531,False,False,report_only_no_clipping_no_model_change
case_00,weight_loss_rate,0.0,2.0,0.2711150050163269,0.6512529850006104,False,False,report_only_no_clipping_no_model_change
case_02,fluence_rate,0.0,7.0,2.806001901626587,5.132253170013428,False,False,report_only_no_clipping_no_model_change
case_02,temperature,25.0,600.0,346.4364318847656,446.7562255859375,False,False,report_only_no_clipping_no_model_change
case_02,weight_loss_rate,0.0,2.0,0.26337501406669617,0.643435001373291,False,False,report_only_no_clipping_no_model_change
case_03,fluence_rate,0.0,7.0,2.7662150859832764,5.164033889770508,False,False,report_only_no_clipping_no_model_change
case_03,temperature,25.0,600.0,347.4994812011719,447.7882385253906,False,False,report_only_no_clipping_no_model_change
case_03,weight_loss_rate,0.0,2.0,0.25807300209999084,0.6392269730567932,False,False,report_only_no_clipping_no_model_change
case_04,fluence_rate,0.0,7.0,2.7474100589752197,5.168923854827881,False,False,report_only_no_clipping_no_model_change
case_04,temperature,25.0,600.0,348.23065185546875,446.256591796875,False,False,report_only_no_clipping_no_model_change
case_04,weight_loss_rate,0.0,2.0,0.26405900716781616,0.6347939968109131,False,False,report_only_no_clipping_no_model_change
case_05,fluence_rate,0.0,7.0,2.752068042755127,5.169002056121826,False,False,report_only_no_clipping_no_model_change
case_05,temperature,25.0,600.0,348.83831787109375,448.4438781738281,False,False,report_only_no_clipping_no_model_change
case_05,weight_loss_rate,0.0,2.0,0.262594997882843,0.6234350204467773,False,False,report_only_no_clipping_no_model_change
case_07,fluence_rate,0.0,7.0,2.759000062942505,5.1765899658203125,False,False,report_only_no_clipping_no_model_change
case_07,temperature,25.0,600.0,347.12811279296875,447.08551025390625,False,False,report_only_no_clipping_no_model_change
case_07,weight_loss_rate,0.0,2.0,0.2603890001773834,0.6368979811668396,False,False,report_only_no_clipping_no_model_change
case_08,fluence_rate,0.0,7.0,2.7540059089660645,5.164699077606201,False,False,report_only_no_clipping_no_model_change
case_08,temperature,25.0,600.0,346.412109375,446.50146484375,False,False,report_only_no_clipping_no_model_change
case_08,weight_loss_rate,0.0,2.0,0.2704319953918457,0.6631969809532166,False,False,report_only_no_clipping_no_model_change
case_09,fluence_rate,0.0,7.0,2.7625479698181152,5.172739028930664,False,False,report_only_no_clipping_no_model_change
case_09,temperature,25.0,600.0,346.5308532714844,447.22784423828125,False,False,report_only_no_clipping_no_model_change
case_09,weight_loss_rate,0.0,2.0,0.2702910006046295,0.6654319763183594,False,False,report_only_no_clipping_no_model_change
case_22,fluence_rate,0.0,7.0,2.755073070526123,5.188551902770996,False,False,report_only_no_clipping_no_model_change
case_22,temperature,25.0,600.0,356.3640441894531,451.84124755859375,False,False,report_only_no_clipping_no_model_change
case_22,weight_loss_rate,0.0,2.0,0.25906500220298767,0.6365200281143188,False,False,report_only_no_clipping_no_model_change
case_23,fluence_rate,0.0,7.0,2.748379945755005,5.078250885009766,False,False,report_only_no_clipping_no_model_change
case_23,temperature,25.0,600.0,345.0306396484375,431.97589111328125,False,False,report_only_no_clipping_no_model_change
case_23,weight_loss_rate,0.0,2.0,0.2931939959526062,0.6661019921302795,False,False,report_only_no_clipping_no_model_change
case_26,fluence_rate,0.0,7.0,2.888137102127075,5.142047882080078,False,False,report_only_no_clipping_no_model_change
case_26,temperature,25.0,600.0,349.6444091796875,447.2745056152344,False,False,report_only_no_clipping_no_model_change
case_26,weight_loss_rate,0.0,2.0,0.2590219974517822,0.6296679973602295,False,False,report_only_no_clipping_no_model_change
case_31,fluence_rate,0.0,7.0,3.296231985092163,5.223758220672607,False,False,report_only_no_clipping_no_model_change
case_31,temperature,25.0,600.0,355.0830993652344,452.4864501953125,False,False,report_only_no_clipping_no_model_change
case_31,weight_loss_rate,0.0,2.0,0.27973300218582153,0.6625499725341797,False,False,report_only_no_clipping_no_model_change
case_33,fluence_rate,0.0,7.0,2.7629098892211914,5.172939777374268,False,False,report_only_no_clipping_no_model_change
case_33,temperature,25.0,600.0,344.50250244140625,432.2895812988281,False,False,report_only_no_clipping_no_model_change
case_33,weight_loss_rate,0.0,2.0,0.31325599551200867,0.6525769829750061,False,False,report_only_no_clipping_no_model_change
case_37,fluence_rate,0.0,7.0,2.7462239265441895,5.078359127044678,False,False,report_only_no_clipping_no_model_change
case_37,temperature,25.0,600.0,355.0357666015625,449.45904541015625,False,False,report_only_no_clipping_no_model_change
case_37,weight_loss_rate,0.0,2.0,0.30638301372528076,0.6821969747543335,False,False,report_only_no_clipping_no_model_change
case_38,fluence_rate,0.0,7.0,3.268510103225708,5.300340175628662,False,False,report_only_no_clipping_no_model_change
case_38,temperature,25.0,600.0,360.2724914550781,451.7891845703125,False,False,report_only_no_clipping_no_model_change
case_38,weight_loss_rate,0.0,2.0,0.3285369873046875,0.6609269976615906,False,False,report_only_no_clipping_no_model_change
case_41,fluence_rate,0.0,7.0,2.748927116394043,5.184000015258789,False,False,report_only_no_clipping_no_model_change
case_41,temperature,25.0,600.0,358.2958679199219,450.39501953125,False,False,report_only_no_clipping_no_model_change
case_41,weight_loss_rate,0.0,2.0,0.2651210129261017,0.6518890261650085,False,False,report_only_no_clipping_no_model_change
case_46,fluence_rate,0.0,7.0,2.755197048187256,5.163165092468262,False,False,report_only_no_clipping_no_model_change
case_46,temperature,25.0,600.0,347.47821044921875,447.77716064453125,False,False,report_only_no_clipping_no_model_change
case_46,weight_loss_rate,0.0,2.0,0.2705569863319397,0.617160975933075,False,False,report_only_no_clipping_no_model_change
case_50,fluence_rate,0.0,7.0,3.019921064376831,5.235249996185303,False,False,report_only_no_clipping_no_model_change
case_50,temperature,25.0,600.0,346.3605651855469,446.5792236328125,False,False,report_only_no_clipping_no_model_change
case_50,weight_loss_rate,0.0,2.0,0.2887209951877594,0.6308760046958923,False,False,report_only_no_clipping_no_model_change
case_53,fluence_rate,0.0,7.0,2.7713980674743652,5.177451133728027,False,False,report_only_no_clipping_no_model_change
case_53,temperature,25.0,600.0,360.65899658203125,452.87530517578125,False,False,report_only_no_clipping_no_model_change
case_53,weight_loss_rate,0.0,2.0,0.2656260132789612,0.6397250294685364,False,False,report_only_no_clipping_no_model_change
case_55,fluence_rate,0.0,7.0,2.748042106628418,5.1642961502075195,False,False,report_only_no_clipping_no_model_change
case_55,temperature,25.0,600.0,352.2539367675781,450.22332763671875,False,False,report_only_no_clipping_no_model_change
case_55,weight_loss_rate,0.0,2.0,0.28083398938179016,0.6478559970855713,False,False,report_only_no_clipping_no_model_change
case_65,fluence_rate,0.0,7.0,3.056925058364868,5.304224014282227,False,False,report_only_no_clipping_no_model_change
case_65,temperature,25.0,600.0,341.42303466796875,431.6269836425781,False,False,report_only_no_clipping_no_model_change
case_65,weight_loss_rate,0.0,2.0,0.25943198800086975,0.6472749710083008,False,False,report_only_no_clipping_no_model_change
case_70,fluence_rate,0.0,7.0,2.7657310962677,5.164669036865234,False,False,report_only_no_clipping_no_model_change
case_70,temperature,25.0,600.0,346.14227294921875,432.1348876953125,False,False,report_only_no_clipping_no_model_change
case_70,weight_loss_rate,0.0,2.0,0.2651529908180237,0.599403977394104,False,False,report_only_no_clipping_no_model_change
case_76,fluence_rate,0.0,7.0,2.780198097229004,5.182711124420166,False,False,report_only_no_clipping_no_model_change
case_76,temperature,25.0,600.0,343.0609130859375,431.86376953125,False,False,report_only_no_clipping_no_model_change
case_76,weight_loss_rate,0.0,2.0,0.2681039869785309,0.6212130188941956,False,False,report_only_no_clipping_no_model_change
case_80,fluence_rate,0.0,7.0,2.7701408863067627,5.12334680557251,False,False,report_only_no_clipping_no_model_change
case_80,temperature,25.0,600.0,341.5484924316406,431.5703125,False,False,report_only_no_clipping_no_model_change
case_80,weight_loss_rate,0.0,2.0,0.31908100843429565,0.6592249870300293,False,False,report_only_no_clipping_no_model_change
