model,model_role,metric,point_estimate_case_mean,similarity_group_bootstrap_95ci_low,similarity_group_bootstrap_95ci_high,n_cases,n_similarity_groups,bootstrap_resamples,descriptive_uncertainty_only
full_consensus_tail,predeclared_secondary_research_only,mae,1.3487533573460675,1.201195824111866,1.5262951136728018,50,41,10000,True
full_consensus_tail,predeclared_secondary_research_only,rmse,1.790679052714033,1.614238613575788,1.993326178603293,50,41,10000,True
full_consensus_tail,predeclared_secondary_research_only,r2,0.3864425489799974,0.11783096147890278,0.5742698633344288,50,41,10000,True
full_consensus_tail,predeclared_secondary_research_only,top5_actual_rmse,3.284316616956202,2.916955434889051,3.652754274475467,50,41,10000,True
full_consensus_tail,predeclared_secondary_research_only,top5_actual_bias,-1.9609441246327006,-2.3382722031352303,-1.5651369042852399,50,41,10000,True
full_consensus_tail,predeclared_secondary_research_only,p95_relative_error,0.0709533131277629,0.040271805246037275,0.11412143822969231,50,41,10000,True
full_consensus_tail,predeclared_secondary_research_only,p95_underprediction_fraction,0.014592697964004255,0.006581316322923791,0.024806113903090184,50,41,10000,True
full_consensus_tail,predeclared_secondary_research_only,p99_relative_error,0.17039171769838546,0.1488243276472813,0.19092187739886052,50,41,10000,True
full_consensus_tail,predeclared_secondary_research_only,p99_underprediction_fraction,0.15927709776483506,0.13706868264022867,0.1783866227773132,50,41,10000,True
full_consensus_tail,predeclared_secondary_research_only,top5pct_hotspot_overlap,0.5688760115895694,0.5594930410661577,0.5779030245328225,50,41,10000,True
full_consensus_tail,predeclared_secondary_research_only,top1pct_hotspot_overlap,0.556948051948052,0.5396985735921056,0.5702810154242044,50,41,10000,True
full_consensus_tail,predeclared_secondary_research_only,top1_recall_in_predicted_top5,0.9334165834165834,0.9250748115520842,0.94171607740086,50,41,10000,True
mean_calibrated_consensus,predeclared_primary,mae,1.357318896660732,1.2105043329871514,1.5297694235641488,50,41,10000,True
mean_calibrated_consensus,predeclared_primary,rmse,1.8472300448997445,1.6725502748377639,2.031545625865573,50,41,10000,True
mean_calibrated_consensus,predeclared_primary,r2,0.36798746397459053,0.11653403160244455,0.5483207953672111,50,41,10000,True
mean_calibrated_consensus,predeclared_primary,top5_actual_rmse,3.907870234270511,3.5032377066875644,4.276161411983214,50,41,10000,True
mean_calibrated_consensus,predeclared_primary,top5_actual_bias,-2.7010384900663302,-3.084388433828675,-2.2545029318872376,50,41,10000,True
mean_calibrated_consensus,predeclared_primary,p95_relative_error,0.07864669114395408,0.05216642893956454,0.11649264309139494,50,41,10000,True
mean_calibrated_consensus,predeclared_primary,p95_underprediction_fraction,0.04738678604837225,0.035044907872580126,0.06118825273741987,50,41,10000,True
mean_calibrated_consensus,predeclared_primary,p99_relative_error,0.20308427067922627,0.1836503615989999,0.2202115183162308,50,41,10000,True
mean_calibrated_consensus,predeclared_primary,p99_underprediction_fraction,0.19394449719981657,0.17215412913180306,0.2125894941569393,50,41,10000,True
mean_calibrated_consensus,predeclared_primary,top5pct_hotspot_overlap,0.5069427515236287,0.4926857832205547,0.523470726944685,50,41,10000,True
mean_calibrated_consensus,predeclared_primary,top1pct_hotspot_overlap,0.49972027972027966,0.4914218379225034,0.5075833814135954,50,41,10000,True
mean_calibrated_consensus,predeclared_primary,top1_recall_in_predicted_top5,0.8392057942057941,0.8232137551990493,0.8577102939673964,50,41,10000,True
