feature,target,pearson,spearman,abs_spearman,n_cases
temperature_p95,stress_max,0.5750337551104938,0.5905740825338814,0.5905740825338814,199
rho_normalized_mean,stress_max,-0.6336809287139985,-0.5889401553220649,0.5889401553220649,199
z_mean,stress_max,0.3354621066810509,0.5655961626313385,0.5655961626313385,199
temperature_mean,stress_max,0.4342627769884908,0.5459068067610782,0.5459068067610782,199
theta_mean,stress_max,-0.5069450465893777,-0.48361656768691946,0.48361656768691946,199
fluence_rate_mean,stress_max,-0.06738229815592953,-0.05719354347495051,0.05719354347495051,199
weight_loss_rate_p95,stress_max,0.0075895986425913,-0.02009745698187909,0.02009745698187909,199
weight_loss_rate_mean,stress_max,-0.14308469672402857,-0.014792142530836,0.014792142530836,199
fluence_rate_p95,stress_max,0.16414542976935464,0.001483173442972438,0.001483173442972438,199
temperature_p95,stress_mean,0.5201594392768114,0.577834627683874,0.577834627683874,199
rho_normalized_mean,stress_mean,-0.5145248494154507,-0.5112456220496422,0.5112456220496422,199
temperature_mean,stress_mean,0.31923611004546665,0.4973351606517436,0.4973351606517436,199
z_mean,stress_mean,-0.06996520415955754,0.37449520328917313,0.37449520328917313,199
theta_mean,stress_mean,-0.33813119343140435,-0.3700578650829907,0.3700578650829907,199
fluence_rate_mean,stress_mean,-0.4078459465476686,-0.2454454088624943,0.2454454088624943,199
fluence_rate_p95,stress_mean,-0.17815661030600102,-0.19906959037612304,0.19906959037612304,199
weight_loss_rate_p95,stress_mean,-0.14029495973841993,-0.15707172224760166,0.15707172224760166,199
weight_loss_rate_mean,stress_mean,-0.2250424008362158,-0.12962996802192783,0.12962996802192783,199
temperature_p95,stress_p95,0.6923251106280388,0.7283340947160043,0.7283340947160043,199
z_mean,stress_p95,0.45479837213260593,0.6933881528856405,0.6933881528856405,199
temperature_mean,stress_p95,0.5374829620926957,0.6667565098218365,0.6667565098218365,199
theta_mean,stress_p95,-0.6444472363172741,-0.636444342926755,0.636444342926755,199
rho_normalized_mean,stress_p95,-0.6459206774578387,-0.6016339272118167,0.6016339272118167,199
weight_loss_rate_p95,stress_p95,-0.08313290983210778,-0.1276442820161413,0.1276442820161413,199
weight_loss_rate_mean,stress_p95,-0.18435574071411726,-0.11876199177706716,0.11876199177706716,199
fluence_rate_p95,stress_p95,0.2815861376393464,0.08969544693162783,0.08969544693162783,199
fluence_rate_mean,stress_p95,0.08916418118749393,0.04994365768235116,0.04994365768235116,199
temperature_p95,stress_p99,0.6906784349704305,0.7263270899954316,0.7263270899954316,199
z_mean,stress_p99,0.6442807881792102,0.7110172072483631,0.7110172072483631,199
temperature_mean,stress_p99,0.5806108265750306,0.6728947769148774,0.6728947769148774,199
theta_mean,stress_p99,-0.6181916678669613,-0.6222338967565099,0.6222338967565099,199
rho_normalized_mean,stress_p99,-0.608819523575511,-0.5785503273945485,0.5785503273945485,199
weight_loss_rate_mean,stress_p99,-0.14128851469027293,-0.098873153647023,0.098873153647023,199
fluence_rate_p95,stress_p99,0.41597225274262756,0.09284604842393787,0.09284604842393787,199
weight_loss_rate_p95,stress_p99,-0.042605871494203,-0.0904857621440536,0.0904857621440536,199
fluence_rate_mean,stress_p99,0.25891986587587473,0.05450586264656617,0.05450586264656617,199
