case_id,case_number,n_elements,stress_mean,stress_std,stress_min,stress_p50,stress_p95,stress_p99,stress_max,negative_stress_fraction,fluence_rate_mean,fluence_rate_std,fluence_rate_min,fluence_rate_p95,fluence_rate_max,temperature_mean,temperature_std,temperature_min,temperature_p95,temperature_max,weight_loss_rate_mean,weight_loss_rate_std,weight_loss_rate_min,weight_loss_rate_p95,weight_loss_rate_max,rho_mean,rho_std,rho_min,rho_p95,rho_max,rho_normalized_mean,rho_normalized_std,rho_normalized_min,rho_normalized_p95,rho_normalized_max,theta_mean,theta_std,theta_min,theta_p95,theta_max,z_mean,z_std,z_min,z_p95,z_max
case_00,0,400360,5.657507153496854,3.181027242400103,-3.172302,5.851552,10.018842249999999,16.301392039999975,36.839527,0.05360675392147068,3.374108107603157,0.3965992745168012,2.768424,4.303172,5.156157,391.8382429587771,18.73188569998062,349.730591,430.250153,448.080841,0.36157725499050847,0.05707523955510516,0.271115,0.465636,0.651253,187.35950391136237,17.368004262060357,130.08076833707145,212.34582460926052,222.9602325638549,0.6166996768460429,0.18699509527372984,0.0,0.885718462709074,1.0,0.3441803380819521,0.14121688102234406,0.007523603787450291,0.5587885144279174,0.7734890497688124,443.3786213836471,256.9229090073778,1.80217,842.49713405,885.332458
case_01,1,400360,5.896753568793088,3.2423324780590135,-2.957045,6.161639,10.32623455,16.55845914999993,37.168056,0.05535268258567289,3.3994240700369662,0.4025073626796004,2.767359,4.336072,5.164451,398.77362800695374,15.54421821477843,350.381775,431.372925,448.643555,0.3569064037965831,0.05417116637237635,0.269001,0.493156,0.612434,187.3854671667359,17.365409168686778,130.1013785963838,212.36359324508362,223.11047015588582,0.6158977322523883,0.18670657757771303,0.0,0.8844534794329547,1.0,0.3441585673821847,0.1411815479282126,0.007521217795183647,0.5586252937273243,0.7734890933034965,443.3778565619392,256.892782789382,1.778396,842.4595462,885.380127
case_02,2,400360,5.303348993770608,2.92066906761752,-2.705812,5.518205,9.260634249999999,15.004645239999999,30.379568,0.054393545808772106,3.5136015932660607,0.34767109836972615,2.806002,4.305572,5.132253,385.4642086261764,19.434255899982666,346.436432,428.165405,446.756226,0.3487144387850934,0.06111748142626292,0.263375,0.49144,0.643435,187.33485910589042,17.371244497984488,130.08269502436363,212.327112215638,222.87726033937008,0.6169775556054915,0.18720109781230113,0.0,0.8863064007259707,1.0,0.34420921117792086,0.1412298051627311,0.007522132625771465,0.5588190807524116,0.7734898260612012,443.2570905827905,256.914506507926,1.776116,842.345398,885.126282
case_03,3,400360,5.865380501313817,3.231615710761534,-2.97029,6.136682,10.295457449999997,16.595025859999957,36.846855,0.05476071535617944,3.4025834498351504,0.40272037542420597,2.766215,4.340968,5.164034,389.5937170393046,18.464420236315686,347.499481,427.961975,447.788239,0.3459012613447897,0.0604291281511835,0.258073,0.486324,0.639227,187.38966487688242,17.371869327342427,130.1009761978512,212.38357166844202,223.03091155655179,0.6164718447064705,0.18693512763447742,0.0,0.8854261563078455,1.0,0.34418976505763266,0.14122214871878352,0.007520619056555804,0.5587551305423456,0.7734909950172892,443.428164815651,256.9447155134829,1.785189,842.5753933,885.472168
case_04,4,400360,5.560220248441403,3.0143775687754126,-2.821087,5.8233425,9.61881295,15.45149948999997,30.850971,0.05281246877809971,3.4195047981616553,0.39766279090511475,2.74741,4.343251,5.168924,384.05810933140157,19.312503416124,348.230652,426.604828,446.256592,0.3060251978019783,0.0334709258447417,0.264059,0.386116,0.634794,187.39831174880825,17.378261024395446,130.1309604977069,212.41288766917535,222.96824129335374,0.6168572663945001,0.18719054323282502,0.0,0.8863026412049616,1.0,0.34423794753784137,0.1412434003850091,0.007522029759254929,0.558879640021104,0.7734917126670157,443.29954754252185,256.97658784110416,1.776468,842.481934,885.240845
case_05,5,400360,5.68858360294485,3.072128289135215,-2.957381,5.940132,9.737412299999995,15.708633759999996,31.527887,0.052892396842841444,3.422907869537417,0.39755524045105306,2.752068,4.355105,5.169002,395.67383218127674,16.20498871297774,348.838318,429.563629,448.443878,0.3064597638924968,0.03283956847208405,0.262595,0.382783,0.623435,187.39193119233656,17.370598578017624,130.14242809979487,212.3815369393749,222.99934114455726,0.6165346360905204,0.18706844766252345,0.0,0.8856541332570043,1.0,0.34419444593539367,0.14120237190722337,0.007522325712979483,0.5587511441845522,0.773488838270225,443.2600465457338,256.9244822235678,1.773674,842.367065,885.134155
case_06,6,400360,5.917631487593667,3.1990670558189214,-2.954928,6.1567430000000005,10.1345703,15.962083849999965,32.994495,0.05531771405734839,3.4794045345189324,0.3796921991330971,2.778795,4.35403,5.141026,426.30609368294523,10.813059458905622,354.577362,442.930115,450.025421,0.34042787481266856,0.04245031556334109,0.273796,0.452164,0.594613,187.41791307855377,17.357648911025894,130.09745108080875,212.37893386292637,223.12880295569386,0.6161413420588951,0.1865784873724037,0.0,0.8844489639662053,1.0,0.34409242824599057,0.1411033525473776,0.007525000208173209,0.5582802412260832,0.7734821948791971,443.2645360004845,256.860235384127,1.761633,842.30408005,885.013
case_07,7,400360,5.859768688005794,3.2488966888725734,-2.972306,6.123167499999999,10.397610949999999,16.62592178999999,36.877163,0.054745728844040366,3.4379995251473683,0.39870613331974974,2.759,4.367437,5.17659,386.0903213901888,18.992522366766362,347.128113,428.291718,447.08551,0.34584765517034677,0.06014971133365571,0.260389,0.486649,0.636898,187.4148773500498,17.37323320119997,130.1147186674334,212.40952799935144,223.0675282816469,0.6164435364614794,0.18690379853287847,0.0,0.8853396650781201,1.0,0.34418550231981476,0.14122040132905642,0.007521972356252487,0.5587462394832662,0.7734901300953938,443.4820296386176,256.9726047614899,1.785555,842.6760921,885.58136
case_08,8,400360,5.761602222991808,3.1948327401276693,-2.912162,6.0211385,10.236218699999998,16.442389029999962,36.863369,0.05467329403536817,3.421047468358479,0.39763518339908677,2.754006,4.325965,5.164699,384.57955732930367,19.46599213947591,346.412109,427.104401,446.501465,0.35254456033569787,0.0627534572831825,0.270432,0.502206,0.663197,187.3937995395945,17.374172133839373,130.09443285467384,212.39120723881473,223.08549167877987,0.6161814631372597,0.186837018026678,0.0,0.8849966375778824,1.0,0.34419827284493404,0.14123151298542058,0.00752152046614865,0.55877074096806,0.7734915037990615,443.46454478837563,256.9557954747222,1.788424,842.6403871,885.581116
case_09,9,400360,5.830704358891998,3.2276291768969436,-2.949218,6.104760000000001,10.316566449999996,16.546117079999973,36.544247,0.05475821760415626,3.423437508941954,0.39829987556938357,2.762548,4.353585,5.172739,385.6747040516135,19.081666930287827,346.530853,427.490021,447.227844,0.35212403041262863,0.06336947655318946,0.270291,0.50177,0.665432,187.40426064497728,17.37298929413417,130.10384666716266,212.39764855589846,223.06730927636076,0.6163756423176214,0.18687975691231665,0.0,0.8852273740564542,1.0,0.34418851733276823,0.1412247112215538,0.007521539873692398,0.5587513037085126,0.7734906046359089,443.4830515401588,256.9607178531357,1.788697,842.65869405,885.589294
