feature,n_cases,mean_combined_score,median_combined_score,std_combined_score,mean_abs_spearman,mean_abs_high_stress_difference
fluence_rate,199,0.6972361809045227,0.7083333333333334,0.15959548172320914,0.16276553341783517,0.6116736037757947
param_field_magnitude_scaled,199,0.6702261306532663,0.6666666666666666,0.10238577555208284,0.3507021059553946,0.36499648302137133
z,199,0.6513819095477387,0.6666666666666666,0.16540508173202367,0.21102847588844503,0.3268144159302745
distance_to_inner_proxy,199,0.6077261306532663,0.6041666666666666,0.10719698875395467,0.0650788795407576,0.6692762579984077
rho_normalized,199,0.606679229480737,0.6041666666666666,0.11388874961148587,0.0650788795407576,0.6692762579984075
rho,199,0.6038525963149078,0.6041666666666666,0.11902596903597756,0.0650788795407576,0.6692762579984074
distance_to_outer_proxy,199,0.6005025125628141,0.6041666666666666,0.11098126311433947,0.0650788795407576,0.6692762579984075
temperature,199,0.5090033500837521,0.5416666666666666,0.22643784992020827,0.07878697135180338,0.4797638030623162
weight_loss_rate,199,0.45603015075376885,0.4166666666666667,0.2202483349600418,0.09998736770384171,0.2690657679513569
theta_cos,199,0.44430485762144056,0.45833333333333337,0.13401950866360737,0.04042530930348422,0.3214056378519983
theta,199,0.34505862646566166,0.375,0.11499833806494698,0.04042530930348422,0.20342126675786604
theta_sin,199,0.30799832495812396,0.3333333333333333,0.10788511003320635,0.04042530930348422,0.18560999513946108
