feature,n_cases,mean_abs_spearman,median_abs_spearman,std_abs_spearman,max_abs_spearman,mean_spearman,positive_spearman_fraction,negative_spearman_fraction,top3_count,top5_count,mean_rank_score,direction_consistency
param_field_magnitude_scaled,199,0.3507021059553946,0.38561700654642933,0.10734239477249463,0.48896460585262086,-0.3403689271272192,0.03015075376884422,0.9698492462311558,179,182,0.9342546063651591,0.9698492462311558
z,199,0.21102847588844503,0.22441356814210625,0.07382728068584996,0.31629165278812854,0.20910973992434154,0.9597989949748744,0.04020100502512563,170,172,0.8220268006700167,0.9597989949748744
fluence_rate,199,0.16276553341783517,0.15461934055519466,0.08685239738164136,0.48519976068388027,0.08326437083547183,0.8341708542713567,0.1658291457286432,142,164,0.7391122278056952,0.8341708542713567
weight_loss_rate,199,0.09998736770384171,0.07270004215880975,0.09863098917722994,0.4631893165110214,-0.08885804665097582,0.18090452261306533,0.8190954773869347,42,105,0.5707705192629815,0.8190954773869347
temperature,199,0.07878697135180338,0.04289178376106134,0.09529041147654171,0.5306928176560693,-0.05432567070927329,0.33668341708542715,0.6633165829145728,38,88,0.4878559463986599,0.6633165829145728
distance_to_inner_proxy,199,0.0650788795407576,0.03930372229742712,0.07179994049669992,0.3465327156789081,0.04108675600779119,0.592964824120603,0.40703517587939697,21,93,0.4315326633165829,0.592964824120603
distance_to_outer_proxy,199,0.0650788795407576,0.03930372229742712,0.07179994049669992,0.3465327156789081,-0.04108675600779119,0.40703517587939697,0.592964824120603,21,93,0.4315326633165829,0.592964824120603
rho,199,0.0650788795407576,0.03930372229742712,0.07179994049669992,0.3465327156789081,0.04108675600779119,0.592964824120603,0.40703517587939697,21,93,0.4315326633165829,0.592964824120603
rho_normalized,199,0.0650788795407576,0.03930372229742712,0.07179994049669992,0.3465327156789081,0.04108675600779119,0.592964824120603,0.40703517587939697,21,93,0.4315326633165829,0.592964824120603
theta,199,0.04042530930348422,0.0393163860153136,0.01011869829204573,0.08426616184032222,0.04042530930348422,1.0,0.0,0,74,0.4066164154103853,1.0
theta_cos,199,0.04042530930348422,0.0393163860153136,0.01011869829204573,0.08426616184032222,-0.04042530930348422,0.0,1.0,0,74,0.4066164154103853,1.0
theta_sin,199,0.04042530930348422,0.0393163860153136,0.01011869829204573,0.08426616184032222,0.04042530930348422,1.0,0.0,0,74,0.4066164154103853,1.0
