feature,n_cases,mean_abs_high_stress_difference,median_abs_high_stress_difference,std_abs_high_stress_difference,max_abs_high_stress_difference,mean_standardized_difference,positive_difference_fraction,negative_difference_fraction,top3_high_stress_count,top5_high_stress_count,mean_high_stress_rank_score,high_stress_direction_consistency
distance_to_inner_proxy,199,0.6692762579984077,0.7843144090336219,0.283853095813582,1.829901305631196,-0.47612062294617863,0.15577889447236182,0.8442211055276382,122,169,0.7839195979899497,0.8442211055276382
distance_to_outer_proxy,199,0.6692762579984075,0.7843144090336208,0.283853095813582,1.8299013056311955,0.4761206229461786,0.8442211055276382,0.15577889447236182,120,172,0.7694723618090452,0.8442211055276382
rho_normalized,199,0.6692762579984075,0.784314409033622,0.2838530958135819,1.8299013056311955,-0.47612062294617863,0.15577889447236182,0.8442211055276382,114,165,0.7818257956448912,0.8442211055276382
rho,199,0.6692762579984074,0.7843144090336219,0.2838530958135818,1.829901305631191,-0.47612062294617863,0.15577889447236182,0.8442211055276382,92,163,0.7761725293132329,0.8442211055276382
fluence_rate,199,0.6116736037757947,0.6013079646460482,0.35765654468095687,2.648407251541227,0.2840079075589293,0.8341708542713567,0.1658291457286432,38,114,0.65536013400335,0.8341708542713567
temperature,199,0.4797638030623162,0.45084177921852986,0.3891225935236166,2.6175999370007315,0.23919542113554704,0.7487437185929648,0.25125628140703515,39,93,0.5301507537688442,0.7487437185929648
param_field_magnitude_scaled,199,0.36499648302137133,0.26473583335594264,0.37285013279072504,2.322432940240655,0.05275044981409048,0.35175879396984927,0.6482412060301508,35,41,0.4061976549413735,0.6482412060301508
z,199,0.3268144159302745,0.312754638444547,0.09026528233432722,0.661625885008492,0.3268144159302745,1.0,0.0,18,29,0.4807370184254607,1.0
theta_cos,199,0.3214056378519983,0.35453379357537623,0.10381417379977168,0.46930165567975674,-0.30749454022428363,0.035175879396984924,0.964824120603015,12,24,0.48199329983249584,0.964824120603015
weight_loss_rate,199,0.2690657679513569,0.16796238523161447,0.3168357619358928,2.4917246433089537,-0.05166265959433755,0.45226130653266333,0.5477386934673367,27,31,0.34128978224455614,0.5477386934673367
theta,199,0.20342126675786604,0.2226426210243006,0.07419526037860046,0.48645286519266223,0.17180551401623637,0.8793969849246231,0.12060301507537688,0,0,0.283500837520938,0.8793969849246231
theta_sin,199,0.18560999513946108,0.20023148830335236,0.06835794977642382,0.4874528710765708,0.14879198347768643,0.8693467336683417,0.1306532663316583,0,0,0.20938023450586263,0.8693467336683417
